"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"BLACAT1","ovarian cancer","qRT-qPCR, Western blot","up-regulated","","","","32095930","details","","","","",""
"C17orf91","ovarian cancer","qPCR, RNAi, Western blot, Cell migration and invasion assay etc.","up-regulated","","","","27535740","details","","","","",""
"CACS15","ovarian cancer","qRT-PCR, Western blot","up-regulated","","","","31737207","details","","","","",""
"CASC15","ovarian cancer","RT-qPCR, Dual Luciferase Reporter Assay, Western blot analysis","down-regulated","","","","31695430","details","","","","",""
"CASC2","epithelial ovarian cancer","qPCR, other","down-regulated","","","","30320385","details","","","","",""
"CASC2","epithelial ovarian cancer","qPCR, Western blot, RIP etc.","down-regulated","","","","29571014","details","","","","",""
"CCAL","ovarian cancer","qPCR etc.","up-regulated","","","","29219179","details","","","","",""
"CCAT1","ovarian cancer","qRT-PCR, Western blot","up-regulated","","","","32124583","details","","","","",""
"CCAT1","ovarian cancer","qPCR, Western blot, Luciferase reporter assay, other","up-regulated","","","","30250403","details","","","","",""
"CCAT1","ovarian cancer","qPCR","up-regulated","","","","29424889","details","","","","",""
"CCAT1","ovarian cancer","qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","28754469","details","","","","",""
"CCAT1","ovarian cancer","Microarray, qPCR etc.","down-regulated","","","","24379988","details","","","","",""
"CCAT2","ovarian cancer","Western blot etc.","up-regulated","","","","32230936","details","","","","",""
"CCAT2","ovarian cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown","up-regulated","","","","29435081","details","","","","",""
"CCAT2","ovarian cancer","Western blot, Luciferase reporter assay, in vitro knockdown","up-regulated","","","","28550684","details","","","","",""
"CCAT2","ovarian cancer","qPCR, RNAi, MTT assay etc.","up-regulated","","","","27283598","details","","","","",""
"CDKN2B-AS1","ovarian cancer","qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","32305052","details","","","","",""
"circ?FAM53B","ovarian cancer","qPCR","up-regulated","","","","31638250","details","","","","",""
"circ_0004390","ovarian cancer","qPCR","up-regulated","","","","32192774","details","","","","",""
"circ_0007874","ovarian cancer","qPCR, luciferase reporter assay","down-regulated","","","","32023009","details","","","","",""
"circ_0013958","ovarian cancer","qPCR","up-regulated","","","","32157748","details","","","","",""
"circ_001567","ovarian cancer","RT-qPCR, CCK-8 and Edu assays, Cell cycle assay, Cell proliferation and apoptosis assays, Immunohistochemistry, immunofluorescence, and western blotting, Transwell invasion and tumorigenicity assays","up-regulated","","","","30376358","details","","","","",""
"circ_0061140","ovarian cancer","Cell Proliferation Assay, Western blotting, Fluorescence In Situ Hybridization, Wound-Healing Assay, Transwell Migration Assay, Luciferase Reporter Assay, RT-qPCR","up-regulated","","","","30236833","details","","","","",""
"circ_100395","ovarian cancer","qPCR, western blot","down-regulated","","","","31942183","details","","","","",""
"circANKRD12","ovarian cancer","qRT-PCR , western blot , RNA-seq , cell proliferation assay , scratch assay-cell migration assay , trans-well migration and invasion assay , collagen invasion assay , cell cycle analysis","up-regulated","","","","31185953","details","","","","",""
"circCdr1as","ovarian cancer","qPCR","down-regulated","","","","31479922","details","","","","",""
"circCDR1as","ovarian cancer","qRT-PCR , western blot , MTT assay , scratch-wound assay , transwell assay , CCK8 assay , immunofluorescence assay","down-regulated","","","","31190886","details","","","","",""
"circCELSR1","ovarian cancer","qPCR, CCK8 assay, colony formation assay and cell apoptosis assay, western blotting","up-regulated","","","","31945729","details","","","","",""
"circEPSTI1","ovarian cancer","qPCR, luciferase reporter assay, RIP","up-regulated","","","","30887698","details","","","","",""
"circGFRA1","ovarian cancer","qPCR, luciferase reporter and RNA immunoprecipitation (RIP) assay","up-regulated","","","","31417634","details","","","","",""
"circHIPK3","ovarian cancer","qRT-PCR , RNA-seq , sanger sequencing , wound healing assay , transwell assay , cell counting kit-8 assay , apoptotic cell detection","up-regulated","","","","31026505","details","","","","",""
"circHIPK3","Epithelial Ovarian Cancer","qPCR, other","up-regulated","","","","29949144","details","","","","",""
"circITCH","ovarian cancer","RT-PCR, Cell proliferation assay, Cell motility assay, Dual luciferase reporter assays, In vivo tumor growth assays","down-regulated","","","","30243714","details","","","","",""
"circLARP4","ovarian cancer","qPCR, cell counting kit-8 (CCK-8), colony formation assay and transwell assay. RNA immunoprecipitation (RIP) assay and luciferase reporter assays","down-regulated","","","","31911757","details","","","","",""
"circLARP4","ovarian cancer","qRT-PCR","down-regulated","","","","30468459","details","","","","",""
"circMUC16","ovarian cancer","qPCR, FISH, western blot and immunohistochemistry","up-regulated","","","","32111227","details","","","","",""
"circPLEKHM3","ovarian cancer","qPCR","down-regulated","","","","31623606","details","","","","",""
"circPUM1","ovarian cancer","qPCR, Gain- and loss-of-function experiments","up-regulated","","","","31751911","details","","","","",""
"circRhoC","ovarian cancer","qPCR and Dual luciferase reporter assay","up-regulated","","","","31639291","details","","","","",""
"circSETDB1","ovarian cancer","qPCR","up-regulated","","","","31686850","details","","","","",""
"circSMAD7","ovarian cancer","qRT-PCR , western blot , CCK-8 Assay , cell proliferation assay , colony formation assay , wound healing assay , transwell assay, and matrigel assay","up-regulated","","","","31298312","details","","","","",""
"circUBAP2","ovarian cancer","qPCR, CCK-9 and transwell assays","up-regulated","","","","31539115","details","","","","",""
"circWHSC1","ovarian cancer","qPCR, MTT assay, cell apoptosis assay, wound healing and Matrigel-coated Transwell assay","up-regulated","","","","31666098","details","","","","",""
"CPS1-IT1","ovarian cancer","qPCR, Western blot, Luciferase report assay etc.","down-regulated","","","","28770969","details","","","","",""
"CRNDE","ovarian cancer","Microarray, qPCR etc.","up-regulated","","","","26556866","details","","","","",""
"CTD-2020K17.1","ovarian cancer","Microarray, qPCR, Western blot, in vitro knockdown etc.","up-regulated","","","","29504606","details","","","","",""
"CTD-2589M5.4","ovarian cancer","qPCR etc.","up-regulated","","","","29219179","details","","","","",""
"DANCR","ovarian cancer","qPCR, Luciferase reporter assay, Western blot","up-regulated","","","","31545000","details","","","","",""
"DANCR","ovarian cancer","qRT-PCR, RIP","up-regulated","","","","31858532","details","","","","",""
"DANCR","ovarian cancer","qRT-PCR , Western blot etc.","up-regulated","","","","31114986","details","","","","",""
"DARS-AS1","ovarian cancer","qPCR, Luciferase reporter assay, RIP","up-regulated","","","","30964159","details","","","","",""
"DLEU1","ovarian cancer","qPCR, Western blotting etc.","up-regulated","","","","28598010","details","","","","",""
"DLX6-AS1","ovarian cancer","qRT-PCR , Western blot , in vitro knockdown etc.","up-regulated","","","","31081076","details","","","","",""
"DLX6-AS1","ovarian cancer","qPCR, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","31378881","details","","","","",""
"DNM3OS","epithelial ovarian cancer","qPCR etc.","up-regulated","","","","20400975","details","","","","",""
"DQ786243","ovarian cancer","qPCR, Western blot, Luciferase reporter assay","up-regulated","","","","30105876","details","","","","",""
"DSCAM-AS1","ovarian cancer","qRT-PCR , Western blot etc.","up-regulated","","","","31173284","details","","","","",""
"DUXAP10","ovarian cancer","qPCR","up-regulated","","","","29424918","details","","","","",""
"EBIC","ovarian cancer","qPCR, Western blot","up-regulated","","","","30058681","details","","","","",""
"ElncRNA1","epithelial ovarian cancer","qPCR, Western blot etc.","up-regulated","","","","28714515","details","","","","",""
"EMX2OS","ovarian cancer","qPCR, Luciferase reporter assay, RIP etc.","up-regulated","","","","32273754","details","","","","",""
"ENST00000413580","ovarian cancer","Microarray, qPCR etc.","down-regulated","","","","28128423","details","","","","",""
"ENST00000449694","ovarian cancer","Microarray, qPCR etc.","down-regulated","","","","28128423","details","","","","",""
"Enst00000453783","ovarian cancer","qPCR","up-regulated","","","","29805570","details","","","","",""
"ENST00000457645","ovarian cancer","Microarray, qPCR, Cell transfection, Western blot etc.","down-regulated","","","","28128423","details","","","","",""
"ENST00000458468","ovarian cancer","Microarray, qPCR etc.","down-regulated","","","","28128423","details","","","","",""
"ENST00000502715","ovarian cancer","Microarray, qPCR","up-regulated","","","","30132558","details","","","","",""
"Enst00000566734","ovarian cancer","qPCR","up-regulated","","","","29805570","details","","","","",""
"Enst00000585612","ovarian cancer","qPCR","up-regulated","","","","29805570","details","","","","",""
"Enst0000435726","ovarian cancer","qPCR","up-regulated","","","","29805570","details","","","","",""
"EPB41L4A-AS2","ovarian cancer","qPCR, Western blot, Luciferase reporter assay, RIP","down-regulated","","","","31645082","details","","","","",""
"EWSAT1","ovarian cancer","Western blot etc.","up-regulated","","","","28979684","details","","","","",""
"FAL1","ovarian cancer","RT-qPCR, Western blot analysis","down-regulated","","","","31957817","details","","","","",""
"FAL1","ovarian cancer","qPCR, RNA pull-down assay etc.","up-regulated","","","","25203321","details","","","","",""
"FAL1","ovarian cancer","qPCR, RNA pull-down assay etc.","up-regulated","","","","25203321","details","","","","",""
"FAM215A","epithelial ovarian cancer","qPCR etc.","differential expression","","","","27667152","details","","","","",""
"FAM83H-AS1","ovarian cancer","qPCR, RIP","up-regulated","","","","30831080","details","","","","",""
"FAS-AS1","high grade ovarian serous cancer","Microarray, qPCR etc.","up-regulated","","","","29577163","details","","","","",""
"FER1L4","ovarian cancer","qPCR, other","up-regulated","","","","30444026","details","","","","",""
"FEZF1-AS1","epithelial ovarian cancer","qRT-PCR, Western blot","up-regulated","","","","32135030","details","","","","",""
"FEZF1-AS1","ovarian cancer","qPCR, RNAi, Western blot, other","up-regulated","","","","30416194","details","","","","",""
"FLJ33360","ovarian cancer","qPCR","down-regulated","","","","31239715","details","","","","",""
"FLVCR1-AS1","ovarian cancer","qPCR, Western blot, other","up-regulated","","","","31412903","details","","","","",""
"GAS5","ovarian cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown","down-regulated","","","","29896229","details","","","","",""
"GAS5","ovarian cancer","qPCR, Luciferase reporter assay, other","down-regulated","","","","30201235","details","","","","",""
"GAS5","epithelial ovarian cancer","Microarray, qPCR, Western blot, in vitro knockdown, RIP","down-regulated","","","","31391118","details","","","","",""
"GAS5","Ovarian Cancer","qPCR, Western blot, Luciferase reporter assay, RIP","down-regulated","","","","31314588","details","","","","",""
"GAS5","ovarian cancer","qPCR, Western blot, in vitro knockdown","down-regulated","","","","29229673","details","","","","",""
"GAS5","ovarian cancer","qPCR, Cell transfection, Western blot, Cell proliferation assay etc.","down-regulated","","","","27779700","details","","","","",""
"GAS5","ovarian cancer","Microarray, qPCR, RNAi etc.","down-regulated","","","","26503132","details","","","","",""
"GAS5","ovarian cancer","qPCR, luciferase reporter assay, Western blot, etc.","down-regulated","","","","29896229","details","","","","",""
"GEHT1","ovarian cancer","qRT-PCR , Western blot , in vitro knockdown etc.","up-regulated","","","","30988076","details","","","","",""
"GIHCG","ovarian cancer","qPCR, etc.","up-regulated","","","","30556850","details","","","","",""
"GTSE1-AS1","high grade ovarian serous cancer","Microarray, qPCR etc.","down-regulated","","","","29577163","details","","","","",""
"H19","ovarian cancer","RT-qPCR, Western blot","up-regulated","","","","31934077","details","","","","",""
"H19","ovarian cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.","up-regulated","","","","30481782","details","","","","",""
"H19","ovarian cancer","RT-PCR, Western blot, in vitro knockdown","up-regulated","","","","29468525","details","","","","",""
"H19","epithelial ovarian cancer","ISH etc.","up-regulated","","","","10428315","details","","","","",""
"H19","ovarian cancer","RNA-seq, qPCR, Western blot etc.","up-regulated","","","","27193186","details","","","","",""
"H19","ovarian cancer","Microarray, qPCR, Western blot etc.","down-regulated","","","","25205099","details","","","","",""
"H19","ovarian cancer","qPCR, RNAi etc.","up-regulated","","","","19656414","details","","","","",""
"H19","ovarian cancer","qPCR etc.","differential expression","","","","9856569","details","","","","",""
"H19","ovarian cancer","qPCR, RNAi, Western blot etc.","up-regulated","","","","26617715","details","","","","",""
"H19","ovarian cancer","Microarray, qPCR etc.","down-regulated","","","","24379988","details","","","","",""
"HAGLROS","ovarian cancer","qPCR","up-regulated","","","","31197441","details","","","","",""
"HAND2-AS1","ovarian cancer","qPCR, Western blot","down-regulated","","","","31222748","details","","","","",""
"HAS2-AS1","ovarian cancer","RT-PCR , Luciferase reporter assay , Western blot , in vitro knockdown etc.","up-regulated","","","","31082772","details","","","","",""
"HMMR-AS1","epithelial ovarian cancer","qPCR, etc.","up-regulated","","","","30556852","details","","","","",""
"HOST2","ovarian cancer","RT-qPCR, Western blot analyses","up-regulated","","","","31701766","details","","","","",""
"HOST2","ovarian cancer","qPCR, Western blot etc.","up-regulated","","","","25292198","details","","","","",""
"HOTAIR","ovarian cancer","qPCR, Western blot, Luciferase reporter assay, other","up-regulated","","","","30205383","details","","","","",""
"HOTAIR","ovarian cancer","qPCR, Western blot, Luciferase reporter assay, etc.","up-regulated","","","","30570864","details","","","","",""
"HOTAIR","epithelial ovarian cancer","qPCR, Genotyping etc.","differential expression","","","","27166268","details","","","","",""
"HOTAIR","ovarian cancer","qPCR, RNAi, Western blot, Cell proliferation assay etc.","up-regulated","","","","26826873","details","","","","",""
"HOTAIR","ovarian cancer","qPCR, Western blot etc.","down-regulated","","","","26117268","details","","","","",""
"HOTAIR","ovarian cancer","qPCR etc.","differential expression","","","","29667992","details","","","","",""
"HOTAIR","ovarian cancer","qPCR, RNAi, Luciferase reporter assay","differential expression","","","","28420874","details","","","","",""
"HOTAIR","ovarian cancer","qPCR, Luciferase reporter assay etc.","up-regulated","","","","27041570","details","","","","",""
"HOTAIR","ovarian cancer","qPCR, RNAi etc.","up-regulated","","","","25824616","details","","","","",""
"HOTAIR","ovarian cancer","qPCR, RNAi, Western blot etc.","up-regulated","","","","25792974","details","","","","",""
"HOTAIR","ovarian cancer","qPCR etc.","up-regulated","","","","26497652","details","","","","",""
"HOTAIR","ovarian cancer","qPCR etc.","up-regulated","","","","23600210","details","","","","",""
"HOTAIR","ovarian cancer","qPCR, RNAi, Cell migration assay etc.","up-regulated","","","","27484896","details","","","","",""
"HOTAIR","ovarian cancer","qPCR, Western blot etc.","up-regulated","","","","29455183","details","","","","",""
"HOTAIR","ovarian cancer","qPCR, RNAi, Western blot, MTT assay etc.","up-regulated","","","","26341496","details","","","","",""
"HOTAIR","ovarian cancer","qPCR, RNAi, Western blot etc.","up-regulated","","","","24662839","details","","","","",""
"HOTAIRM1","ovarian cancer","qRT-PCR, Western blot, RIP, Luciferase activity assay","down-regulated","","","","31935390","details","","","","",""
"HOTTIP","ovarian cancer","qPCR","up-regulated","","","","31533774","details","","","","",""
"HOTTIP","ovarian cancer","qPCR, Western blot, other","up-regulated","","","","30452402","details","","","","",""
"HOXA11-AS","ovarian cancer","qPCR, Western blot etc.","down-regulated","","","","26430965","details","","","","",""
"HOXD-AS1","ovarian cancer","qPCR, Luciferase reporter assay, RIP","up-regulated","","","","30823895","details","","","","",""
"HOXD-AS1","ovarian cancer","qRT-PCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","29416930","details","","","","",""
"HOXD-AS1","epithelial ovarian cancer","qPCR, Luciferase reporter assay, Western blot","up-regulated","","","","29239819","details","","","","",""
"HULC","ovarian cancer","RT-qPCR","up-regulated","","","","32046413","details","","","","",""
"HULC","epithelial ovarian cancer","qPCR, Western blotting etc.","up-regulated","","","","29022892","details","","","","",""
"JPX","ovarian cancer","qPCR, Western blot, in vitro knockdown, etc.","up-regulated","","","","30556851","details","","","","",""
"KB-1471A8.2","ovarian cancer","qPCR, Western blot","down-regulated","","","","30892073","details","","","","",""
"KCNMA1-AS1","epithelial ovarian cancer","qPCR, Western blot","up-regulated","","","","31210304","details","","","","",""
"KCNQ1OT1","ovarian cancer","qRT-PCR, Luciferase reporter assay","up-regulated","","","","31909901","details","","","","",""
"KCNQ1OT1","ovarian cancer","Western blotting","up-regulated","","","","31696465","details","","","","",""
"LEF1-AS1?","ovarian cancer","qRT-PCR","up-regulated","","","","32099465","details","","","","",""
"LIMT","epithelial ovarian cancer","qRT-PCR, Western blotting etc.","down-regulated","","","","31062668","details","","","","",""
"lin-RECK-3","ovarian cancer","RNA-seq, qPCR, Western blot etc.","up-regulated","","","","27193186","details","","","","",""
"LINC-CARS2-2","ovarian cancer","RNA-seq, qPCR, Western blot etc.","up-regulated","","","","27193186","details","","","","",""
"LINC-ROR","ovarian cancer","qPCR etc.","up-regulated","","","","26314857","details","","","","",""
"LINC-ROR","ovarian cancer","qPCR, Western blot etc.","up-regulated","","","","29050257","details","","","","",""
"LINC-ROR","ovarian cancer","qRT-PCR, Western blot, Luciferase reporter assay, RIP","up-regulated","","","","31829305","details","","","","",""
"LINC-TNFRSF19-1","ovarian cancer","RNA-seq, qPCR, Western blot etc.","down-regulated","","","","27193186","details","","","","",""
"LINC00092","ovarian cancer","Microarray, qPCR, RNAi, RNA pull-down assay etc.","up-regulated","","","","28087599","details","","","","",""
"LINC00152","ovarian cancer","qPCR, Microarray etc","up-regulated","","","","31799647","details","","","","",""
"LINC00152","ovarian cancer","qPCR, Western blot, luciferase reporter assay, RIP","up-regulated","","","","30030896","details","","","","",""
"LINC00161","ovarian cancer","qPCR, Western blot, Luciferase reporter assay, etc.","up-regulated","","","","30556928","details","","","","",""
"LINC00176","ovarian cancer","RT-qPCR, RIP, Dual luciferase reporter gene assay, Western blot analysis","up-regulated","","","","31668012","details","","","","",""
"LINC00312","ovarian cancer","qPCR, Western blot","down-regulated","","","","29952351","details","","","","",""
"LINC00312","ovarian cancer","qPCR, Western blot, Flow cytometry, etc.","down-regulated","","","","29952351","details","","","","",""
"LINC00319","ovarian cancer","qPCR, Luciferase reporter assay, Western blot, other","up-regulated","","","","30442370","details","","","","",""
"LINC00339","ovarian cancer","qPCR, Luciferase reporter assay, RIP","up-regulated","","","","31550677","details","","","","",""
"LINC00460","epithelial ovarian cancer","qPCR, Western blot, RNAi, Luciferase reporter assay, other","up-regulated","","","","30372802","details","","","","",""
"LINC00472","epithelial ovarian cancer","qPCR etc.","differential expression","","","","27667152","details","","","","",""
"LINC00504","ovarian cancer","qRT-PCR, Western blot, Luciferase reporter assay","up-regulated","","","","31691157","details","","","","",""
"LINC00511","ovarian cancer","qRT-PCR, Western blot analysis, RIP","up-regulated","","","","31920390","details","","","","",""
"LINC00511","ovarian cancer","qRT-PCR , RIP , in vitro knockdown etc.","up-regulated","","","","31016892","details","","","","",""
"LINC00515","ovarian cancer","RNA-seq, qPCR, Western blot etc.","down-regulated","","","","27193186","details","","","","",""
"LINC00565","ovarian cancer","qRT-PCR, Western blot analysis","up-regulated","","","","31819497","details","","","","",""
"LINC00961","ovarian cancer","RNA-seq, qPCR, Western blot etc.","up-regulated","","","","27193186","details","","","","",""
"LINC00963","ovarian cancer","qRT-PCR, Western blot","up-regulated","","","","32021459","details","","","","",""
"LINC01088","epithelial ovarian cancer","qPCR, other","down-regulated","","","","30280763","details","","","","",""
"LINC01088","ovarian cancer","Microarray, RT-qPCR, Western blot, Luciferase reporter assay","down-regulated","","","","29440672","details","","","","",""
"LINC01118","Epithelial ovarian cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.","up-regulated","","","","30521855","details","","","","",""
"LINC01125","ovarian cancer","qRT-PCR, Dual luciferase reporter assay, RIP","down-regulated","","","","31865363","details","","","","",""
"LINC01127","ovarian cancer","qPCR, Western blot","up-regulated","","","","30787997","details","","","","",""
"LINC01210","ovarian cancer","qPCR, RIP","up-regulated","","","","31514068","details","","","","",""
"LINK-A","epithelial ovarian cancer","qPCR etc.","up-regulated","","","","32333582","details","","","","",""
"LINK-A","ovarian cancer","qPCR, Western blot","up-regulated","","","","30912527","details","","","","",""
"LINK-A","ovarian cancer","qPCR, Western blot","up-regulated","","","","30061183","details","","","","",""
"LINP1","ovarian cancer","qRT-PCR, Western blot analysis","up-regulated","","","","31957816","details","","","","",""
"lnc-OC1","ovarian cancer","qPCR, luciferase report assay, Western blot, in vitro knockdown","up-regulated","","","","29576507","details","","","","",""
"lnc01133","ovarian cancer","qRT-PCR, Western blot assays","up-regulated","","","","31949667","details","","","","",""
"lncARSR","epithelial ovarian cancer","qPCR, Luciferase reporter assays, Western blot, RIP","up-regulated","","","","30034936","details","","","","",""
"lncBRM","ovarian cancer","qPCR, Western blot, RIP, Luciferase reporter assay etc.","up-regulated","","","","29218242","details","","","","",""
"lncRNA-ATB","ovarian cancer","qRT-PCR, Western blot","down-regulated","","","","32021299","details","","","","",""
"lncRNA-ATB","ovarian cancer","RT-qPCR, Western blot","down-regulated","","","","32010258","details","","","","",""
"lncSOX4","epithelial ovarian cancer","qPCR, Western blot etc.","up-regulated","","","","29693704","details","","","","",""
"LOC100128881","ovarian cancer","Microarray, qPCR etc.","down-regulated","","","","24379988","details","","","","",""
"LOC100292680","ovarian cancer","Microarray, qPCR etc.","down-regulated","","","","24379988","details","","","","",""
"LOXL1-AS1","ovarian cancer","qRT-PCR, RIP","up-regulated","","","","32058209","details","","","","",""
"LSINCT5","ovarian cancer","qPCR, Northern blot etc.","up-regulated","","","","21532345","details","","","","",""
"LSINCT5","epithelial ovarian cancer","qPCR, RNAi etc.","up-regulated","","","","29755595","details","","","","",""
"LUCAT1","ovarian cancer","RT-qPCR","up-regulated","","","","32141534","details","","","","",""
"LUCAT1","ovarian cancer","qPCR, Luciferase reporter assay","up-regulated","","","","30107913","details","","","","",""
"LUCAT1","ovarian cancer","RNA-seq, qPCR, Western blot etc.","up-regulated","","","","27193186","details","","","","",""
"MAGI1-IT1","epithelial ovarian cancer","Microarray , qRT-PCR , Western blot , in vitro knockdown etc.","down-regulated","","","","31122127","details","","","","",""
"MAGI2-AS3","high grade ovarian serous cancer","RNA-seq, qRT-PCR","down-regulated","","","","31842477","details","","","","",""
"MALAT1","ovarian cancer","qPCR, Western blot","up-regulated","","","","29949143","details","","","","",""
"MALAT1","ovarian cancer","qPCR","up-regulated","","","","30003749","details","","","","",""
"MALAT1","ovarian cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown","differential expression","","","","29874124","details","","","","",""
"MALAT1","ovarian cancer","qPCR, Microarray, other","up-regulated","","","","30294913","details","","","","",""
"MALAT1","epithelial ovarian cancer","qPCR, Western blot, in vitro knockdown, etc.","up-regulated","","","","30585260","details","","","","",""
"MALAT1","ovarian cancer","qPCR, Western blot, Luciferase reporter assay, RNAi, etc.","up-regulated","","","","31496733","details","","","","",""
"MALAT1","epithelial ovarian cancer","qPCR, western blot etc.","up-regulated","","","","28770968","details","","","","",""
"MALAT1","epithelial ovarian cancer","qPCR etc.","up-regulated","","","","27446438","details","","","","",""
"MALAT1","epithelial ovarian cancer","qPCR, Western blot, RNAi etc.","up-regulated","","","","29693187","details","","","","",""
"MALAT1","ovarian cancer","qPCR, Luciferase reporter assay etc.","up-Regulated","","","","28899458","details","","","","",""
"MALAT1","ovarian cancer","Microarray, qPCR, in vitro knockdown etc.","up-regulated","","","","27313681","details","","","","",""
"MALAT1","ovarian cancer","qPCR, RNAi, Western blot, Luciferase reporter assay, MTT assay etc.","up-regulated","","","","28031721","details","","","","",""
"MALAT1","ovarian cancer","qPCR, Western blot, RIP etc.","down-regulated","","","","29548748","details","","","","",""
"MALAT1","ovarian cancer","qPCR etc.","up-regulated","","","","28587379","details","","","","",""
"MALAT1","ovarian cancer","qPCR, RNAi, Western blot etc.","up-regulated","","","","27565324","details","","","","",""
"MALAT1","ovarian cancer","qPCR, Western blot, Flow cytometry assay, Cell proliferation assay, in vitro knockdown etc.","up-regulated","","","","27227769","details","","","","",""
"MALAT1","ovarian cancer","Microarray, qPCR etc.","down-regulated","","","","24379988","details","","","","",""
"MALAT1","ovarian cancer","qPCR, Western blot, Flow cytometry, etc.","up-regulated","","","","29949143","details","","","","",""
"MALAT1","ovarian cancer","qPCR, Luciferase reporter assay etc.","up-regulated","","","","29874124","details","","","","",""
"MEG3","ovarian cancer","RT-PCR , Luciferase reporter assay , Western blot etc.","down-regulated","","","","31161607","details","","","","",""
"MEG3","ovarian cancer","qPCR, Microarray, other","down-regulated","","","","30310931","details","","","","",""
"MEG3","ovarian cancer","Microarray, qPCR, Western blot, Luciferase reporter assay, RIP","differential expression","","","","31638182","details","","","","",""
"MEG3","ovarian cancer","qPCR, Western blot, Luciferase reporter assay, Flow cytometry assay, CCK-8 assay etc.","up-regulated","","","","28175963","details","","","","",""
"MEG3","epithelial ovarian cancer","qPCR, Western blot, RIP","down-regulated","","","","28423647","details","","","","",""
"MEG3","epithelial ovarian cancer","qPCR, MSP-PCR, Western blot, Luciferase reporter assay etc.","down-regulated","","","","24859196","details","","","","",""
"MIAT","ovarian cancer","Western blot, Luciferase reporter assay etc","up-regulated","","","","32186927","details","","","","",""
"MIAT","ovarian cancer","qPCR, Luciferase assay, other","up-regulated","","","","30393480","details","","","","",""
"MIF-AS1","ovarian cancer","qPCR, Western blot, Luciferase reporter assay etc","up-regulated","","","","32196575","details","","","","",""
"MIR4435-2HG","ovarian cancer","qPCR, Western blot, other","up-regulated","","","","31435668","details","","","","",""
