"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"CCAT1","prostate cancer","qPCR etc.","up-regulated","","","","29863242","details","","","","",""
"CCAT2","prostate cancer","qPCR, RNAi, Western blot, Cell proliferation assay etc.","up-regulated","","","","27558961","details","","","","",""
"circ-102004","prostate cancer","RT-PCR, Cell Proliferation Assay, Scratch Test (Cell Migration Assay), Transwell Assay (Cell Invasion Assay), Flow Cytometry for the Apoptosis and Cycle Analysis, Western blotting Assay, Establishment of Tumor Xenograft Mice Model","up-regulated","","","","30219508","details","","","","",""
"circ0005276","prostate cancer","qPCR","up-regulated","","","","31624242","details","","","","",""
"circ_0001206","prostate cancer","qRT-PCR , Dual luciferase reporter assay , western blot , cell viability assessment , cell migration and invasion assays , GEPIA","down-regulated","","","","31198063","details","","","","",""
"circ_0001427","prostate cancer","qPCR","down-regulated","","","","30674872","details","","","","",""
"circ_0044516","prostate cancer","qPCR, luciferase reporter assays","up-regulated","","","","31625175","details","","","","",""
"circ_0141940","prostate cancer","qPCR, other","up-regulated","","","","29798970","details","","","","",""
"circ_102004","Prostate Cancer","qPCR, western blot, RNA-seq, other","up-regulated","","","","30219508","details","","","","",""
"circ_51217","prostate cancer","qPCR","up-regulated","","","","31846689","details","","","","",""
"circABCC4","prostate cancer","qRT?PCR , western blot , cell viability assay , colony formation assay , flow cytometry , luciferase assays , migration and invasion assays , tumor xenograft assay","up-regulated","","","","31270953","details","","","","",""
"circAMOTL1L","prostate cancer","cell transfections, cell metastasis assays, antibody and immunoblot, Microarray analysis, xenograft animal model, RNA isolation, qRT-PCR, chromatin immunoprecipitation (ChIP)-qPCR, immunofluorescence staining, in situ hybridization, oligo pulldown, luciferase reporter assay, northern blotting, RNA immunoprecipitation (RIP) assays, CRISPR/Cas9-mediated genomic editing, p53 knockout","down-regulated","","","","30531834","details","","","","",""
"circKATNAL1","prostate cancer","qPCR, RNA pull down assay, RIP and Dual luciferase reporter gene assay","up-regulated","","","","31800303","details","","","","",""
"circSLC19A1","prostate cancer","qPCR","differential expressed","","","","31903637","details","","","","",""
"circSMARCA5","prostate cancer","RNA interference and transient transfection, PCR, Cell proliferation assay, Cell cycle and annexin V-FITC apoptosis assay","up-regulated","","","","28765045","details","","","","",""
"circUCK2","prostate cancer","qPCR","up-regulated","","","","31844675","details","","","","",""
"circZMIZ1","prostate cancer","qPCR","up-regulated","","","","31686520","details","","","","",""
"CRNDE","prostate cancer","qPCR, Luciferase reporter assay etc","up-regulated","","","","32182608","details","","","","",""
"CTB-89H12.4","prostate cancer","qPCR, Western blot, RIP, Dual luciferase reporter assay etc.","up-regulated","","","","26975529","details","","","","",""
"CTBP1-AS","prostate cancer","qPCR, Western blot, Northern blot, RIP etc.","up-regulated","","","","23644382","details","","","","",""
"DANCR","prostate cancer","qPCR, Western blot, Luciferase reporter assay, etc.","up-regulated","","","","31486484","details","","","","",""
"DANCR","prostate cancer","qPCR, RNAi, Western blot, ChIP etc.","up-regulated","","","","27191265","details","","","","",""
"DANCR","prostate cancer","RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.","up-regulated","","","","23728290","details","","","","",""
"DGCR5","prostate cancer","RT-qPCR, Western-Blotting","down-regulated","","","","31920375","details","","","","",""
"DRAIC","prostate cancer","qPCR, RIP","down-regulated","","","","31900260","details","","","","",""
"DRAIC","prostate cancer","qPCR, Western blot etc.","down-regulated","","","","25700553","details","","","","",""
"DUXAP10","prostate cancer","qRT-PCR , Western blot , in vitro knockdown etc.","down-regulated","","","","31114994","details","","","","",""
"EGOT","prostate cancer","RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.","down-regulated","","","","23728290","details","","","","",""
"Erbb4-IR","prostate cancer","qPCR etc","down-regulated","","","","32269615","details","","","","",""
"FAL1","prostate cancer","qPCR, RNA pull-down assay etc.","up-regulated","","","","25203321","details","","","","",""
"FALEC","prostate cancer","qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","28585762","details","","","","",""
"FENDRR","neuroendocrine prostate cancer","RNA-seq, Microarray, qPCR etc.","down-regulated","","","","29757368","details","","","","",""
"FENDRR","prostate cancer","qPCR, Luciferase reporter assay, in vitro knockdown","down-regulated","","","","29465000","details","","","","",""
"FER1L4","prostate cancer","RT-qPCR, Western blot","down-regulated","","","","32140077","details","","","","",""
"FEZF1-AS1","prostate cancer","qPCR, Western blot etc","up-regulated","","","","32196579","details","","","","",""
"FEZF1-AS1","prostate cancer","qPCR, Western blot","up-regulated","","","","31298365","details","","","","",""
"FOXC2-AS1","prostate cancer","qPCR, Western blot, Luciferase reporter assay, other","up-regulated","","","","30389560","details","","","","",""
"FOXP4-AS1","prostate cancer","qPCR, Western blot, Luciferase reporter assay, RIP","up-regulated","","","","31209207","details","","","","",""
"FR0257520","prostate cancer","RNA-seq, qPCR etc.","down-regulated","","","","22349460","details","","","","",""
"FR0348383","prostate cancer","RNA-seq, qPCR etc.","up-regulated","","","","22349460","details","","","","",""
"GAS5","prostate cancer","qPCR, other","down-regulated","","","","31423164","details","","","","",""
"GAS5","prostate cancer","qPCR, Western blot etc.","down-regulated","","","","28396462","details","","","","",""
"GAS5","prostate cancer","qPCR etc.","down-regulated","","","","27922078","details","","","","",""
"GAS5","prostate cancer","qPCR, RNAi, Cell proliferation assay etc.","down-regulated","","","","25650269","details","","","","",""
"GAS5","prostate cancer","qPCR, RNAi etc.","up-regulated","","","","23676682","details","","","","",""
"GAS5","prostate cancer","qPCR etc.","down-regulated","","","","18836484","details","","","","",""
"GAS5","prostate cancer","qPCR, RNAi, Western blot, Dual luciferase reporter assay, Cell proliferation assay, ISH etc.","down-regulated","","","","27743383","details","","","","",""
"GAS5","prostate cancer","qPCR, RNA interference and transient transfection etc.","up-regulated","","","","28771526","details","","","","",""
"GAS5","prostate cancer","RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.","up-regulated","","","","23728290","details","","","","",""
"GASL1","prostate cancer","RT-qPCR, Western blotting  etc.","up-regulated","","","","31186749","details","","","","",""
"GHET1","prostate cancer","qPCR, Western blot, in vitro knockdown, etc.","up-regulated","","","","30609158","details","","","","",""
"GLIDR","prostate cancer","qPCR etc.","up-regulated","","","","28211799","details","","","","",""
"GRP78","prostate cancer","qPCR etc.","up-regulated","","","","28739722","details","","","","",""
"H19","prostate cancer","qPCR, Western blot, Microarray","differential expression","","","","32146726","details","","","","",""
"H19","prostate cancer","qPCR etc","up-regulated","","","","32356434","details","","","","",""
"H19","prostate cancer","qPCR, Western blot, other","down-regulated","","","","31426484","details","","","","",""
"H19","neuroendocrine prostate cancer","RNA-seq, Microarray, qPCR etc.","up-regulated","","","","29757368","details","","","","",""
"H19","prostate cancer","qPCR, Western blot etc.","down-regulated","","","","24988946","details","","","","",""
"H19","prostate cancer","qPCR etc.","down-regulated","","","","24063685","details","","","","",""
"H19","prostate cancer","qPCR, ISH etc.","up-regulated","","","","15525575","details","","","","",""
"HCG11","prostate cancer","qPCR, Western blot, Luciferase reporter assay","down-regulated","","","","31228307","details","","","","",""
"HCG11","prostate cancer","qPCR etc.","down-regulated","","","","27522256","details","","","","",""
"HCP5","prostate cancer","RT-qPCR, Western blot","up-regulated","","","","31746434","details","","","","",""
"HORAS5","prostate cancer","qPCR, Western blot, RNA-seq","up-regulated","","","","30776192","details","","","","",""
"HOTAIR","prostate cancer","RNA-seq, qPCR, Western blot, in vitro knockdown","up-regulated","","","","29944905","details","","","","",""
"HOTAIR","prostate cancer","qPCR, Western blot, Luciferase reporter assay","down-regulated","","","","29807357","details","","","","",""
"HOTAIR","prostate cancer","qPCR, Western blot, in vitro knockdown etc.","down-regulated","","","","29221985","details","","","","",""
"HOTAIR","prostate cancer","qPCR, RNAi, Western blot, Flow cytometry assay etc.","up-regulated","","","","26962687","details","","","","",""
"HOTAIR","prostate cancer","qPCR, Western blot, ChIP, Dot blot etc.","differential expression","","","","27922078","details","","","","",""
"HOTAIR","prostate cancer","qPCR, Western blot, ChIP, Luciferase reporter assay etc.","up-regulated","","","","25895025","details","","","","",""
"HOTAIR","prostate cancer","qPCR, RIP, ChIP, RNA pull-down assay etc.","up-regulated","","","","26411689","details","","","","",""
"HOTAIR","prostate cancer","Microarray, qPCR etc.","up-regulated","","","","23936419","details","","","","",""
"HOTAIR","prostate cancer","qPCR, Western blot etc.","differential expression","","","","29807357","details","","","","",""
"HOTAIR","prostate cancer","qPCR, RNA-seq, ChIP-Seq, etc.","up-regulated","","","","29944905","details","","","","",""
"HOTTIP","prostate cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown","up-regulated","","","","29884766","details","","","","",""
"HOTTIP","prostate cancer","qPCR, Western blot","up-regulated","","","","30809864","details","","","","",""
"HOTTIP","prostate cancer","qRT-PCR etc.","up-regulated","","","","31570281","details","","","","",""
"HOTTIP","prostate cancer","RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.","down-regulated","","","","23728290","details","","","","",""
"HOTTIP","prostate cancer","qPCR, Luciferase reporter assay, Western blot, etc.","up-regulated","","","","29884766","details","","","","",""
"HOXA11-AS","prostate cancer","qPCR, Western blot","up-regulated","","","","31971633","details","","","","",""
"HOXD-AS1","prostate cancer","Microarray Analysis, western blot, RNAi, GhIP etc.","up-regulated","","","","28487115","details","","","","",""
"HULC","prostate cancer","qPCR, Western blot, RNAi","down-regulated","","","","29694502","details","","","","",""
"HULC","prostate cancer","qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","29765457","details","","","","",""
"HULC","prostate cancer","RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.","up-regulated","","","","23728290","details","","","","",""
"HULLK","prostate cancer","qPCR, Western blot","up-regulated","","","","31253147","details","","","","",""
"IDH1-AS1","prostate cancer","qRT-PCR , Luciferase reporter assay , Western blot , RIP , in vitro knockdown etc.","up-regulated","","","","31570703","details","","","","",""
"IGF2AS","prostate cancer","qPCR, other","down-regulated","","","","30423304","details","","","","",""
"ILF3-AS1","prostate cancer","RNA-seq","differential expression","","","","30906477","details","","","","",""
"INXS","prostate cancer","qPCR, RACE-PCR etc.","down-regulated","","","","24992962","details","","","","",""
"IUR","prostate cancer","qPCR","up-regulated","","","","31545930","details","","","","",""
"KCCAT199","prostate cancer","qPCR etc.","differential expression","","","","28945760","details","","","","",""
"KCCAT91","prostate cancer","qPCR etc.","differential expression","","","","28945760","details","","","","",""
"KCNQ1OT1","prostate cancer","RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.","up-regulated","","","","23728290","details","","","","",""
"KLKP1","prostate cancer","Microarray, qPCR etc.","up-regulated","","","","27556357","details","","","","",""
"KLKP1","prostate cancer","Microarray, qPCR etc.","up-regulated","","","","27556357","details","","","","",""
"LAMTOR5-AS1","prostate cancer","qRT-PCR","up-regulated","","","","32117463","details","","","","",""
"LBCS","prostate cancer","qPCR, Western blot, RIP","down-regulated","","","","31221168","details","","","","",""
"LIC01638","prostate cancer","RT-PCR, Western blotting, ELISA etc.","up-regulated","","","","31104008","details","","","","",""
"LINC-PINT","prostate cancer","Microarray, qPCR etc.","up-regulated","","","","27556357","details","","","","",""
"LINC-PINT","prostate cancer","Microarray, qPCR etc.","up-regulated","","","","27556357","details","","","","",""
"LINC-ROR","prostate cancer","qPCR, Microarray etc.","down-regulated","","","","28843521","details","","","","",""
"LINC-ROR","prostate cancer","qPCR, Western blot","up-regulated","","","","30915739","details","","","","",""
"LINC00304","prostate cancer","qRT-PCR , RNAi etc.","up-regulated","","","","31012142","details","","","","",""
"LINC00308","prostate cancer","qPCR","up-regulated","","","","29923546","details","","","","",""
"LINC00355","prostate cancer","qPCR","up-regulated","","","","29923546","details","","","","",""
"LINC00476","prostate cancer","RNA-seq","differential expression","","","","30906477","details","","","","",""
"LINC00514","neuroendocrine prostate cancer","RNA-seq, Microarray, qPCR etc.","up-regulated","","","","29757368","details","","","","",""
"LINC00518","prostate cancer","real-time PCR, Luciferase reporter assay, Western blot, other","up-regulated","","","","30462844","details","","","","",""
"LINC00617","neuroendocrine prostate cancer","RNA-seq, Microarray, qPCR etc.","up-regulated","","","","29757368","details","","","","",""
"LINC00649","prostate cancer","RNA-seq","differential expression","","","","30906477","details","","","","",""
"LINC00662","prostate cancer","qRT-PCR , Luciferase reporter assay , in vitro knockdown etc.","up-regulated","","","","31114993","details","","","","",""
"LINC00663","prostate cancer","qPCR etc.","down-regulated","","","","26743782","details","","","","",""
"LINC00665","prostate cancer","qPCR, Luciferase reporter assay etc.","up-regulated","","","","32273723","details","","","","",""
"LINC00673","prostate cancer","RT-qPCR, Western blot analysis, Dual luciferase reporter gene assay, RIP","up-regulated","","","","31881124","details","","","","",""
"LINC00683","prostate cancer","RNA-seq","down-regulated","","","","30963639","details","","","","",""
"LINC00844","prostate cancer","ChIP-seq, Microarray","down-regulated","","","","30115758","details","","","","",""
"LINC00908","prostate cancer","Microarray, RT-qPCR, Western blot analysis, Dual luciferase reporter assay, RIP","down-regulated","","","","31938018","details","","","","",""
"LINC00963","prostate cancer","Microarray, qPCR, RNAi, Western blot etc.","up-regulated","","","","24691949","details","","","","",""
"LINC00969","prostate cancer","Microarray, qPCR etc.","up-regulated","","","","27556357","details","","","","",""
"LINC00969","prostate cancer","Microarray, qPCR etc.","down-regulated","","","","27556357","details","","","","",""
"LINC01116","prostate cancer","RNA-seq, qPCR, RNAi etc.","up-regulated","","","","28131897","details","","","","",""
"LINC01138","prostate cancer","Microarray, qPCR etc.","down-regulated","","","","27556357","details","","","","",""
"LINC01138","prostate cancer","Microarray, qPCR etc.","up-regulated","","","","27556357","details","","","","",""
"LINC01296","prostate cancer","qPCR, Western blot","up-regulated","","","","28392705","details","","","","",""
"LINCRNA-p21","prostate cancer","qPCR etc.","up-regulated","","","","25999983","details","","","","",""
"LINCRNA-p21","prostate cancer","qPCR, Western blot","down-regulated","","","","28994148","details","","","","",""
"LINCRNA-p21","prostate cancer","qPCR, RNAi, Western blot, Cell proliferation assay etc.","down-regulated","","","","27976428","details","","","","",""
"LINCRNA-p21","prostate cancer","qRT-PCR , Western blot , RIP , Luciferase reporter assay , in vitro knockdown etc.","up-regulated","","","","31189930","details","","","","",""
"LINP1","prostate cancer","qPCR, Western blot","up-regulated","","","","30058678","details","","","","",""
"lnc-MX1-1","prostate cancer","Microarray, qPCR, RNAi etc.","up-regulated","","","","26797523","details","","","","",""
"lncAPP","prostate cancer","qRT-PCR , Luciferase reporter assay , Western blot , RIP , in vitro knockdown etc.","up-regulated","","","","31107971","details","","","","",""
"lncRNA-ATB","prostate cancer","qPCR, Western blot etc.","up-regulated","","","","27176634","details","","","","",""
"lncRNA-THBS4-003","prostate cancer","qPCR, RNAi, Western blot etc.","up-regulated","","","","27357608","details","","","","",""
"LOC100287482","prostate cancer","Microarray, qPCR, RNA-FISH etc.","up-regulated","","","","25307116","details","","","","",""
"LOC100287482","prostate cancer","Microarray, qPCR, RNAi etc.","up-regulated","","","","25513185","details","","","","",""
"LOC283070","prostate cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","29956684","details","","","","",""
"LOC400891","prostate cancer","qPCR, RNAi, Western blot, Cell proliferation assay etc.","up-regulated","","","","26797783","details","","","","",""
"LOC440040","prostate cancer","qPCR, Western blot etc.","up-regulated","","","","29066914","details","","","","",""
"LOXL1-AS1","prostate cancer","qRT-PCR , Microarray , Western blot etc.","down-regulated","","","","31188543","details","","","","",""
"LOXL1-AS1","prostate cancer","qPCR, RNA-seq, Luciferase reporter assay, RNAi, other","down-regulated","","","","30278884","details","","","","",""
"LSAMP-AS1","prostate cancer","RT-qPCR, Western blot","down-regulated","","","","31727599","details","","","","",""
"LUCAT1","prostate cancer","qRT-PCR , Western blot etc.","up-regulated","","","","31081080","details","","","","",""
"MALAT1","prostate cancer","qPCR etc.","down-regulated","","","","32210615","details","","","","",""
"MALAT1","prostate cancer","RNA-seq","differential expression","","","","30906477","details","","","","",""
"MALAT1","prostate cancer","RT-qPCR, Western blot assay, Luciferase assay, RIP","up-regulated","","","","31935634","details","","","","",""
"MALAT1","prostate cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.","up-regulated","","","","30642743","details","","","","",""
"MALAT1","prostate cancer","qPCR, Western blot, ChIP, Dot blot etc.","differential expression","","","","27922078","details","","","","",""
"MALAT1","prostate cancer","Microarray, qPCR etc.","up-regulated","","","","27600237","details","","","","",""
"MALAT1","prostate cancer","qPCR, RNAi, RIP, ChIP etc.","up-regulated","","","","26516927","details","","","","",""
"MALAT1","prostate cancer","RNA-seq, qPCR etc.","up-regulated","","","","22349460","details","","","","",""
"MALAT1","prostate cancer","qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","29633510","details","","","","",""
"MALAT1","prostate cancer","qPCR etc.","up-regulated","","","","23845456","details","","","","",""
"MALAT1","prostate cancer","qPCR, Northern blot etc.","up-regulated","","","","23726266","details","","","","",""
"MANCR","prostate cancer","qPCR, RNA-seq etc","down-regulated","","","","32199616","details","","","","",""
"MCM3AP-AS1","prostate cancer","qPCR, Western blot, RIP etc","up-regulated","","","","32193153","details","","","","",""
"MEG3","prostate cancer","qPCR, Western blot, RIP etc","differential expressed","","","","31790140","details","","","","",""
"MEG3","prostate cancer","qPCR, Western blot, Luciferase reporter assay, RIP, etc.","down-regulated","","","","30565858","details","","","","",""
"MEG3","prostate cancer","qPCR, ISH etc.","down-regulated","","","","14602737","details","","","","",""
"MEG3","prostate cancer","qPCR, RNAi, Western blot, Flow cytometry assay etc.","down-regulated","","","","26610246","details","","","","",""
"MEG3","prostate cancer","RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.","down-regulated","","","","23728290","details","","","","",""
"MIR17HG","prostate cancer","Microarray, qPCR etc.","up-regulated","","","","27556357","details","","","","",""
"MIR17HG","prostate cancer","Microarray, qPCR etc.","up-regulated","","","","27556357","details","","","","",""
"MIR222HG","prostate cancer","qPCR, luciferase reporter assay, RIP, in vitro knockdown etc.","up-regulated","","","","29540675","details","","","","",""
"MNX1-AS1","prostate cancer","qPCR, Western blot","up-regulated","","","","30980513","details","","","","",""
"MYCLo-4","prostate cancer","qPCR, Flow cytometry assay, Cell proliferation assay etc.","down-regulated","","","","26003165","details","","","","",""
"MYCLo-5","prostate cancer","qPCR, Flow cytometry assay, Cell proliferation assay etc.","down-regulated","","","","26003165","details","","","","",""
"MYCLo-6","prostate cancer","qPCR, Flow cytometry assay, Cell proliferation assay etc.","down-regulated","","","","26003165","details","","","","",""
"MYU","prostate cancer","qPCR, ChIP, Dual luciferase activity assay, Western blot","up-regulated","","","","30132573","details","","","","",""
"NAP1L6","prostate cancer","Microarray, qPCR, Western blot","up-regulated","","","","30154665","details","","","","",""
"NCK1-AS1","prostate cancer","RT-qPCR, Western blotting","up-regulated","","","","31807161","details","","","","",""
"NEAT1","prostate cancer","qRT-PCR, Western blot, RIP, Dual luciferase reporter assay","up-regulated","","","","31672604","details","","","","",""
"NEAT1","prostate cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.","up-regulated","","","","31481527","details","","","","",""
"NEAT1","prostate cancer","RNA-seq, qPCR, ChIP etc.","up-regulated","","","","25415230","details","","","","",""
"NEAT1","prostate cancer","RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.","up-regulated","","","","23728290","details","","","","",""
"NORAD","prostate cancer","qPCR, Western blot","up-regulated","","","","31342822","details","","","","",""
"NR2F2-AS1","prostate cancer","qPCR , Western blot etc.","up-regulated","","","","31566058","details","","","","",""
"OSTN-AS1","prostate cancer","qPCR","up-regulated","","","","29923546","details","","","","",""
"PART1","prostate cancer","qPCR, Western blotting, Microarray etc.","up-regulated","","","","29261512","details","","","","",""
"PCA3","prostate cancer","qPCR, Western blot, etc.","up-regulated","","","","30569456","details","","","","",""
"PCA3","prostate cancer","PROGENSA PCA3 assay etc.","up-regulated","","","","21883822","details","","","","",""
"PCA3","prostate cancer","qPCR etc.","differential expression","","","","21655300","details","","","","",""
"PCA3","prostate cancer","qPCR","up-regulated","","","","28938580","details","","","","",""
"PCA3","prostate cancer","qPCR, western blot etc.","differential expression","","","","28739722","details","","","","",""
"PCA3","prostate cancer","qPCR etc.","down-regulated","","","","26960690","details","","","","",""
"PCA3","prostate cancer","qPCR, RNAi, Northern blot, Cell apoptosis assay etc.","up-regulated","","","","26080435","details","","","","",""
"PCA3","prostate cancer","PCR etc.","up-regulated","","","","25445501","details","","","","",""
"PCA3","prostate cancer","qPCR, in vitro knockdown etc.","up-regulated","","","","23130941","details","","","","",""
"PCA3","prostate cancer","RNA-seq, qPCR etc.","up-regulated","","","","22349460","details","","","","",""
"PCA3","prostate cancer","qPCR etc.","up-regulated","","","","20114043","details","","","","",""
"PCA3","prostate cancer","qPCR etc.","up-regulated","","","","20332487","details","","","","",""
"PCA3","prostate cancer","qPCR etc.","up-regulated","","","","19319183","details","","","","",""
"PCA3","prostate cancer","Northern blot etc.","up-regulated","","","","14607216","details","","","","",""
"PCA3","prostate cancer","qPCR etc.","up-regulated","","","","11980670","details","","","","",""
"PCA3","prostate cancer","qPCR, Northern blot etc.","up-regulated","","","","10606244","details","","","","",""
"PCA3","prostate cancer","qPCR, RNAi, Western blot, ChIP, Luciferase reporter assay, Cell proliferation assay etc.","differential expression","","","","27743381","details","","","","",""
"PCA3","prostate cancer","RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.","up-regulated","","","","23728290","details","","","","",""
"PCA3","prostate cancer","qPCR, Northern blot etc.","up-regulated","","","","23726266","details","","","","",""
"PCAN-R1","prostate cancer","RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.","up-regulated","","","","23728290","details","","","","",""
"PCAN-R2","prostate cancer","RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.","up-regulated","","","","23728290","details","","","","",""
"PCAT1","prostate cancer","qPCR, RNA-seq, RIP","up-regulated","","","","30773595","details","","","","",""
"PCAT1","prostate cancer","qPCR etc.","up-regulated","","","","28945760","details","","","","",""
"PCAT1","prostate cancer","qPCR, RNAi, Luciferase reporter assay etc.","up-regulated","","","","25425964","details","","","","",""
"PCAT1","prostate cancer","qPCR etc.","up-regulated","","","","29378170","details","","","","",""
"PCAT1","prostate cancer","qPCR, in vitro knockdown, Western blot","up-regulated","","","","28884413","details","","","","",""
"PCAT1","prostate cancer","qPCR, luciferase reporter assays, Western blot etc.","up-regulated","","","","28922730","details","","","","",""
"PCAT1","prostate cancer","Microarray, qPCR, RNAi, Western blot, Luciferase reporter assay etc.","up-regulated","","","","24473064","details","","","","",""
"PCAT1","prostate cancer","RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.","up-regulated","","","","23728290","details","","","","",""
"PCAT1","prostate cancer","RNA-seq, qPCR, Western blot etc.","up-regulated","","","","21804560","details","","","","",""
"PCAT14","prostate cancer","RNA-seq, qPCR, RNAi, ISH etc.","up-regulated","","","","27566105","details","","","","",""
"PCAT18","prostate cancer","Microarray, qPCR, RNAi etc.","up-regulated","","","","24519926","details","","","","",""
"PCAT19","prostate cancer","qPCR, Western blot, luciferase reporter assay","NA","","","","30033362","details","","","","",""
"PCAT29","prostate cancer","qPCR, Western blot etc.","down-regulated","","","","28467474","details","","","","",""
"PCAT29","prostate cancer","qPCR, Western blot etc.","down-regulated","","","","25700553","details","","","","",""
"PCAT29","prostate cancer","Microarray, qPCR etc.","down-regulated","","","","25030374","details","","","","",""
"PCAT3","prostate cancer","qRT-PCR, Western blot, Luciferase reporter assay, in vitro knockdown","up-regulated","","","","29552304","details","","","","",""
"PCAT5","prostate cancer","RNA-seq, qPCR, RNAi etc.","up-regulated","","","","26282172","details","","","","",""
"PCAT7","prostate cancer","qRT-PCR, Western blotting, Luciferase reporter assay, RIP","up-regulated","","","","31925912","details","","","","",""
"PCAT9","prostate cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown","up-regulated","","","","29552304","details","","","","",""
"PCAT92","prostate cancer","qPCR, Western blot, RIP, RNA-seq, other","up-regulated","","","","30197753","details","","","","",""
"PCGEM1","prostate cancer","qPCR, RNAi, Western blot, ChIP, Luciferase reporter assay, MTT assay etc.","up-regulated","","","","27682980","details","","","","",""
"PCGEM1","prostate cancer","qPCR, Flow cytometry assay etc.","down-regulated","","","","25619388","details","","","","",""
"PCGEM1","prostate cancer","qPCR etc.","up-regulated","","","","25512540","details","","","","",""
"PCGEM1","prostate cancer","qPCR etc.","differential expression","","","","23459097","details","","","","",""
"PCGEM1","prostate cancer","qPCR etc.","up-regulated","","","","20868494","details","","","","",""
"PCGEM1","prostate cancer","qPCR etc.","up-regulated","","","","19186008","details","","","","",""
"PCGEM1","prostate cancer","Northern blot etc.","up-regulated","","","","16569192","details","","","","",""
"PCGEM1","prostate cancer","qPCR etc.","up-regulated","","","","16515751","details","","","","",""
"PCGEM1","prostate cancer","qPCR etc.","up-regulated","","","","14724589","details","","","","",""
