"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"aHIF","hepatocellular carcinoma","Microarray, qPCR etc.","down-regulated","","","","27894309","details","","","","",""
"AK001796","hepatocellular carcinoma","qPCR","up-regulated","","","","30915744","details","","","","",""
"AK002107","hepatocellular carcinoma","qPCR, Luciferase reporter assay, Western blot","up-regulated","","","","30943320","details","","","","",""
"AK021443","hepatocellular carcinoma","qPCR","up-regulated","","","","30070318","details","","","","",""
"AK021443","hepatocellular carcinoma","Microarray, qPCR etc.","up-regulated","","","","26540467","details","","","","",""
"AK021443","hepatocellular carcinoma","qPCR, Western blot etc","up-regulated","","","","29638164","details","","","","",""
"AK023948","hepatocellular carcinoma","qPCR, Microarray, Western blot etc.","up-regulated","","","","29042961","details","","","","",""
"AK055007","hepatocellular carcinoma","Microarray, qPCR, RIP, RNA pull-down assay etc.","down-regulated","","","","21769904","details","","","","",""
"AK055628","hepatocellular carcinoma","qPCR etc.","up-regulated","","","","27729273","details","","","","",""
"AK056988","hepatocellular carcinoma","Microarray, qPCR etc.","down-regulated","","","","25025236","details","","","","",""
"AK093543","hepatocellular carcinoma","Microarray, qPCR etc.","down-regulated","","","","24876753","details","","","","",""
"AK123790","hepatocellular carcinoma","Microarray, qPCR, RIP, RNA pull-down assay etc.","down-regulated","","","","21769904","details","","","","",""
"AL163952.1","hepatocellular carcinoma","RNA-seq","up-regulated","","","","30916406","details","","","","",""
"AL359878.1","hepatocellular carcinoma","RNA-seq","up-regulated","","","","30916406","details","","","","",""
"AL391421.1-3:1","hepatocellular carcinoma","Microarray, qPCR","down-regulated","","","","29981417","details","","","","",""
"ANCR","hepatocellular carcinoma","qRT-PCR, RIP, Western blotting, Dual luciferase reporter gene assay","up-regulated","","","","31868085","details","","","","",""
"ANRIL","hepatocellular carcinoma","qRT-PCR, Western blot, Luciferase Activity Assay, RIP","up-regulated","","","","31679275","details","","","","",""
"ANRIL","hepatocellular carcinoma","qRT-PCR, Western blotting, Luciferase reporter analysis, RIP","up-regulated","","","","31670868","details","","","","",""
"ANRIL","hepatocellular carcinoma","qRT-PCR , Luciferase reporter assay , Western blot etc.","up-regulated","","","","31609763","details","","","","",""
"ANRIL","hepatocellular carcinoma","qPCR, Western blot, other","down-regulated","","","","30249208","details","","","","",""
"ANRIL","hepatocellular carcinoma","Microarray, qPCR etc.","up-regulated","","","","27894309","details","","","","",""
"ANRIL","hepatocellular carcinoma","qRT-PCR, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","29127494","details","","","","",""
"ANRIL","hepatocellular carcinoma","qPCR, Western blot etc.","up-regulated","","","","29029488","details","","","","",""
"ANRIL","hepatocellular carcinoma","qPCR, RNAi etc.","up-regulated","","","","26045820","details","","","","",""
"ANRIL","hepatocellular carcinoma","qPCR, RNAi, Western blot, RIP etc.","up-regulated","","","","25966845","details","","","","",""
"ANRIL","hepatocellular carcinoma","qPCR, RNAi, Western blot, RIP, ChIP, Flow cytometry assay, Cell proliferation assay etc.","up-regulated","","","","27391317","details","","","","",""
"AOC4P","hepatocellular carcinoma","qPCR, RNAi, Western blot, RNA pull-down assay etc.","down-regulated","","","","26160837","details","","","","",""
"AP002478.1","hepatocellular carcinoma","RNA-seq","up-regulated","","","","30916406","details","","","","",""
"ASAP1-IT1","cholangiocarcinoma","qPCR, Western blot etc.","up-regulated","","","","29653361","details","","","","",""
"ASB16-AS1","hepatocellular carcinoma","qRT-PCR, Dual Luciferase Reporter Assay","up-regulated","","","","31807066","details","","","","",""
"ASlnc02525","hepatocellular carcinoma","Luciferase reporter experiment, qPCR etc.","up-regulated","","","","28713968","details","","","","",""
"AT102202","hepatoblastoma","Microarray, qPCR, RNAi etc.","up-regulated","","","","25563320","details","","","","",""
"ATF3-008","intrahepatic cholangiocarcinoma","qPCR","down-regulated","","","","28401021","details","","","","",""
"AURKAPS1","hepatocellular carcinoma","qRT-PCR, Dual luciferase repoerter gene assay, Western blot","up-regulated","","","","31873123","details","","","","",""
"AWPPH","hepatocellular carcinoma","qPCR, Western blot, RIP, ChIP etc.","up-regulated","","","","28428004","details","","","","",""
"AX800134","hepatocellular carcinoma","qPCR, Western blot, in vitro knockdown, RNAi","up-regulated","","","","29789998","details","","","","",""
"AX800134","hepatocellular carcinoma","qPCR, Western blot, RNAi etc.","up-regulated","","","","29789998","details","","","","",""
"AY","hepatocellular carcinoma","Microarray, qPCR, Western blot, Luciferase reporter assay, RIP","up-regulated","","","","31285770","details","","","","",""
"AY129027","hepatocellular carcinoma","Microarray, qPCR, RIP, RNA pull-down assay etc.","up-regulated","","","","21769904","details","","","","",""
"BAIAP2-AS1","hepatocellular carcinoma","Microarray, qPCR, RNAi etc.","up-regulated","","","","27285756","details","","","","",""
"BANCR","hepatocellular carcinoma","qPCR, Western blot etc.","up-regulated","","","","29085476","details","","","","",""
"BANCR","hepatocellular carcinoma","qPCR etc.","down-regulated","","","","29725471","details","","","","",""
"BANCR","hepatocellular carcinoma","qPCR, Western blot, Flow cytometry assay, Cell proliferation assay etc.","up-regulated","","","","26758762","details","","","","",""
"BC014579","hepatocellular carcinoma","Microarray, qPCR etc.","up-regulated","","","","26540467","details","","","","",""
"BC017743","hepatocellular carcinoma","Microarray, qPCR etc.","up-regulated","","","","27894309","details","","","","",""
"BC017743","hepatocellular carcinoma","Microarray, qPCR etc.","up-regulated","","","","25025236","details","","","","",""
"BC043430","hepatocellular carcinoma","Microarray, qPCR etc.","up-regulated","","","","27894309","details","","","","",""
"BC200","hepatocellular carcinoma","RT-qPCR, Western blot analysis","up-regulated","","","","31894342","details","","","","",""
"BC200?","hepatocellular carcinoma","qPCR, other","up-regulated","","","","30400024","details","","","","",""
"BCAR4","liver cancer","qPCR, Luciferase reporter assay etc","up-regulated","","","","32319544","details","","","","",""
"BCYRN1","hepatocellular carcinoma","qRT-PCR, Dual luciferase reporter assay, Western bolt","up-regulated","","","","31920461","details","","","","",""
"BCYRN1","hepatocellular carcinoma","qPCR","up-regulated","","","","31339046","details","","","","",""
"BLACAT1","hepatocellular carcinoma","qRT-PCR , Luciferase reporter assay  etc.","up-regulated","","","","31174090","details","","","","",""
"BZRAP1-AS1","hepatocellular carcinoma","RT-qPCR, Western blot analysis, RIP, Dual luciferase reporter gene assay","up-regulated","","","","31847842","details","","","","",""
"C10orf91","hepatocellular carcinoma","RNA-seq","up-regulated","","","","30916406","details","","","","",""
"C14orf132","hepatocellular carcinoma","Microarray, qPCR etc.","down-regulated","","","","25556502","details","","","","",""
"C1QTNF1-AS1","hepatocellular carcinoma","qRT-PCR , Luciferase reporter assay , Western blot etc.","down-regulated","","","","31069760","details","","","","",""
"C1QTNF1-AS1","hepatocellular carcinoma","qPCR, Western blot","down-regulated","","","","31222560","details","","","","",""
"CACNA1G-AS1","hepatocellular carcinoma","qPCR","up-regulated","","","","30908634","details","","","","",""
"CADM1-AS1","hepatocellular carcinoma","Microarray , qRT-PCR , Western blot , in vitro knockdown etc.","down-regulated","","","","31118799","details","","","","",""
"CARLo-5","hepatocellular carcinoma","qPCR, Western blot, RIP, ChIP etc.","up-regulated","","","","29050269","details","","","","",""
"CASC11","hepatocellular carcinoma","qPCR etc","up-regulated","","","","32194694","details","","","","",""
"CASC11","hepatocellular carcinoma","qPCR","up-regulated","","","","30910841","details","","","","",""
"CASC11","hepatocellular carcinoma","qPCR, Western blot, Luciferase reporter assay, RIP, etc.","up-regulated","","","","30503497","details","","","","",""
"CASC15","hepatocellular carcinoma","qPCR, Western blot, in vitro knockdown","up-regulated","","","","29075788","details","","","","",""
"CASC2","Hepatocellular Carcinoma","qPCR, Luciferase reporter assay, Western blot","down-regulated","","","","31538425","details","","","","",""
"CASC2","hepatocellular carcinoma","qPCR, Western blot","down-regulated","","","","31301261","details","","","","",""
"CASC2","hepatocellular carcinoma","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","29476051","details","","","","",""
"CASC2","hepatocellular carcinoma","qPCR, Western blot etc.","down-regulated","","","","29091305","details","","","","",""
"CASC2","hepatocellular carcinoma","qPCR, Western blot etc.","down-regulated","","","","28716020","details","","","","",""
"CASC2","hepatocellular carcinoma","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown","down-regulated","","","","29319182","details","","","","",""
"CASC2","hepatocellular carcinoma","qPCR, Western blot etc.","down-regulated","","","","28621238","details","","","","",""
"CASC9","hepatocellular carcinoma","qPCR, Western blot, in vitro knockdown, RIP","up-regulated","","","","29790588","details","","","","",""
"CASC9","hepatocellular carcinoma","other","up-regulated","","","","31908394","details","","","","",""
"CASC9?","hepatocellular carcinoma","qPCR, Luciferase reporter assay, other","up-regulated","","","","30416681","details","","","","",""
"CCAT1","hepatocellular carcinoma","qPCR, Luciferase reporter assay","up-regulated","","","","30773676","details","","","","",""
"CCAT1","hepatocellular carcinoma","qPCR, Western blot, Luciferase reporter assay","up-regulated","","","","31218739","details","","","","",""
"CCAT1","cholangiocarcinoma","qPCR","up-regulated","","","","28387907","details","","","","",""
"CCAT1","intrahepatic cholangiocarcinoma","qPCR, Western blot, Luciferase Reporter Assays etc.","up-regulated","","","","28921383","details","","","","",""
"CCAT1","hepatocellular carcinoma","qPCR etc.","up-regulated","","","","26433964","details","","","","",""
"CCAT1","hepatocellular carcinoma","qPCR, Western blot, RNAi, Luciferase reporter assay","up-regulated","","","","28381168","details","","","","",""
"CCAT1","hepatocellular carcinoma","qPCR, RNAi, Western blot etc.","differential expression","","","","26225650","details","","","","",""
"CCAT1","hepatocellular carcinoma","qPCR etc.","up-regulated","","","","26191246","details","","","","",""
"CCAT1","hepatocellular carcinoma","qPCR, Western blot, RIP, Flow cytometry assay, Cell proliferation assay etc.","up-regulated","","","","25884472","details","","","","",""
"CCAT2","hepatocellular carcinoma","qPCR, Luciferase reporter assay, Western blot","up-regulated","","","","30922920","details","","","","",""
"CCAT2","cholangiocarcinoma","qPCR, Western blot, in vitro knockdown etc.","up-regulated","","","","29329034","details","","","","",""
"CCAT2","hepatocellular carcinoma","qPCR, Western blot, Luciferase report assay, RIP, ChIP etc.","up-regulated","","","","28744394","details","","","","",""
"CCAT2","hepatocellular carcinoma","qPCR, RNAi, Cell migration and invasion assay etc.","up-regulated","","","","28280353","details","","","","",""
"CCAT2","hepatocellular carcinoma","qPCR, RNAi etc.","up-regulated","","","","27347113","details","","","","",""
"CCHE1","hepatocellular carcinoma","qPCR, RNAi, Flow cytometry assay, MTT assay etc.","up-regulated","","","","27427851","details","","","","",""
"CDKN2B-AS1","hepatocellular carcinoma","qPCR, Western blot, RIP, Luciferase reporter assay","up-regulated","","","","30165194","details","","","","",""
"CDKN2B-AS1","liver cancer","qPCR, Western blot","up-regulated","","","","31646789","details","","","","",""
"CDKN2BAS","hepatocellular carcinoma","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.","up-regulated","","","","30510148","details","","","","",""
"CEBPA-AS1","liver cancer","qPCR, Western blot, in vitro knockdown, RNAi","up-regulated","","","","31646559","details","","","","",""
"circ_0000092","liver cancer","qPCR, Dual luciferase reporter, RNA pull-down and northern blot assays","up-regulated","","","","32077624","details","","","","",""
"circ_0000284","cholangiocarcinoma","qPCR, Dual luciferase reporter assay, RNA binding protein immunoprecipitation (RIP) assay","up-regulated","","","","31501232","details","","","","",""
"circ_0000502","liver cancer","qPCR, KIT-8 (CCK-8), Transwell and flow cytometry assays","up-regulated","","","","31983112","details","","","","",""
"circ_0000517","liver cancer","qPCR","differential expressed","","","","32355738","details","","","","",""
"circ_0000517","liver cancer","qPCR","up-regulated","","","","31750237","details","","","","",""
"circ_0000594","Hepatoblastoma","qPCR, CCK-8 and colony formation, transwell, and flow cytometry assays","up-regulated","","","","31646606","details","","","","",""
"circ_0001178","liver cancer","qPCR","up-regulated","","","","32240747","details","","","","",""
"circ_0003418","liver cancer","qPCR, western blot, CCK-8 assay, transwell migration assay, transwell invasion assay and drug-sensitivity analysis","down-regulated","","","","31807029","details","","","","",""
"circ_0003998","liver cancer","qPCR","up-regulated","","","","31410028","details","","","","",""
"circ_0004913","liver cancer","qPCR","differential expressed","","","","32355738","details","","","","",""
"circ_0005230","cholangiocarcinoma","qPCR, luciferase reporter assay","up-regulated","","","","30946694","details","","","","",""
"circ_0008160","liver cancer","qPCR","differential expressed","","","","32355738","details","","","","",""
"circ_0008450","liver cancer","qPCR, CCK8, flow cytometry and Luciferase reporter assay","up-regulated","","","","31695501","details","","","","",""
"circ_0009910","liver cancer","qPCR, colony formation, and Transwell assay","up-regulated","","","","32141540","details","","","","",""
"circ_0011536","liver cancer","qPCR","differential expressed","","","","32355738","details","","","","",""
"circ_0015756","liver cancer","qPCR, MTT assay, Transwell assay","up-regulated","","","","31522588","details","","","","",""
"circ_0028502","liver cancer","qPCR","down-regulated","","","","31595711","details","","","","",""
"circ_0031027","liver cancer","qPCR","differential expressed","","","","32355738","details","","","","",""
"circ_0046600","liver cancer","qPCR, Dual luciferase reporter assay","up-regulated","","","","31807009","details","","","","",""
"circ_0051443","liver cancer","qPCR","down-regulated","","","","32014458","details","","","","",""
"circ_0056836","liver cancer","qPCR, FISH","up-regulated","","","","32048611","details","","","","",""
"circ_0070269","liver cancer","qPCR","down-regulated","","","","31606623","details","","","","",""
"circ_0072389","liver cancer","qPCR","differential expressed","","","","32355738","details","","","","",""
"circ_0076251","liver cancer","qPCR","down-regulated","","","","31595711","details","","","","",""
"circ_0085616","liver cancer","qPCR","up-regulated","","","","31496798","details","","","","",""
"circ_0091581","liver cancer","qPCR","differential expressed","","","","32116112","details","","","","",""
"circ_100084","liver cancer","qPCR, Western blotting","differential expressed","","","","32323783","details","","","","",""
"circ_100338","liver cancer","qPCR, RIP","down-regulated","","","","32281302","details","","","","",""
"circ_100338","liver cancer","qPCR","up-regulated","","","","31973767","details","","","","",""
"circ_100395","liver cancer","qPCR, western blot, CCK-8, flow cytometry, Transwell assay","down-regulated","","","","31421050","details","","","","",""
"circ_101237","liver cancer","qPCR","up-regulated","","","","32226487","details","","","","",""
"circ_101505","liver cancer","qPCR","down-regulated","","","","31372241","details","","","","",""
"circ_5692","liver cancer","qPCR, methylation-specific PCR, MTT assay, wound-healing assay, transwell invasion assay, flow cytometry and Western blotting.","down-regulated","","","","31776329","details","","","","",""
"circ_HOMER1","liver cancer","qPCR, Dual luciferase reporter assays","up-regulated","","","","32037619","details","","","","",""
"circABCC2","liver cancer","qPCR, RNA immunoprecipitation (RIP) and luciferase assays","up-regulated","","","","31417632","details","","","","",""
"circADD3","liver cancer","qPCR","up-regulated","","","","31497351","details","","","","",""
"circASAP1","liver cancer","qPCR","up-regulated","","","","31838741","details","","","","",""
"circBACH1","liver cancer","qPCR, RNA immunoprecipitation assays, pull-down assays, and electrophoretic mobility shift assays","up-regulated","","","","32003018","details","","","","",""
"circCDR1as","liver cancer","qPCR, CCK8, EdU, Transwell and tumourigenicity assays","up-regulated","","","","31581132","details","","","","",""
"circCDR1as","cholangiocarcinoma","qPCR, other","up-regulated","","","","29424892","details","","","","",""
"circFBXO11","liver cancer","qPCR","up-regulated","","","","32222024","details","","","","",""
"circFOXP1","liver cancer","qPCR","up-regulated","","","","31698267","details","","","","",""
"circFUT8","liver cancer","PCR","up-regulated","","","","28727484","details","","","","",""
"circHIPK3","liver cancer","qRT-PCR, RNA FISH, Northern blotting, Oligonucleotide transfection, CCK-8 assay, EdU assay, RNA immunoprecipitation, Luciferase reporter assay","up-regulated","","","","27050392","details","","","","",""
"circHMGCS1","Hepatoblastoma","qPCR","up-regulated","","","","30809316","details","","","","",""
"circIGF1R","liver cancer","qPCR","up-regulated","","","","31377314","details","","","","",""
"circIPO11","liver cancer","PCR","up-regulated","","","","28727484","details","","","","",""
"circMAN2B2","liver cancer","qPCR, knockdown","differential expressed","","","","32231737","details","","","","",""
"circMYLK","liver cancer","qPCR","up-regulated","","","","31413665","details","","","","",""
"circPCNX","liver cancer","qPCR, CCK8 assay, colony formation assay and cell apoptosis assay, western blotting","up-regulated","","","","32099459","details","","","","",""
"circPRMT5","liver cancer","qPCR, western blotting, Dual luciferase reporter assay, and RNA immunoprecipitation (RIP) assay","up-regulated","","","","32089501","details","","","","",""
"circPTPRM","liver cancer","qPCR","up-regulated","","","","31494761","details","","","","",""
"circPVT1","liver cancer","qPCR","up-regulated","","","","32017171","details","","","","",""
"circPVT1","liver cancer","qPCR, CCK-8 and transwell assays","up-regulated","","","","31551242","details","","","","",""
"circVAPA","liver cancer","qPCR, CCK-8, colony formation, and EdU assays","up-regulated","","","","31368365","details","","","","",""
"circZFR","liver cancer","PCR","up-regulated","","","","28727484","details","","","","",""
"circZNF292","liver cancer","qRT-PCR , western blot , luciferase reporter assay , RNA-seq , northern blotting , RNase-R treatment, sanger sequencing , colony formation assay , flow cytometry analysis , wound healing assay , cell invasion assay , co-immunoprecipitation , mass spectrometry","up-regulated","","","","31027518","details","","","","",""
"CLLU1","hepatocellular carcinoma","RNA-seq","down-regulated","","","","30916406","details","","","","",""
"cox-2","hepatocellular carcinoma","qPCR, Western blot etc.","down-regulated","","","","29131381","details","","","","",""
"CPS1-IT1","hilar cholangiocarcinoma","qPCR, Western blot, other","up-regulated","","","","30231247","details","","","","",""
"CPS1-IT1","hepatocellular carcinoma","qPCR, Western blot etc.","up-regulated","","","","29137263","details","","","","",""
"CPS1-IT1","hepatocellular carcinoma","Microarray, qPCR, RNAi, Western blot, RNA pull-down assay, Cell proliferation assay etc.","down-regulated","","","","27248828","details","","","","",""
"CPS1-IT1","intrahepatic cholangiocarcinoma","qPCR, RNAi, Western blot, Flow cytometry assay etc.","up-regulated","","","","26499888","details","","","","",""
"CR613944","hepatocellular carcinoma","Microarray, qPCR etc.","down-regulated","","","","25556502","details","","","","",""
"CRNDE","hepatocellular carcinoma","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown","up-regulated","","","","29864897","details","","","","",""
"CRNDE","hepatocellular carcinoma","RNA-seq","up-regulated","","","","30916406","details","","","","",""
"CRNDE","Hepatocellular Carcinoma","qRT-PCR, Western blot analysis etc.","up-regulated","","","","31099050","details","","","","",""
"CRNDE","hepatocellular carcinoma","qPCR, Western blot, other","up-regulated","","","","30430650","details","","","","",""
"CRNDE","hepatocellular carcinoma","qPCR, Western blot, Luciferase reporter assay, other","up-regulated","","","","30246921","details","","","","",""
"CRNDE","hepatocellular carcinoma","qPCR, Western blot, Luciferase reporter assay, other","up-regulated","","","","30230527","details","","","","",""
"CRNDE","liver cancer","qPCR, Western blot, Luciferase reporter assay, RNAi, RIP, other","up-regulated","","","","31416393","details","","","","",""
"CRNDE","intrahepatic cholangiocarcinoma","qPCR, Western blot, in vitro knockdown etc.","up-regulated","","","","29556285","details","","","","",""
"CRNDE","hepatoblastoma","qPCR, RNAi, Western blot, CCK-8 assay, in vitro knockdown etc.","up-regulated","","","","28178668","details","","","","",""
"CRNDE","hepatocellular carcinoma","RNA-seq, qPCR etc.","up-regulated","","","","27499103","details","","","","",""
"CRNDE","hepatocellular carcinoma","RNA-seq, qPCR etc.","up-regulated","","","","26887054","details","","","","",""
"CRNDE","hepatocellular carcinoma","qPCR, RNAi, Western blot, Dual luciferase reporter assay etc.","up-regulated","","","","27822419","details","","","","",""
"CRNDE","hepatocellular carcinoma","qPCR","up-regulated","","","","29221168","details","","","","",""
"CRNDE","hepatocellular carcinoma","qPCR, Luciferase reporter assay etc.","up-regulated","","","","29864897","details","","","","",""
"CTB-167B5.2","hepatocellular carcinoma","Microarray, qPCR etc.","down-regulated","","","","26540467","details","","","","",""
"CTC-297N7.9","hepatocellular carcinoma","qRT-PCR","down-regulated","","","","31674731","details","","","","",""
"CTD-2547G23.4","hepatocellular carcinoma","qPCR, Western blot, in vitro knockdown","up-regulated","","","","29780284","details","","","","",""
"CTD-2574D22.4","hepatocellular carcinoma","qPCR etc.","up-regulated","","","","29684484","details","","","","",""
"CUDR","hepatocellular carcinoma","qPCR etc.","down-regulated","","","","27495068","details","","","","",""
"CYB5R3-1:2","hepatocellular carcinoma","Microarray, qPCR","up-regulated","","","","29981417","details","","","","",""
"DANCR","hepatocellular carcinoma","qRT-PCR, Western blot","up-regulated","","","","32103983","details","","","","",""
"DANCR","cholangiocarcinoma","qPCR, Western blot, luciferase reporter assay etc","up-regulated","","","","32196584","details","","","","",""
"DANCR","Hepatocellular Carcinoma","qRT-PCR, Western blotting, in vitro knockdown, RIP etc.","up-regulated","","","","31038266","details","","","","",""
"DANCR","hepatocellular carcinoma","qPCR, Western blot, other","up-regulated","","","","30430564","details","","","","",""
"DANCR","hepatocellular carcinoma","qPCR etc.","up-regulated","","","","25964079","details","","","","",""
"DANCR","hepatocellular carcinoma","qPCR, RNAi, Western blot, Cell proliferation assay etc.","up-regulated","","","","27919960","details","","","","",""
"DBH-AS1","hepatocellular carcinoma","qPCR, Western blot, Luciferase assay, RIP","up-regulated","","","","30142544","details","","","","",""
"DBH-AS1","hepatocellular carcinoma","Microarray, qPCR etc.","down-regulated","","","","27894309","details","","","","",""
"DBH-AS1","hepatocellular carcinoma","qPCR, RNAi, Western blot etc.","up-regulated","","","","26393879","details","","","","",""
"DCST1-AS1","hepatocellular carcinoma","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.","up-regulated","","","","30617187","details","","","","",""
"DCST1-AS1","hepatocellular carcinoma","Microarray, qPCR, Western blot","up-regulated","","","","31371999","details","","","","",""
"DCST1-AS1","hepatocellular carcinoma","Microarray, qPCR, Western blot, in vitro knockdown","up-regulated","","","","31364110","details","","","","",""
"DDX11-AS1","hepatocellular carcinoma","qRT-PCR , Western blot , RIP , RNAi , in vitro knockdown etc.","up-regulated","","","","31097223","details","","","","",""
"DGCR5","hepatocellular carcinoma","qPCR","up-regulated","","","","31538334","details","","","","",""
"DGCR5","hepatocellular carcinoma","qPCR, Western blot, other","down-regulated","","","","30230592","details","","","","",""
"DGCR5","hepatocellular carcinoma","qPCR, Western blo, Luciferase reporter assay, RNAi, RIP, other","down-regulated","","","","30216442","details","","","","",""
"DGCR5","hepatocellular carcinoma","qPCR etc.","down-regulated","","","","27898409","details","","","","",""
"DLEU1","hepatocellular carcinoma","qPCR, Western blot, Luciferase reporter assay, RIP","up-regulated","","","","31207081","details","","","","",""
"DLEU2","hepatocellular carcinoma","qPCR","up-regulated","","","","32114505","details","","","","",""
"DLEU2","hepatocellular carcinoma","qPCR, Western blot, RIP","up-regulated","","","","31376657","details","","","","",""
"DLG2AS","hepatocellular carcinoma","Microarray, qPCR etc.","down-regulated","","","","27894309","details","","","","",""
"DLGAP1-AS1","hepatocellular carcinoma","qRT-PCR, Western blot (WB) analysis, RIP, Luciferase reporter assay","up-regulated","","","","31949128","details","","","","",""
"DLGAP1-AS1","hepatocellular carcinoma","qPCR, Western blot, Luciferase reporter assay, RIP","up-regulated","","","","31633236","details","","","","",""
"DLX6-AS1","liver cancer","RIP","up-regulated","","","","30805988","details","","","","",""
"DLX6-AS1","liver cancer","Microarray , qRT-PCR , Luciferase reporter assay , Western blot , RIP etc.","up-regulated","","","","31171015","details","","","","",""
"DLX6-AS1","hepatocellular carcinoma","qPCR, Luciferase reporter assay, Western blot","up-regulated","","","","29145165","details","","","","",""
"DQ786243","hepatocellular carcinoma","Microarray, qPCR, RIP, RNA pull-down assay etc.","up-regulated","","","","21769904","details","","","","",""
"DQ786243","hepatocellular carcinoma","qPCR, Western blot, RIP","up-regulated","","","","29669339","details","","","","",""
"DREH","hepatocellular carcinoma","qPCR etc.","down-regulated","","","","28789433","details","","","","",""
"DRHC","hepatocellular carcinoma","qPCR, RNAi, Western blot, other","down-regulated","","","","30362626","details","","","","",""
"DSCAM-AS1","hepatocellular carcinoma","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP","up-regulated","","","","31396335","details","","","","",""
"DSCR8","hepatocellular carcinoma","qPCR, Western blot, RIP, Luciferase reporter assay","up-regulated","","","","30154476","details","","","","",""
"DUXAP10","Hepatocellular Carcinoma","qRT-PCR, Western blotting, in vitro knockdown etc.","up-regulated","","","","30996112","details","","","","",""
"DUXAP10","hepatocellular carcinoma","qRT-PCR, Western blotting etc.","up-regulated","","","","31576658","details","","","","",""
"DUXAP8","hepatocellular carcinoma","qRT-PCR, Western blot","up-regulated","","","","32022476","details","","","","",""
"DUXAP8","hepatocellular carcinoma","qRT-PCR , RIP etc.","down-regulated","","","","31571902","details","","","","",""
"ecCEBPA","hepatocellular carcinoma","qPCR, Western blot etc.","down-regulated","","","","29748795","details","","","","",""
"EGFR-AS1","hepatocellular carcinoma","Microarray, qPCR, RNAi, Western blot, Flow cytometry assay etc.","up-regulated","","","","26271667","details","","","","",""
"EGOT","hepatocellular carcinoma","RT-PCR, Western blot","up-regulated","","","","32021242","details","","","","",""
"EGOT","hepatocellular carcinoma","qPCR, Western blot etc.","up-regulated","","","","27283940","details","","","","",""
"EIF3J-AS1","hepatocellular carcinoma","qPCR, Western blot, Luciferase reporter assay, RNAi","up-regulated","","","","31421822","details","","","","",""
"ELMO1-AS1","hepatocellular carcinoma","qPCR, etc.","down-regulated","","","","31498334","details","","","","",""
"ENST00000395084","hepatocellular carcinoma","Microarray, qPCR etc.","up-regulated","","","","25025236","details","","","","",""
"ENST00000421965","hepatocellular carcinoma","qPCR etc.","up-regulated","","","","27729273","details","","","","",""
"ENST00000425005","liver cancer","RT-PCR, Western blot","up-regulated","","","","31704308","details","","","","",""
"ENST00000438347","hepatocellular carcinoma","qPCR etc.","up-regulated","","","","27729273","details","","","","",""
"ENST00000438347","hepatocellular carcinoma","qPCR etc.","up-regulated","","","","27729273","details","","","","",""
