49,BACE1-AS, BACE1-AS1
50,BACE1-AS, NCRNA00177
51,BANCR,LINC00586
52,BBOX1-AS1,BBOX1 antisense RNA 1
53,BBOX1-AS1,HSALNG0083285
54,BBOX1-AS1,NONHSAG007888.2
55,BBOX1-AS1,BBOX1-AS1
56,"BC200",BC200
57,"BC200", BC200a
58,"BC200", LINC00004
59,"BC200", NCRNA00004
60,"BC200", BCYRN1
61,BCAR4,breast cancer anti-estrogen resistance 4
62,BCAR4,breast cancer anti-estrogen resistance 4 (non-protein coding)
63,BCAR4,breast cancer antiestrogen resistance 4 protein
64,BCAR4,BCAR4
65,BCAR4,HSALNG0109621
66,BCAR4,NONHSAG018621.2
67,BCAR4,Breast cancer antiestrogen resistance 4 protein
68,BCAR4,"HCG1814062, isoform CRA_a"
69,BDNF-AS,BDNF
70,BDNF-AS, BDNFAS
71,BDNF-AS, BDNFOS
72,BDNF-AS, BDNF-AS1
73,BDNF-AS, ANTI-BDNF
74,BDNF-AS, NCRNA00049
75,BLACAT1,BLACAT1 overlapping LEMD1 locus
76,BLACAT1,linc-UBC1
77,BLACAT1,LINC00912
78,BLACAT1,onco-lncRNA-30
79,BLACAT1,long intergenic noncoding RNA up-regulated in bladder cancer
80,BLACAT1,long intergenic non-protein coding RNA 912
81,BLACAT1,bladder cancer associated transcript 1 (non-protein coding)
82,BLACAT1,bladder cancer associated transcript 1
83,BLACAT1,NONHSAG004054.2
84,BLACAT1,HSALNG0009941
85,BLACAT1,BLACAT1
86,BLACAT1,Bladder cancer-associated transcript 1
87,"BLACAT2",BLACAT2
88,"BLACAT2", LINC00958
89,"C20orf200",CARMA
90,"C20orf200", C20orf200
91,"C20orf200", NCRNA00335
92,"C20orf200", MIR1-1HG-AS1
93,"C20orf200", C20orf166-AS1
94,"C20orf200", MIR1-1HG-AS1
95,CA3-AS1,CA3 antisense RNA 1
96,CA3-AS1,CA3-AS1
97,CA3-AS1,NONHSAG050661.2
98,CA3-AS1,HSALNG0066709
99,CACNA1G-AS1,CAS1
100,"CACS15",CANT
101,"CACS15", LINC00340
102,"CACS15", lnc-SOX4-1
103,"CACS15", CASC15
104,CAHM,LINC00468
105,"CALIC",CALIC
106,"CALIC", LINC00920
107,CASC11,MYMLR
108,CASC11, CARLO7
109,CASC11, CARLo-7
110,CASC11, LINC00990
111,CASC11, TCONS_00014535
112,CASC19,CARLO6
113,CASC19, CARLo-6
114,CASC19, LINC01245
115,CASC2,C10orf5
116,CASC21,CARLO2
117,CASC21, CARLo-2
118,CASC21, LINC01244
119,CASC9,ESSCAL1
120,CASC9, ESCCAL-1
121,CASC9, LINC00981
122,CASC9, linc-JPH1
123,CCAT1,CARLO5
124,CCAT1, CARLo-5
125,CCAT1, onco-lncRNA-40
126,CCAT2,NCCP1
127,CCAT2, LINC00873
128,"CCAT7",CCAT7
129,"CCAT7", DLGAP4-AS1
130,"CCHE1",CCHE1
131,"CCHE1", lncRNA-CCHE1
132,"CCHE1", CCEPR
133,CPS1-IT1,CPS1IT
134,CPS1-IT1, CPS1-IT
135,CPS1-IT1, CPS1IT1
136,CPS1-IT1, PRO0132
137,CRNDE,CRNDEP
138,CRNDE, PNAS-108
139,CRNDE, lincIRX5
140,CRNDE, LINC00180
141,CRNDE, NCRNA00180
142,"CTA-941F9.9",TCONS_00029353
143,"CTA-941F9.9", LINC01589
144,CYTOR,C2orf59
145,CYTOR, LINC00152
146,CYTOR, NCRNA00152
147,DDX11-AS1,CONCR
148,DDX11-AS1, SCAT4
149,DGCR5,DGCR9
150,DGCR5, DGS-A
151,DGCR5, DGS-B
152,DGCR5, DGCR10
153,DGCR5, LINC00037
154,DGCR5, POM121L5P
155,DGCR5, NCRNA00037
156,DLEU1,BCMS
157,DLEU1, DLB1
158,DLEU1, LEU1
159,DLEU1, LEU2
160,DLEU1, XTP6
161,DLEU1, BCMS1
162,DLEU1, DLEU2
163,DLEU1, LINC00021
164,DLEU1, NCRNA00021
165,DLEU7-AS1,DLEU7 antisense RNA 1
166,DLEU7-AS1,DLEU7 antisense RNA 1 (non-protein coding)
167,DLEU7-AS1,DLEU1
168,DLEU7-AS1,deleted in lymphocytic leukemia 1
169,DLEU7-AS1,BCMS
170,DLEU7-AS1,BCMS1
171,DLEU7-AS1,DLB1
172,DLEU7-AS1,LEU1
173,DLEU7-AS1,LINC00021
174,DLEU7-AS1,NCRNA00021
175,DLEU7-AS1,XTP6
176,DLEU7-AS1,HSALNG0097105
177,DLEU7-AS1,HSALNG0097125
178,DLEU7-AS1,NONHSAG013524.2
179,DLEU7-AS1,NONHSAG013534.2
180,DLEU7-AS1,lnc-RNASEH2B-4
181,DLEU7-AS1,DLEU7-AS1
182,DLEU7-AS1,NONHSAG013533.2
183,DLX6-AS1,Evf-2
184,DLX6-AS1, DLX6AS
185,DLX6-AS1, DLX6-AS
186,DLX6-AS1, NCRNA00212
187,DPP10-AS1,DPP10 antisense RNA 1
188,DPP10-AS1,BC032913
189,DPP10-AS1,HSALNG0018139
190,DPP10-AS1,NONHSAG029050.2
191,DPP10-AS1,DPP10-AS1
192,DSCAM-AS1,M41
193,DUXAP10,double homeobox A pseudogene 10
194,DUXAP8,double homeobox A pseudogene 8
195,"EIF3J-AS1",EIF3J-AS1
196,"EIF3J-AS1", EIF3J-DT
197,ELFN1-AS1,MYCLo-2
198,EWSAT1,TMEM84
199,EWSAT1, LINC00277
200,EWSAT1, NCRNA00277
201,EZR-AS1,EZR antisense RNA 1
202,EZR-AS1,EZR antisense RNA 1 (non-protein coding)
203,EZR-AS1,lnc-SYTL3-150
204,EZR-AS1,NONHSAG045266.2
205,EZR-AS1,HSALNG0054698
206,"FAL1",FAL1
207,"FAL1", ncRNA-a1
208,"FAL1", LINC00568
209,"FAL1", FALEC
210,FAM3D-AS1,lnc-KCTD6-3
211,FBXL19-AS1,NCRNA00095
212,FENDRR,FOXF1AS1
213,FENDRR, FOXF1-AS1
214,FENDRR, lincFOXF1
215,FENDRR, TCONS_00024240
216,FENDRR, onco-lncRNA-21
217,FER1L4,C20orf124
218,FEZF1-AS1,FEZF1 antisense RNA 1
219,FEZF1-AS1,FEZF1 antisense RNA 1 (non-protein coding)
220,FEZF1-AS1,HSALNG0060982
221,FEZF1-AS1,FEZF1-AS1
222,FEZF1-AS1,NONHSAG048666.2
223,FGD5-AS1,FGD5 antisense RNA 1
224,FGD5-AS1,FGD5 antisense RNA 1 (non-protein coding)
225,FGD5-AS1,FGD5-AS1
226,FGD5-AS1,NONHSAG034508.2
227,FGD5-AS1,HSALNG0024364
228,FGD5-AS1,HSALNG0024365
229,FGD5-AS1,HSALNG0024362
230,FOXD2-AS1,FOXD2 adjacent opposite strand RNA 1
231,FOXD2-AS1,MGC12982
232,FOXD2-AS1,FOXD2 antisense RNA 1 (non-protein coding)
233,FOXD2-AS1,FOXD2 antisense RNA 1
234,FOXD2-AS1,FOXD2 antisense RNA 1 (head to head)
235,FOXD2-AS1,HSALNG0003395
236,FOXD2-AS1,FOXD2-AS1
237,FOXD2-AS1,NONHSAG001375.2
238,FOXD3-AS1,FAST
239,FOXD3-AS1, pasFOXD3
240,FOXP4-AS1,FOXP4 antisense RNA 1
241,FOXP4-AS1,FOXP4-AS1
242,FOXP4-AS1,HSALNG0050030
243,FOXP4-AS1,NONHSAG043770.2
244,FOXP4-AS1,HSALNG0050034
245,FTX,LINC00182
246,FTX, MIR374AHG
247,FTX, NCRNA00182
248,GACAT3,LINC01458
249,GACAT3, lncRNA-AC130710
250,GAPLINC,LINC01540
251,GAS5,SNHG2
252,GAS5, NCRNA00030
253,"GAS8-AS",C16orf3
254,"GAS8-AS", GAS8-AS1
255,GHET1,lncRNA-GHET1
256,GHRLOS,GHRLAS
257,GHRLOS, GHRL-AS1
258,GHRLOS, NCRNA00068
259,GIHCG,GIHCG inhibitor of miR-200b/200a/429 expression
260,GIHCG,lncRNA-GIHCG
261,GIHCG,lncRNA gradually increased during hepatocarcinogenesis
262,GIHCG,"GIHCG, inhibitor of miR-200b/200a/429 expression"
263,GIHCG,HSALNG0091676
264,GIHCG,lnc-CTDSP2-2
265,GIHCG,NONHSAG011461.2
266,GSEC,DCPS-AS1
267,GSEC, ST3GAL4-AS1
268,"GUARDIN",GUARDIN
269,"GUARDIN", LINC01759
270,"GUARDIN", LNCTAM34A
271,H19,ASM
272,H19, BWS
273,H19, WT2
274,H19, ASM1
275,H19, D11S813E
276,H19, MIR675HG
277,H19, LINC00008
278,H19, NCRNA00008
279,HAGLR,Mdgt
280,HAGLR, HOXD-AS1
281,HAGLR, MIR7704HG
282,HAND2-AS1,UPH
283,HAND2-AS1, DEIN
284,HAND2-AS1, NBLA00301
285,"HCG18
",HLA complex group 18
286,"HCG18
",FLJ31598
287,"HCG18
",FLJ25550
288,"HCG18
",Em:AB014087.1
289,"HCG18
",HLA complex group 18 (non-protein coding)
290,"HCG18
",HSALNG0049132
291,"HCG18
",NONHSAG046574.2
292,"HCG18
",lnc-TRIM26-2
293,"HCG18
",NONHSAG045872.2
294,"HCG18
",NONHSAG043403.2
295,"HCG18
",NONHSAG045570.2
296,"HCG18
",NONHSAG046390.2
297,"HCG18
",NONHSAG045682.2
298,"HCG18
",NONHSAG046057.2
299,HCP5,P5-1
300,HCP5, 6S2650E
301,HCP5, D6S2650E
302,HIF1A-AS1,5'aHIF-1A
303,HIF1A-AS1, 5'aHIF1alpha
304,HIF1A-AS2,aHIF
305,HIF1A-AS2, 3'aHIF-1A
306,HLA-F-AS1,HLA-F antisense RNA 1
307,HLA-F-AS1,HLA-F antisense RNA 1 (non-protein coding)
308,HLA-F-AS1,HSALNG0049088
309,HLA-F-AS1,NONHSAG045652.2
310,HLA-F-AS1,HLA-F-AS1
311,HLA-F-AS1,NONHSAG046030.2
312,HLA-F-AS1,NONHSAG043371.2
313,HLA-F-AS1,NONHSAG045843.2
314,HLA-F-AS1,NONHSAG046548.2
315,HLA-F-AS1,NONHSAG046364.2
316,HLA-F-AS1,NONHSAG046192.2
317,HNF1A-AS1,HAS1
318,HNF1A-AS1, C12orf27
319,HNF1A-AS1, NCRNA00262
320,HOTAIR,HOXAS
321,HOTAIR, HOXC-AS4
322,HOTAIR, HOXC11-AS1
323,HOTAIR, NCRNA00072
324,HOTAIRM1,HOXA-AS1
325,HOTAIRM1, HOXA1-AS1
326,HOTAIRM1, NCRNA00179
327,HOTTIP,HOXA-AS6
328,HOTTIP, HOXA13-AS1
329,HOTTIP, NCRNA00213
330,HOXA-AS2,HOXA3as
331,HOXA11-AS,HOXA11S
332,HOXA11-AS, HOXA-AS5
333,HOXA11-AS, HOXA11AS
334,HOXA11-AS, HOXA11-AS1
335,HOXA11-AS, NCRNA00076
336,HOXB-AS3,HOXB cluster antisense RNA 3
337,HOXB-AS3,HOXB cluster antisense RNA 3 (non-protein coding)
338,HOXB-AS3,HSALNG0117101
339,HOXB-AS3,HOXB-AS3
340,HOXB-AS3,NONHSAG022078.2
341,HULC,HCCAT1
342,HULC, LINC00078
343,HULC, NCRNA00078
344,IQCJ-SCHIP1-AS1,uaz98
345,ITIH4-AS1,ITIH4 antisense RNA 1
346,ITIH4-AS1,ITIH4 antisense RNA 1 (non-protein coding)
347,ITIH4-AS1,HSALNG0026200
348,ITIH4-AS1,NONHSAG035191.2
349,kcna3,MK3
350,kcna3, HGK5
351,kcna3, HLK3
352,kcna3, PCN3
353,kcna3, HPCN3
354,kcna3, KV1.3
355,kcna3, HUKIII
356,KCNQ1OT1,LIT1
357,KCNQ1OT1, Kncq1
358,KCNQ1OT1, KvDMR1
359,KCNQ1OT1, KCNQ10T1
360,KCNQ1OT1, KCNQ1-AS2
361,KCNQ1OT1, KvLQT1-AS
362,KCNQ1OT1, NCRNA00012
363,"KIAA0125",HSPC053
364,"KIAA0125", KIAA0125
365,"KIAA0125", C14orf110
366,"KIAA0125", FAM30A
367,KRT7-AS,KRT7 antisense RNA 1
368,KRT7-AS,HSALNG0141636
369,KRT7-AS,NONHSAG011190.2
370,KRT7-AS,KRT7-AS
371,LDLRAD4-AS1,LDLRAD4 antisense RNA 1
372,LDLRAD4-AS1,LDLRAD4-AS1
373,LDLRAD4-AS1,NONHSAG023432.2
374,LDLRAD4-AS1,HSALNG0120168
375,LEF1-AS1,LEF1NAT
376,LIFR-AS1,LIFR antisense RNA 1
377,LIFR-AS1,LIFR antisense RNA 1 (non-protein coding)
378,LIFR-AS1,CTD-2196P11.1
379,LIFR-AS1,NONHSAG040229.2
380,LIFR-AS1,LIFR-AS1
381,LIFR-AS1,HSALNG0041283
382,"LINC-ITGB1",linc-ITGB1
383,"LINC-ITGB1", TCONS_00018476
384,"LINC-ITGB1", IATPR
385,LINC-PINT,PINT
386,LINC-PINT, MKLN1-AS1
387,LINC-PINT, LincRNA-Pint
388,"LINC-POU3F3",LINC01158
389,"LINC-POU3F3", linc-Brn1a
390,"LINC-POU3F3", linc-POU3F3
391,"LINC-POU3F3", PANTRI1
392,LINC-ROR,ROR
393,LINC-ROR, lincRNA-RoR
394,LINC-ROR, lincRNA-ST8SIA3
395,LINC-UFC1 (LOC112543491),linc-UFC1
396,LINC-UFC1 (LOC112543491),NONHSAG003243.2
397,LINC-UFC1 (LOC112543491),lnc-NIT1-1
398,LINC00114,C21orf24
399,LINC00114, NCRNA00114
400,LINC00174,NCRNA00174
401,LINC00261,ALIEN
402,LINC00261, DEANR1
403,LINC00261, FALCOR
404,LINC00261, HCCDR1
405,LINC00261, C20orf56
406,LINC00261, NCRNA00261
407,LINC00261, TCONS_00027846
408,LINC00261, onco-lncRNA-17
409,LINC00265,NCRNA00265
410,LINC00312,NAG7
411,LINC00312, ERR10
412,LINC00312, NAG-7
413,LINC00312, ERR-10
414,LINC00312, LMCD1DN
415,LINC00312, LOH3CR2A
416,LINC00312, NCRNA00312
417,LINC00324,C17orf44
418,LINC00324, NCRNA00324
419,LINC00460,long intergenic non-protein coding RNA 460
420,LINC00460,HSALNG0099182
421,LINC00460,NONHSAG014130.2
422,LINC00460,LINC00460
423,LINC00461,VISC
424,LINC00461, NDIME
425,LINC00461, ECONEXIN
426,LINC00461, EyeLinc1
427,LINC00467,C1orf97
428,LINC00472,P53RRA
429,LINC00472, C6orf155
430,LINC00473,LNC473
431,LINC00473, C6orf176
432,LINC00473, bA142J11.1
433,LINC00504,long intergenic non-protein coding RNA 504
434,LINC00504,LINC00504
435,LINC00504,HSALNG0033033
436,LINC00504,NONHSAG037530.2
437,LINC00504,HSALNG0033029
438,LINC00504,NONHSAG037532.2
439,LINC00511,LCAL5
440,LINC00511, onco-lncRNA-12
441,LINC00520,LASSIE
442,LINC00520, C14orf34
443,LINC00630,long intergenic non-protein coding RNA 630
444,LINC00630,HSALNG0139262
445,LINC00630,LINC00630
446,LINC00630,NONHSAG055008.2
447,LINC00630,NONHSAG055021.2
448,LINC00630,HSALNG0139280
449,LINC00630,lnc-RAB40AL-1
450,LINC00659,long intergenic non-protein coding RNA 659
451,LINC00659,LINC00659
452,LINC00659,HSALNG0131561
453,LINC00659,NONHSAG032251.2
454,LINC00662,long intergenic non-protein coding RNA 662
455,LINC00662,CTC-459F4.2
456,LINC00662,LINC00662
457,LINC00662,HSALNG0125113
458,LINC00662,NONHSAG025376.2
459,LINC00662,NONHSAG025379.2
460,LINC00707,long intergenic non-protein coding RNA 707
461,LINC00707,NONHSAG005153.2
462,LINC00707,LINC00707
463,LINC00707,HSALNG0075982
464,LINC00707,lnc-PFKFB3-4
465,LINC00858,CRCAL-2
466,LINC00957,long intergenic non-protein coding RNA 957
467,LINC00957,HSALNG0057614
468,LINC00957,NONHSAG047469.2
469,LINC00957,HSALNG0057613
470,LINC00957,LINC00957
471,"LINC00959",LINC00959
472,"LINC00959", C10orf143
473,"LINC01021",LINC01021
474,"LINC01021", PURPL
475,LINC01082,TCONS_00024492
476,LINC01119,long intergenic non-protein coding RNA 1119
477,LINC01119,NONHSAG027675.2
478,LINC01119,lnc-SOCS5-4
479,LINC01119,HSALNG0014713
480,LINC01133,long intergenic non-protein coding RNA 1133
481,LINC01133,lncRNA-PAGBC
482,LINC01133,prognosis-associated gallbladder cancer lncRNA
483,LINC01133,LINC01133
484,LINC01133,HSALNG0007801
485,LINC01133,NONHSAG003198.2
486,LINC01194,TAG
487,LINC01194, CT49
488,LINC01234,LCAL84
489,LINC01234, onco-lncRNA-32
490,"LINC01296",LNMAT1
491,"LINC01296", LINC01296
492,"LINC01296", DUXAP9
493,LINC01354,long intergenic non-protein coding RNA 1354
494,LINC01354,LINC01354
495,LINC01354,HSALNG0011601
496,LINC01354,NONHSAG004677.2
497,LINC01410,long intergenic non-protein coding RNA 1410
498,LINC01410,HSALNG0071451
499,LINC01410,LINC01410
500,LINC01410,NONHSAG052409.2
501,LINC01410,NONHSAG052410.2
502,LINC01413,long intergenic non-protein coding RNA 1413
503,LINC01413,NONHSAG016997.2
504,LINC01413,HSALNG0106173
505,LINC01413,LINC01413
506,LINC01503,long intergenic non-protein coding RNA 1503
507,LINC01503,lnc-PPP2R4-5
508,LINC01503,RP11-65J3.1
509,LINC01503,hCG2021613
510,LINC01503,HSALNG0074718
511,LINC01503,LINC01503
512,LINC01503,NONHSAG053577.2
513,"LINC01510",COMET
514,"LINC01510", LINC01510
515,"LINC01510", COMETT
516,LINC01555,C1orf180
517,LINC01602,T1560
518,LINC02418,long intergenic non-protein coding RNA 2418
519,LINC02418,LINC02418
520,LINC02418,NONHSAG012741.2
521,LINC02595,long intergenic non-protein coding RNA 2595
522,LINC02595,HSALNG0137607
523,LINC02595,NONHSAG054345.2
524,LINC02595,lnc-CXorf36-46
525,LINC02595,HSALNG0137594
526,LINC02595,HSALNG0137593
527,"lnc-OC1",Lnc-OC1
528,"lnc-OC1", LNCOC1
529,"lncCMPK2",lncCMPK2
530,"lncCMPK2", lncRNA-CMPK2
531,"lncCMPK2", NRIR
532,"lncRNA-HEIH",HCCAT2
533,"lncRNA-HEIH", LINC-HEIH
534,"lncRNA-HEIH", LINC00848
535,"lncRNA-HEIH", lncRNA-HEIH
536,"lncRNA-HEIH", HEIH
537,"lncRNA-LET",lncRNA-LET
538,"lncRNA-LET", NPTN-IT1
539,"lncRNA-MIF",lncRNA-MIF
540,"lncRNA-MIF", ODC1-DT
541,"lncRNA00673",SLNCR
542,"lncRNA00673", SLNCR1
543,"lncRNA00673", ERRLR01
544,"lncRNA00673", HILNC75
545,"lncRNA00673", LUCAIR1
546,"lncRNA00673", HI-LNC75
547,"lncRNA00673", LINC00673
548,"lncTCF7",LncTCF7
549,"lncTCF7", TCONS_00009511
550,"lncTCF7", WSPAR
551,"LOC100287225",long intergenic non-protein coding RNA 1630
552,"LOC100287225",LOC100287225
553,"LOC100287225",HSALNG0121579
554,"LOC100287225",LINC01630
555,"LOC100287225",NONHSAG023877.2
556,"LOC100287225",NONHSAG023874.2
557,"LOC100287225", LINC01630
558,"LOC285194",LSAMPAS3
559,"LOC285194", LINC00902
560,"LOC285194", LSAMP-AS1
561,"LOC285194", LSAMP-AS3
562,"LOC285194", NCRNA00295
563,"LOC285194", TUSC7
564,"LOC285629",long intergenic non-protein coding RNA 2159
565,"LOC285629",NONHSAG042116.2
566,"LOC285629",LINC02159
567,"LOC285629", LINC02159
568,"LOC554202",LncHIFCAR
569,"LOC554202", hsa-lnc-31
570,"LOC554202", MIR31HG
571,LSINCT5,long stress-induced non-coding transcript 5
572,LSINCT5,HSALNG0039679
573,LSINCT5,lnc-C5orf38-7
574,LUADT1,lung adenocarcinoma associated transcript 1
575,LUADT1,HSALNG0054158
576,LUADT1,LUADT1
577,LUADT1,NONHSAG045093.2
578,LUCAT1,SCAL1
579,LUCAT1, SCAT5
580,LUNAR1,leukemia-associated non-coding IGF1R activator RNA 1
581,LUNAR1,leukemia-induced noncoding activator RNA
582,LUNAR1,HSALNG0108520
583,LUNAR1,NONHSAG018058.2
584,LUNAR1,lnc-IGF1R-1
585,"MAFG-AS1",MAFG-AS1
586,"MAFG-AS1", MAFG-DT
587,MAGI2-AS3,MAGI2 antisense RNA 3
588,MAGI2-AS3,ENST00000414797
589,MAGI2-AS3,MAGI2 antisense RNA 3 (non-protein coding)
590,MAGI2-AS3,HSALNG0059170
591,MAGI2-AS3,MAGI2-AS3
592,MAGI2-AS3,NONHSAG048073.2
593,MALAT1,HCN
594,MALAT1, NEAT2
595,MALAT1, PRO2853
596,MALAT1, LINC00047
597,MALAT1, NCRNA00047
598,MAPKAPK5-AS1,C12orf47
599,MBNL1-AS1,MBNL1 antisense RNA 1
600,MBNL1-AS1,LOC401093
601,MBNL1-AS1,MBNL1-AS1
602,MBNL1-AS1,HSALNG0029874
603,MBNL1-AS1,NONHSAG036412.2
604,MEG3,maternally expressed 3
605,MEG3,GTL2
606,MEG3,NCRNA00023
607,MEG3,LINC00023
608,MEG3,onco-lncRNA-83
609,MEG3,non-protein coding RNA 23
610,MEG3,long intergenic non-protein coding RNA 23
611,MEG3,maternally expressed 3 (non-protein coding)
612,MEG3,FP504
613,MEG3,PRO0518
614,MEG3,PRO2160
615,MEG3,prebp1
616,MEG3,Very putative protein from MEG3 locus
617,MEG3,lnc-DLK1-35
618,MEG3,NONHSAG015923.2
619,MEG3,HSALNG0103778
620,MEG3,HSALNG0103785
621,"MFI2-AS1",MFI2-AS1
622,"MFI2-AS1", MELTF-AS1
623,MIA-RAB4B,RAB4B
624,MIAT,RNCR2
625,MIAT, GOMAFU
626,MIAT, C22orf35
627,MIAT, LINC00066
628,MIAT, NCRNA00066
629,MIAT, lncRNA-MIAT
630,MIR100HG,AGD1
631,MIR100HG, lncRNA-N2
632,MIR100HG, linc-NeD125
633,MIR155HG,BIC
634,MIR155HG, MIRHG2
635,MIR155HG, miPEP155
636,MIR155HG, NCRNA00172
637,MIR17HG,MIHG1
638,MIR17HG, MIRH1
639,MIR17HG, FGLDS2
640,MIR17HG, MIRHG1
641,MIR17HG, C13orf25
642,MIR17HG, LINC00048
643,MIR17HG, miR-17-92
644,MIR17HG, NCRNA00048
645,MIR22HG,C17orf91
646,MIR503HG,H19X
647,MIR503HG, MIR503HG2
648,MIR600HG,GL012
649,MIR600HG, C9orf45
650,MIR600HG, NCRNA00287
651,"MLK7-AS1",MLK7-AS1
652,"MLK7-AS1", MAP3K20-AS1
653,MNX1-AS1,MAYA
654,MNX1-AS1, CCAT5
655,"MORT",MORT
656,"MORT", ZNF667-AS1
657,"MYCLo-5",MYCLo-5
658,"MYCLo-5", MYCLo-6
659,"MYCLo-5", LPP-AS2
660,MYCNOS,NCYM
661,MYCNOS, NYCM
662,MYCNOS, N-CYM
663,MYCNOS, MYCN-AS1
664,"MYU",MYU
665,"MYU", VPS9D1-AS1
666,"Nbla12061",ncRAN
667,"Nbla12061", Nbla10727
668,"Nbla12061", Nbla12061
669,"Nbla12061", SNHG16
670,NBR2,NCRNA00192
671,"NCRNA00028",C20orf93
672,"NCRNA00028", NCRNA00028
673,"NCRNA00028", dJ1093G12.6
674,"NCRNA00028", LINC00028
675,ncRuPAR,ncR-uPAR
676,ncRuPAR, NCRNA00193
677,NEAT1,VINC
678,NEAT1, TncRNA
679,NEAT1, LINC00084
680,NEAT1, NCRNA00084
681,NKILA,NF-kappaB interacting lncRNA
682,NKILA,NF-kappaB interacting long non-coding RNA
683,NKILA,HSALNG0131196
684,NKILA,lnc-PCK1-5
685,NKILA,NONHSAG032126.2
686,NNT-AS1,NNT antisense RNA 1
687,NNT-AS1,RP11-159F24.1
688,NNT-AS1,NONHSAG040320.2
689,NNT-AS1,HSALNG0041522
690,NNT-AS1,NNT-AS1
691,NORAD,LINC00657
692,NR2F2-AS1,NR2F2 antisense RNA 1
693,NR2F2-AS1,NR2F2 antisense RNA 1 (non-protein coding)
694,NR2F2-AS1,HSALNG0108391
695,NR2F2-AS1,NR2F2-AS1
696,NR2F2-AS1,NONHSAG017999.2
697,NR2F2-AS1,HSALNG0108393
698,NR2F2-AS1,NONHSAG018003.2
699,NR2F2-AS1,HSALNG0108400
700,NR2F2-AS1,HSALNG0108394
701,NR2F2-AS1,HSALNG0108392
702,NR2F2-AS1,HSALNG0108404
703,NR2F2-AS1,HSALNG0108399
704,NR4A1AS,NR4A1-AS1
705,"NR_015441",potassium channel tetramerization domain containing 5 pseudogene
706,"NR_015441",potassium channel tetramerisation domain containing 5 pseudogene
707,"NR_015441",potassium channel tetramerisation domain containing 5 (KCTD5) pseudogene
708,"NR_015441", LOC652276
709,"NR_033374",HRCEG
710,"NR_033374", SLC25A25-AS1
711,"NR_033878",long intergenic non-protein coding RNA 944
712,"NR_033878",HSALNG0094964
713,"NR_033878",LINC00944
714,"NR_033878",NONHSAG012695.2
715,"NR_033878", LINC00944
716,"NR_036537",RAB6C antisense RNA 1
717,"NR_036537",NONHSAG029236.2
718,"NR_036537",HSALNG0018758
719,"NR_036537",lnc-POTEF-8
720,"NR_036537", RAB6C-AS1
721,"NR_037661",FKBP1A-SDCBP2 readthrough (NMD candidate)
722,"NR_037661",FKBP1A-SDCBP2 readthrough (non-protein coding)
723,"NR_037661",NONHSAG031104.2
724,"NR_037661",HSALNG0128107
725,"NR_037661",lnc-SDCBP2-4
726,"NR_037661", FKBP1A-SDCBP2
727,"NR_038990",EHHADH antisense RNA 1
728,"NR_038990",EHHADH antisense RNA 1 (non-protein coding)
729,"NR_038990",HSALNG0031294
730,"NR_038990",EHHADH-AS1
731,"NR_038990",NONHSAG036876.2
732,"NR_038990", EHHADH-AS1
733,"NR_045617",Csl
734,"NR_045617", DFN6
735,"NR_045617", DFNX4
736,"NR_045617", Chisel
737,"NR_045617", SMPX_Variant 2
738,"NR_046321",GPRP
739,"NR_046321", GPx-2
740,"NR_046321", GI-GPx
741,"NR_046321", GPRP-2
742,"NR_046321", GPx-GI
