,NCBI Reference Number,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS
60,NR_047536.1,7,0,0
61,NR_047537.1,9,0,0
62,NR_047538.1,7,0,0
63,NR_047539.1,17,0,0
64,NR_047540.1,10,0,0
65,NR_047541.1,10,0,0
66,NR_047542.1,8,0,0
67,NR_047533.1,6,0,0
68,NR_120536.1,6,0,0
69,NR_003529.3,21,0,0
70,NR_047532.1,16,0,0
71,NR_047543.1,10,0,0
72,NR_047534.1,10,0,0
73,NR_047535.1,9,0,0
74,NR_047536.1,7,0,0
75,NR_047537.1,9,0,0
76,NR_047538.1,7,0,0
77,NR_047539.1,17,0,0
78,NR_047540.1,10,0,0
79,NR_047541.1,10,0,0
80,NR_047542.1,8,0,0
81,NR_047533.1,6,0,0
82,NR_120536.1,6,0,0
83,NR_003529.3,21,0,0
84,NR_047532.1,16,0,0
85,NR_047543.1,10,0,0
86,NR_047534.1,10,0,0
87,NR_047535.1,9,0,0
88,NR_047536.1,7,0,0
89,NR_047537.1,9,0,0
90,NR_047538.1,7,0,0
91,NR_047539.1,17,0,0
92,NR_047540.1,10,0,0
93,NR_047541.1,10,0,0
94,NR_047542.1,8,0,0
95,NR_047533.1,6,0,0
96,NR_120536.1,6,0,0
97,NR_003529.3,21,0,0
98,NR_047532.1,16,0,0
99,NR_047543.1,10,0,0
100,NR_047534.1,10,0,0
101,NR_047535.1,9,0,0
102,NR_047536.1,7,0,0
103,NR_047537.1,9,0,0
104,NR_047538.1,7,0,0
105,NR_047539.1,17,0,0
106,NR_047540.1,10,0,0
107,NR_047541.1,10,0,0
108,NR_047542.1,8,0,0
109,NR_047533.1,6,0,0
110,NR_120536.1,6,0,0
111,NR_003529.3,21,0,0
112,NR_047532.1,16,0,0
113,NR_047543.1,10,0,0
114,NR_047534.1,10,0,0
115,NR_047535.1,9,0,0
116,NR_047536.1,7,0,0
117,NR_047537.1,9,0,0
118,NR_047538.1,7,0,0
119,NR_047539.1,17,0,0
120,NR_047540.1,10,0,0
121,NR_047541.1,10,0,0
122,NR_047542.1,8,0,0
123,NR_047533.1,6,0,0
124,NR_120536.1,6,0,0
125,NR_146782.1,9,0,0
126,NR_002765.2,5,0,0
127,NR_049729.1,19,1,0
128,NR_049730.1,4,0,0
129,NR_015395.2,23,0,0
130,NR_024373.2,5,0,0
131,NR_136161.1,10,0,0
132,NR_136162.1,24,0,0
133,NR_136163.1,15,0,0
134,NR_136164.1,10,0,0
135,NR_136165.1,8,0,0
136,NR_136166.1,21,0,0
137,NR_015395.2,23,0,0
138,NR_024373.2,5,0,0
139,NR_136161.1,10,0,0
140,NR_136162.1,24,0,0
141,NR_136163.1,15,0,0
142,NR_136164.1,10,0,0
143,NR_136165.1,8,0,0
144,NR_136166.1,21,0,0
145,NR_047671.2,4,0,0
146,NR_047671.2,4,0,0
147,NR_047671.2,4,0,0
148,NR_047671.2,4,0,0
149,NR_001568.1,2,0,0
150,NR_001568.1,2,0,0
151,NR_001568.1,2,0,0
152,NR_001568.1,2,0,0
153,NR_024049.1,5,0,0
154,NR_024050.1,2,0,0
155,NR_131216.1,1,0,0
156,NR_131217.1,2,0,0
157,NR_131222.1,2,0,0
158,NR_024049.1,5,0,0
159,NR_024050.1,2,0,0
160,NR_131216.1,1,0,0
161,NR_131217.1,2,0,0
162,NR_131222.1,2,0,0
163,NR_024049.1,5,0,0
164,NR_024050.1,2,0,0
165,NR_131216.1,1,0,0
166,NR_131217.1,2,0,0
167,NR_131222.1,2,0,0
168,NR_103783.1,21,0,0
169,NR_103783.1,21,0,0
170,NR_028308.1,21,0,0
171,NR_038439.1,21,0,0
172,NR_117101.1,9,0,0
173,NR_117102.1,12,12,12
174,NR_117101.1,9,0,0
175,NR_117102.1,12,12,12
176,NR_015410.2,0,0,0
177,NR_015410.2,0,0,0
178,NR_120364.1,18,0,0
179,NR_026939.1,18,0,0
180,NR_026939.1,2,0,0
181,NR_026939.1,15,2,0
182,NR_026939.1,15,2,0
183,NR_103848.1,15,2,0
184,NR_103848.1,15,2,0
185,NR_103848.1,5,0,0
186,NR_103850.2,4,0,0
187,NR_103849.2,4,0,0
188,NR_103848.1,5,0,0
189,NR_103850.2,4,0,0
190,NR_103849.2,4,0,0
191,NR_108049.1,5,0,0
192,NR_108049.1,5,0,0
193,NR_108049.1,9,0,0
194,NR_108049.1,9,0,0
195,NR_108049.1,9,0,0
196,NR_108049.1,9,0,0
197,NR_108049.1,9,0,0
198,NR_108049.1,9,0,0
199,NR_108049.1,9,0,0
200,NR_109834.1,9,0,0
201,NR_109834.1,9,0,0
202,NR_109834.1,6,0,0
203,NR_109834.1,6,0,0
204,NR_109834.1,6,0,0
205,NR_131782.1,6,0,0
206,NR_026887.2,6,0,0
207,NR_002763.2,17,0,0
208,NR_034105.4,26,5,1
209,NR_034105.4,7,0,0
210,NR_034105.4,5,0,0
211,NR_034106.3,7,2,0
212,NR_110453.2,5,0,0
213,NR_110454.2,7,2,0
214,NR_170995.1,7,2,0
215,NR_015379.3,5,0,0
216,NR_024204.2,5,0,0
217,NR_024205.3,7,2,0
218,NR_024206.2,5,0,0
219,NR_146460.1,7,2,0
220,NR_146461.1,7,2,0
221,NR_038927.2,10,0,0
222,NR_002733.2,4,0,0
223,NR_045121.1,6,0,0
224,NR_110533.1,4,0,0
225,NR_026651.1,4,0,0
226,NR_024159.1,3,0,0
227,NR_015448.1,10,1,0
228,NR_015448.1,29,3,0
229,NR_015448.1,29,3,0
230,NR_038896.1,29,3,0
231,NR_038898.1,29,3,0
232,NR_038899.1,11,0,0
233,NR_038900.1,5,5,5
234,NR_038896.1,29,3,0
235,NR_038898.1,29,3,0
236,NR_038899.1,11,0,0
237,NR_038900.1,5,5,5
238,NR_038896.1,29,3,0
239,NR_038898.1,29,3,0
240,NR_038899.1,11,0,0
241,NR_038900.1,5,5,5
242,NR_110526.1,29,3,0
243,NR_122113.1,29,3,0
244,NR_122113.1,10,0,0
245,NR_047551.1,9,0,0
246,NR_027706.1,9,0,0
247,NR_122046.1,9,0,0
248,NR_051960.1,12,0,0
249,NR_051960.1,12,0,0
250,NR_024479.1,12,0,0
251,NR_160525.1,12,0,0
252,NR_028371.1,11,0,0
253,NR_024348.1,11,0,0
254,NR_024348.1,20,3,0
255,NR_024348.1,20,3,0
256,NR_033925.1,20,3,0
257,NR_033925.1,15,2,0
258,NR_033925.1,12,0,0
259,NR_033925.1,8,0,0
260,NR_119376.1,8,0,0
261,NR_119376.1,10,0,0
262,NR_036484.1,16,1,0
263,NR_036484.1,5,0,0
264,NR_036484.1,31,2,0
265,NR_046251.1,31,2,0
266,NR_027285.1,31,2,0
267,NR_027285.1,14,0,0
268,NR_027286.1,23,1,0
269,NR_125795.1,14,0,0
270,NR_026878.1,14,0,0
271,NR_026878.1,14,0,0
272,NR_121634.1,14,0,0
273,NR_121635.1,23,1,0
274,NR_121636.1,1,1,1
275,NR_121637.1,2,2,2
276,NR_028379.1,83,2,0
277,NR_028379.1,83,2,0
278,NR_126559.1,21,1,0
279,NR_110429.1,21,1,0
280,NR_110429.1,21,1,0
281,NR_002578.3,17,1,0
282,NR_152521.1,21,0,0
283,NR_152522.1,20,0,0
284,NR_152523.1,20,0,0
285,NR_152524.1,15,2,0
286,NR_002578.3,7,1,0
287,NR_152521.1,5,0,0
288,NR_002578.3,7,1,0
289,NR_152521.1,5,0,0
290,NR_002578.3,3,0,0
291,NR_002578.3,21,3,0
292,NR_002578.3,21,3,0
293,NR_002578.3,11,0,0
294,NR_152521.1,6,1,0
295,NR_152522.1,8,0,0
296,NR_152523.1,8,0,0
297,NR_002578.3,8,0,0
298,NR_002578.3,8,0,0
299,NR_002578.3,6,0,0
300,NR_002578.3,3,0,0
301,NR_152521.1,3,0,0
302,NR_002578.3,3,0,0
303,NR_152521.1,3,0,0
304,NR_002578.3,5,0,0
305,NR_152521.1,6,0,0
306,NR_152522.1,5,0,0
307,NR_152523.1,5,0,0
308,NR_152524.1,5,0,0
309,NR_152525.1,5,0,0
310,NR_152526.1,5,0,0
311,NR_152527.1,3,0,0
312,NR_152528.1,4,0,0
313,NR_152529.1,3,0,0
314,NR_152530.1,5,0,0
315,NR_152531.1,5,0,0
316,NR_152532.1,5,0,0
317,NR_152533.1,5,0,0
318,NR_152534.1,5,0,0
319,NR_002578.3,5,0,0
320,NR_152521.1,6,0,0
321,NR_152522.1,5,0,0
322,NR_152523.1,5,0,0
323,NR_152524.1,5,0,0
324,NR_152525.1,5,0,0
325,NR_152526.1,5,0,0
326,NR_152527.1,3,0,0
327,NR_152528.1,4,0,0
328,NR_152529.1,3,0,0
329,NR_152530.1,5,0,0
330,NR_152531.1,5,0,0
331,NR_152532.1,5,0,0
332,NR_152533.1,5,0,0
333,NR_152534.1,5,0,0
334,NR_037605.1,5,0,0
335,NR_149020.1,5,0,0
336,NR_125398.1,5,0,0
337,NR_130107.1,5,0,0
338,NR_046229.1,5,0,0
339,NR_002785.2,5,0,0
340,NR_002785.2,5,0,0
341,NR_002196.2,5,0,0
342,NR_131223.1,6,0,0
343,NR_131224.1,5,0,0
344,NR_002196.2,5,0,0
345,NR_131223.1,6,0,0
346,NR_131224.1,5,0,0
347,NR_002196.2,5,0,0
348,NR_131223.1,6,0,0
349,NR_131224.1,5,0,0
350,NR_002196.2,5,0,0
351,NR_131223.1,6,0,0
352,NR_131224.1,5,0,0
353,NR_002196.2,5,0,0
354,NR_131223.1,6,0,0
355,NR_131224.1,5,0,0
356,NR_002196.2,5,0,0
357,NR_131223.1,6,0,0
358,NR_131224.1,5,0,0
359,NR_002196.2,2,0,0
360,NR_002196.2,37,6,2
361,NR_131223.1,1,1,1
362,NR_002196.2,16,2,0
363,NR_002196.2,9,1,0
364,NR_002196.2,8,0,0
365,NR_002196.2,10,3,0
366,NR_002196.2,10,3,0
367,NR_002196.2,27,9,2
368,NR_131223.1,26,9,2
369,NR_131224.1,11,1,0
370,NR_002196.2,27,9,2
371,NR_131223.1,26,9,2
372,NR_131224.1,11,1,0
373,NR_002196.2,27,9,2
374,NR_131223.1,26,9,2
375,NR_131224.1,11,1,0
376,NR_002196.2,27,9,2
377,NR_131223.1,26,9,2
378,NR_131224.1,11,1,0
379,NR_002196.2,27,9,2
380,NR_131223.1,26,9,2
381,NR_131224.1,11,1,0
382,NR_002196.2,27,9,2
383,NR_131223.1,26,9,2
384,NR_131224.1,11,1,0
385,NR_002196.2,27,9,2
386,NR_131223.1,26,9,2
387,NR_131224.1,11,1,0
388,NR_002196.2,27,9,2
389,NR_131223.1,26,9,2
390,NR_131224.1,11,1,0
391,NR_002196.2,27,9,2
392,NR_131223.1,26,9,2
393,NR_131224.1,11,1,0
394,NR_002196.2,27,9,2
395,NR_131223.1,26,9,2
396,NR_131224.1,11,1,0
397,NR_002196.2,27,9,2
398,NR_131223.1,26,9,2
399,NR_131224.1,11,1,0
400,NR_002196.2,27,9,2
401,NR_131223.1,26,9,2
402,NR_131224.1,11,1,0
403,NR_002196.2,27,9,2
404,NR_131223.1,26,9,2
405,NR_131224.1,11,1,0
406,NR_110458.1,27,9,2
407,NR_110459.1,26,9,2
408,NR_110460.1,11,1,0
409,NR_110458.1,27,9,2
410,NR_110459.1,26,9,2
411,NR_110460.1,11,1,0
412,NR_110457.1,27,9,2
413,NR_003679.2,27,9,2
414,NR_136192.1,26,9,2
415,NR_136193.1,11,1,0
416,NR_002835.2,27,9,2
417,NR_040662.1,27,9,2
418,NR_040662.1,27,9,2
419,NR_040662.1,27,9,2
420,NR_047116.1,27,9,2
421,NR_026972.1,27,9,2
422,NR_026973.1,26,9,2
423,NR_120598.1,27,9,2
424,NR_126559.1,26,9,2
425,NR_109892.1,27,9,2
426,NR_024345.1,27,9,2
427,NR_024345.1,27,9,2
428,NR_024345.1,25,2,0
429,NR_134505.1,25,2,0
430,NR_047517.1,6,0,0
431,NR_047517.1,1,0,0
432,NR_003716.3,17,2,0
433,NR_047518.1,20,2,0
434,NR_047517.1,14,1,0
435,NR_047517.1,21,2,0
436,NR_047517.1,21,2,0
437,NR_047517.1,21,2,0
438,NR_047517.1,4,0,0
439,NR_047517.1,10,1,0
440,NR_003716.3,3,0,0
441,NR_047517.1,7,0,0
442,NR_003716.3,6,0,0
443,NR_047517.1,5,0,0
444,NR_047517.1,15,0,0
445,NR_047517.1,15,0,0
446,NR_047517.1,15,0,0
447,NR_047517.1,9,0,0
448,NR_003716.3,2,2,2
449,NR_047517.1,17,1,0
450,NR_003716.3,16,1,0
451,NR_047518.1,15,1,0
452,NR_047517.1,17,1,0
453,NR_003716.3,16,1,0
454,NR_047518.1,15,1,0
455,NR_047517.1,17,1,0
456,NR_003716.3,16,1,0
457,NR_047518.1,15,1,0
458,NR_047517.1,17,1,0
459,NR_003716.3,16,1,0
460,NR_047518.1,15,1,0
461,NR_047517.1,17,1,0
462,NR_003716.3,16,1,0
463,NR_047518.1,15,1,0
464,NR_047517.1,17,1,0
465,NR_003716.3,16,1,0
466,NR_047518.1,15,1,0
467,NR_047517.1,17,1,0
468,NR_003716.3,16,1,0
469,NR_047518.1,15,1,0
470,NR_047517.1,17,1,0
471,NR_003716.3,16,1,0
472,NR_047518.1,15,1,0
473,NR_047517.1,17,1,0
474,NR_003716.3,16,1,0
475,NR_047518.1,15,1,0
476,NR_047517.1,17,1,0
477,NR_003716.3,16,1,0
478,NR_047518.1,15,1,0
479,NR_047517.1,17,1,0
480,NR_003716.3,16,1,0
481,NR_047518.1,15,1,0
482,NR_047517.1,17,1,0
483,NR_003716.3,16,1,0
484,NR_047518.1,15,1,0
485,NR_047517.1,17,1,0
486,NR_003716.3,16,1,0
487,NR_047518.1,15,1,0
488,NR_047517.1,17,1,0
489,NR_003716.3,16,1,0
490,NR_047518.1,15,1,0
491,NR_047517.1,17,1,0
492,NR_003716.3,16,1,0
493,NR_047518.1,15,1,0
494,NR_047517.1,17,1,0
495,NR_003716.3,16,1,0
496,NR_047518.1,15,1,0
497,NR_047517.1,17,1,0
498,NR_003716.3,16,1,0
499,NR_047518.1,15,1,0
500,NR_038366.1,17,1,0
501,NR_038367.1,16,1,0
502,NR_038366.1,17,1,0
503,NR_038367.1,16,1,0
504,NR_038366.1,17,1,0
505,NR_038367.1,16,1,0
506,NR_037843.3,17,1,0
507,NR_037843.3,17,1,0
508,NR_037843.3,17,1,0
509,NR_037843.3,17,1,0
510,NR_037843.3,17,1,0
511,NR_037843.3,17,1,0
512,NR_037843.3,17,1,0
513,NR_122069.1,17,1,0
514,NR_122069.1,17,1,0
515,NR_122069.1,17,1,0
516,NR_122069.1,17,1,0
517,NR_038831.1,6,1,0
518,NR_038832.1,4,1,0
519,NR_038831.1,6,1,0
520,NR_038832.1,4,1,0
521,NR_046609.1,6,1,0
522,NR_002795.2,37,3,0
523,NR_002795.2,37,3,0
524,NR_002795.2,37,3,0
525,NR_002795.2,37,3,0
526,NR_002795.2,37,3,0
527,NR_002795.2,37,3,0
528,NR_033201.2,37,3,0
529,NR_110458.1,4,0,0
530,NR_135132.1,4,0,0
531,NR_004855.2,4,0,0
532,NR_004855.2,4,0,0
533,NR_028043.2,32,7,0
534,NR_133657.1,31,7,0
535,NR_126453.2,32,7,0
536,NR_024451.1,11,1,0
537,NR_024582.1,16,2,0
538,NR_024582.1,16,2,0
539,NR_132377.1,16,2,0
540,NR_002728.3,16,2,0
541,NR_002728.3,16,2,0
542,NR_002728.3,16,2,0
543,NR_046325.1,5,1,0
544,NR_046326.1,5,1,0
545,NR_024606.2,25,2,0
546,NR_152616.1,23,2,0
547,NR_130915.1,4,0,0
548,NR_130915.1,1,0,0
549,NR_029373.1,1,0,0
550,NR_029373.1,24,3,0
551,NR_029374.1,25,2,0
552,NR_033947.1,37,11,3
553,NR_046407.1,18,0,0
554,NR_160030.1,15,0,0
555,NR_015431.2,15,0,0
556,NR_015431.2,9,0,0
557,NR_048536.2,538,41,2
558,NR_048536.2,538,41,2
559,NR_048536.2,538,41,2
560,NR_048536.2,3,1,0
561,NR_152602.1,2,1,0
562,NR_156734.1,20,3,0
563,NR_026690.1,39,0,0
564,NR_026690.1,39,0,0
565,NR_024357.2,17,2,0
566,NR_024204.2,17,2,0
567,NR_024205.3,9,0,0
568,NR_024204.2,15,0,0
569,NR_024204.2,4,0,0
570,NR_024204.2,4,0,0
571,NR_033840.1,16,3,0
572,NR_027345.1,16,3,0
573,NR_027346.1,7,1,0
574,NR_048550.1,15,0,0
575,NR_027457.2,15,0,0
576,NR_033376.1,15,0,0
577,NR_033376.1,15,0,0
578,NR_130726.1,20,0,0
579,NR_001558.3,8,0,0
580,NR_001558.3,8,0,0
581,NR_001558.3,3,0,0
582,NR_001558.3,4,0,0
583,NR_001558.3,4,0,0
584,NR_001558.3,4,0,0
585,NR_026949.1,4,0,0
586,NR_024065.3,28,0,0
587,NR_024065.3,10,1,0
588,NR_152722.1,7,0,0
589,NR_152722.1,9,2,0
590,NR_026951.1,16,0,0
591,NR_027908.1,16,0,0
592,NR_103534.1,17,0,0
593,NR_023918.2,31,0,0
594,NR_023918.2,31,0,0
595,NR_103734.1,31,0,0
596,NR_103734.1,31,0,0
597,NR_145420.1,31,0,0
598,NR_024464.2,31,0,0
599,NR_034119.2,14,1,0
600,NR_163477.1,1,1,1
601,NR_034119.2,9,1,0
602,NR_034119.2,9,1,0
603,NR_034119.2,30,0,0
604,NR_024384.2,30,0,0
605,NR_024384.2,22,0,0
606,NR_026761.2,20,0,1
607,NR_026761.2,17,0,0
608,NR_026761.2,5,0,0
609,NR_026761.2,5,0,0
610,NR_121612.1,24,0,0
611,NR_121612.1,24,0,0
612,NR_121612.1,14,0,0
613,NR_121612.1,7,1,0
614,NR_121612.1,4,0,0
615,NR_026807.2,4,0,0
616,NR_026860.1,4,0,0
617,NR_026861.1,4,0,0
618,NR_033876.1,4,0,0
619,NR_033876.1,4,0,0
620,NR_033876.1,14,1,0
621,NR_033876.1,14,1,0
622,NR_033876.1,5,0,0
623,NR_145423.1,5,0,0
624,NR_126006.1,5,0,0
625,NR_037195.1,5,0,0
626,NR_027022.1,41,2,0
627,NR_038970.1,41,2,0
628,NR_038971.1,41,2,0
629,NR_027301.1,41,2,0
630,NR_026956.1,41,2,0
631,NR_038278.1,41,2,0
632,NR_038279.1,41,2,0
633,NR_038278.1,12,0,0
634,NR_038279.1,5,0,0
635,NR_015389.1,16,2,0
636,NR_034100.1,16,2,0
637,NR_137281.2,16,2,0
638,NR_137281.2,16,2,0
639,NR_137281.2,16,2,0
640,NR_137281.2,5,0,0
641,NR_137281.2,4,0,0
642,NR_108040.1,20,0,0
643,NR_038291.1,11,1,0
644,NR_038291.1,11,1,0
645,NR_026829.1,5,1,0
646,NR_034100.1,22,0,0
647,NR_038220.1,15,1,0
648,NR_038220.1,15,1,0
649,NR_028415.1,30,0,0
650,NR_038904.1,13,2,0
651,NR_038904.1,25,1,0
652,NR_038904.1,25,1,0
653,NR_038236.1,25,1,0
654,NR_038236.1,25,1,0
655,NR_038236.1,25,1,0
656,NR_015440.1,2,0,0
657,NR_038342.1,8,0,0
658,NR_039975.1,8,0,0
659,NR_040001.2,10,0,0
660,NR_046110.1,13,2,0
661,NR_027433.1,10,0,0
662,NR_038849.1,10,0,0
663,NR_038849.1,19,1,0
664,NR_110388.1,10,0,0
665,NR_033383.1,10,0,0
666,NR_110026.1,10,0,0
667,NR_110025.1,2,2,2
668,NR_110026.1,8,0,0
669,NR_110026.1,8,0,0
670,NR_125746.1,8,0,0
671,NR_122111.1,37,7,2
672,NR_122112.1,9,0,0
673,NR_122111.1,2,0,0
674,NR_038426.1,7,0,0
675,NR_038426.1,2,0,0
676,NR_122034.1,17,2,0
677,NR_033917.1,22,4,1
678,NR_110419.1,7,0,0
679,NR_120506.2,7,0,0
680,NR_024478.1,1,0,0
681,NR_126364.1,3,0,0
682,NR_132383.1,7,1,0
683,NR_132383.1,7,1,0
684,NR_024457.2,7,1,0
685,NR_015407.1,2,0,0
686,NR_045680.1,19,0,0
687,NR_103844.1,19,0,0
688,NR_103844.1,13,2,0
689,NR_103844.1,13,2,0
690,NR_110597.1,3,0,0
691,NR_110597.1,6,1,0
692,NR_109883.1,9,0,0
693,NR_109883.1,6,0,0
694,NR_131252.1,14,2,0
695,NR_015391.1,16,0,0
696,NR_015391.1,12,0,0
697,NR_027054.2,12,0,0
698,NR_024403.1,20,0,0
699,NR_040066.1,8,0,0
700,NR_040067.1,01139,01139,01139
701,NR_103548.1,16,1,0
702,NR_102739.1,13,0,0
703,NR_015454.1,13,0,0
704,NR_015454.1,13,0,0
705,NR_038343.2,6,0,0
706,NR_038343.2,6,0,0
707,NR_038343.2,4,0,0
708,NR_038343.2,4,0,0
709,NR_038343.2,6,0,0
710,NR_038343.2,9,0,0
711,NR_038344.1,7,7,7
712,NR_002819.4,9,0,0
713,NR_144567.1,7,7,7
714,NR_002819.4,19,1,0
715,NR_144567.1,13,0,0
716,NR_144568.1,12,0,0
717,NR_002819.4,21,1,0
718,NR_144567.1,19,1,0
719,NR_002819.4,12,3,0
720,NR_144567.1,10,3,0
721,NR_144568.1,11,0,0
722,NR_002819.4,12,3,0
723,NR_144567.1,10,3,0
724,NR_144568.1,11,0,0
725,NR_002819.4,22,2,0
726,NR_002819.4,22,2,0
727,NR_002819.4,22,2,0
728,NR_002819.4,4,0,0
729,NR_002819.4,4,0,0
730,NR_002819.4,3,0,0
731,NR_144567.1,2,0,0
732,NR_002819.4,3,0,0
733,NR_144567.1,2,0,0
734,NR_002819.4,13,1,0
735,NR_144567.1,13,1,0
736,NR_144568.1,10,0,0
737,NR_002819.4,23,2,0
738,NR_002819.4,23,2,0
739,NR_002819.4,21,1,0
740,NR_144567.1,8,1,0
741,NR_144568.1,2,0,0
742,NR_002819.4,21,1,0
743,NR_144567.1,8,1,0
744,NR_144568.1,2,0,0
745,NR_002819.4,21,1,0
746,NR_144567.1,8,1,0
747,NR_144568.1,2,0,0
748,NR_002819.4,21,1,0
749,NR_144567.1,8,1,0
750,NR_144568.1,2,0,0
751,NR_002819.4,21,1,0
752,NR_144567.1,8,1,0
753,NR_144568.1,2,0,0
754,NR_002819.4,21,1,0
755,NR_144567.1,8,1,0
756,NR_144568.1,2,0,0
757,NR_002819.4,46,7,0
758,NR_144567.1,47,7,0
759,NR_144568.1,47,6,0
760,NR_002819.4,46,7,0
761,NR_144567.1,47,7,0
762,NR_144568.1,47,6,0
763,NR_002819.4,46,7,0
764,NR_144567.1,47,7,0
765,NR_144568.1,47,6,0
766,NR_002819.4,46,7,0
767,NR_144567.1,47,7,0
768,NR_144568.1,47,6,0
769,NR_002819.4,46,7,0
770,NR_144567.1,47,7,0
771,NR_144568.1,47,6,0
772,NR_002819.4,46,7,0
773,NR_144567.1,47,7,0
774,NR_144568.1,47,6,0
775,NR_002819.4,46,7,0
776,NR_144567.1,47,7,0
777,NR_144568.1,47,6,0
778,NR_002819.4,46,7,0
779,NR_144567.1,47,7,0
780,NR_144568.1,47,6,0
781,NR_002819.4,46,7,0
782,NR_144567.1,47,7,0
783,NR_144568.1,47,6,0
784,NR_002819.4,46,7,0
785,NR_144567.1,47,7,0
786,NR_144568.1,47,6,0
787,NR_002819.4,46,7,0
788,NR_144567.1,47,7,0
789,NR_144568.1,47,6,0
790,NR_002819.4,46,7,0
791,NR_144567.1,47,7,0
792,NR_144568.1,47,6,0
793,NR_002819.4,46,7,0
794,NR_144567.1,47,7,0
795,NR_144568.1,47,6,0
796,NR_002819.4,46,7,0
797,NR_144567.1,47,7,0
798,NR_144568.1,47,6,0
799,NR_002819.4,46,7,0
800,NR_144567.1,47,7,0
801,NR_144568.1,47,6,0
802,NR_002819.4,46,7,0
803,NR_144567.1,47,7,0
804,NR_144568.1,47,6,0
805,NR_002819.4,46,7,0
806,NR_144567.1,47,7,0
807,NR_144568.1,47,6,0
808,NR_002819.4,46,7,0
809,NR_144567.1,47,7,0
810,NR_144568.1,47,6,0
811,NR_002819.4,46,7,0
812,NR_144567.1,47,7,0
813,NR_144568.1,47,6,0
814,NR_002819.4,46,7,0
815,NR_144567.1,47,7,0
816,NR_144568.1,47,6,0
817,NR_027038.1,46,7,0
818,NR_027037.1,47,7,0
819,NR_027038.1,46,7,0
820,NR_027037.1,47,7,0
821,NR_110565.1,46,7,0
822,NR_002776.4,47,7,0
823,NR_110566.1,47,6,0
824,NR_046511.1,46,7,0
825,NR_002766.2,46,7,0
826,NR_003530.2,47,7,0
827,NR_003531.3,47,6,0
828,NR_002766.2,46,7,0
829,NR_003530.2,47,7,0
830,NR_003531.3,47,6,0
831,NR_002766.2,46,7,0
832,NR_003530.2,47,7,0
833,NR_003531.3,47,6,0
834,NR_002766.2,46,7,0
835,NR_003530.2,47,7,0
836,NR_003531.3,47,6,0
837,NR_002766.2,46,7,0
838,NR_003530.2,47,7,0
839,NR_003531.3,47,6,0
840,NR_002766.2,46,7,0
841,NR_003530.2,47,7,0
842,NR_003531.3,47,6,0
843,NR_002766.2,46,7,0
844,NR_003530.2,47,7,0
845,NR_003531.3,47,6,0
846,NR_002766.2,46,7,0
847,NR_003530.2,47,7,0
848,NR_003531.3,47,6,0
849,NR_002766.2,46,7,0
850,NR_003530.2,47,7,0
851,NR_003531.3,47,6,0
852,NR_002766.2,46,7,0
853,NR_003530.2,47,7,0
854,NR_003531.3,47,6,0
855,NR_002766.2,46,7,0
856,NR_003530.2,47,7,0
857,NR_003531.3,47,6,0
858,NR_146000.1,46,7,0
859,NR_038955.1,46,7,0
860,NR_003491.3,46,7,0
861,NR_033319.2,47,7,0
862,NR_033320.2,47,6,0
863,NR_003491.3,46,7,0
864,NR_033319.2,47,7,0
865,NR_033320.2,47,6,0
866,NR_003491.3,46,7,0
867,NR_033319.2,47,7,0
868,NR_033320.2,47,6,0
