,NCBI Reference Number,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS
159,NR_024031.2,5,0,0
160,NR_145129.1,7,2,0
161,NR_145130.1,5,0,0
162,NR_024031.2,8,1,0
163,NR_145129.1,8,1,0
164,NR_024031.2,8,1,0
165,NR_145129.1,8,1,0
166,NR_040772.1,5,1,0
167,NR_040773.1,6,1,0
168,NR_038927.2,5,1,0
169,NR_038927.2,5,1,0
170,NR_038927.2,5,1,0
171,NR_002733.2,17,1,0
172,NR_045121.1,12,1,0
173,NR_002733.2,10,1,0
174,NR_144384.1,10,1,0
175,NR_026882.1,10,1,0
176,NR_109973.1,29,3,0
177,NR_002605.2,29,3,0
178,NR_109974.1,11,0,0
179,NR_152566.1,29,3,0
180,NR_152567.1,29,3,0
181,NR_152568.1,11,0,0
182,NR_152569.1,5,5,5
183,NR_152571.1,5,2,0
184,NR_152570.1,25,3,0
185,NR_152572.1,5,5,5
186,NR_152566.1,8,0,0
187,NR_015448.1,8,2,0
188,NR_015448.1,10,0,0
189,NR_015448.1,18,1,1
190,NR_015448.1,18,1,1
191,NR_038397.2,9,0,0
192,NR_026979.1,9,0,0
193,NR_046737.1,9,0,0
194,NR_047551.1,9,0,0
195,NR_004428.1,20,2,0
196,NR_051960.1,10,0,0
197,NR_033925.1,2,0,0
198,NR_119376.1,19,4,0
199,NR_119376.1,9,1,0
200,NR_119376.1,8,0,0
201,NR_036484.1,8,0,0
202,NR_036484.1,8,0,0
203,NR_036484.1,14,0,0
204,NR_027285.1,83,2,0
205,NR_125804.1,83,2,0
206,NR_026878.1,83,2,0
207,NR_026878.1,21,1,0
208,NR_026878.1,21,1,0
209,NR_126415.1,21,1,0
210,NR_126415.1,7,1,0
211,NR_126416.1,4,1,0
212,NR_126417.1,1,1,1
213,NR_028379.1,13,2,0
214,NR_028379.1,21,3,0
215,NR_126369.1,21,3,0
216,NR_120598.1,21,3,0
217,NR_126559.1,2,0,0
218,NR_126559.1,2,0,0
219,NR_126559.1,8,0,0
220,NR_126559.1,8,0,0
221,NR_110429.1,2,0,0
222,NR_110428.1,1,0,0
223,NR_110429.1,7,0,0
224,NR_110428.1,6,0,0
225,NR_110429.1,6,0,0
226,NR_110429.1,6,0,0
227,NR_002578.3,6,0,0
228,NR_002578.3,6,0,0
229,NR_002578.3,3,0,0
230,NR_152521.1,3,0,0
231,NR_002578.3,3,0,0
232,NR_152521.1,3,0,0
233,NR_002578.3,3,0,0
234,NR_152521.1,3,0,0
235,NR_002578.3,3,0,0
236,NR_152521.1,3,0,0
237,NR_002578.3,5,0,0
238,NR_152521.1,6,0,0
239,NR_152522.1,5,0,0
240,NR_152523.1,5,0,0
241,NR_152524.1,5,0,0
242,NR_152525.1,5,0,0
243,NR_152526.1,5,0,0
244,NR_152527.1,3,0,0
245,NR_152528.1,4,0,0
246,NR_152529.1,3,0,0
247,NR_152530.1,5,0,0
248,NR_152531.1,5,0,0
249,NR_152532.1,5,0,0
250,NR_152533.1,5,0,0
251,NR_152534.1,5,0,0
252,NR_002578.3,5,0,0
253,NR_152521.1,6,0,0
254,NR_152522.1,5,0,0
255,NR_152523.1,5,0,0
256,NR_152524.1,5,0,0
257,NR_152525.1,5,0,0
258,NR_152526.1,5,0,0
259,NR_152527.1,3,0,0
260,NR_152528.1,4,0,0
261,NR_152529.1,3,0,0
262,NR_152530.1,5,0,0
263,NR_152531.1,5,0,0
264,NR_152532.1,5,0,0
265,NR_152533.1,5,0,0
266,NR_152534.1,5,0,0
267,NR_002578.3,5,0,0
268,NR_152521.1,6,0,0
269,NR_152522.1,5,0,0
270,NR_152523.1,5,0,0
271,NR_152524.1,5,0,0
272,NR_152525.1,5,0,0
273,NR_152526.1,5,0,0
274,NR_152527.1,3,0,0
275,NR_152528.1,4,0,0
276,NR_152529.1,3,0,0
277,NR_152530.1,5,0,0
278,NR_152531.1,5,0,0
279,NR_152532.1,5,0,0
280,NR_152533.1,5,0,0
281,NR_152534.1,5,0,0
282,NR_002578.3,5,0,0
283,NR_152521.1,6,0,0
284,NR_152522.1,5,0,0
285,NR_152523.1,5,0,0
286,NR_152524.1,5,0,0
287,NR_152525.1,5,0,0
288,NR_152526.1,5,0,0
289,NR_152527.1,3,0,0
290,NR_152528.1,4,0,0
291,NR_152529.1,3,0,0
292,NR_152530.1,5,0,0
293,NR_152531.1,5,0,0
294,NR_152532.1,5,0,0
295,NR_152533.1,5,0,0
296,NR_152534.1,5,0,0
297,NR_002578.3,5,0,0
298,NR_152521.1,6,0,0
299,NR_152522.1,5,0,0
300,NR_152523.1,5,0,0
301,NR_152524.1,5,0,0
302,NR_152525.1,5,0,0
303,NR_152526.1,5,0,0
304,NR_152527.1,3,0,0
305,NR_152528.1,4,0,0
306,NR_152529.1,3,0,0
307,NR_152530.1,5,0,0
308,NR_152531.1,5,0,0
309,NR_152532.1,5,0,0
310,NR_152533.1,5,0,0
311,NR_152534.1,5,0,0
312,NR_002578.3,5,0,0
313,NR_152521.1,6,0,0
314,NR_152522.1,5,0,0
315,NR_152523.1,5,0,0
316,NR_152524.1,5,0,0
317,NR_152525.1,5,0,0
318,NR_152526.1,5,0,0
319,NR_152527.1,3,0,0
320,NR_152528.1,4,0,0
321,NR_152529.1,3,0,0
322,NR_152530.1,5,0,0
323,NR_152531.1,5,0,0
324,NR_152532.1,5,0,0
325,NR_152533.1,5,0,0
326,NR_152534.1,5,0,0
327,NR_044995.2,5,0,0
328,NR_149020.1,5,0,0
329,NR_102763.1,5,0,0
330,NR_102763.1,5,0,0
331,NR_160702.1,5,0,0
332,NR_160703.1,6,0,0
333,NR_160704.1,5,0,0
334,NR_160705.1,5,0,0
335,NR_160706.1,5,0,0
336,NR_160707.1,5,0,0
337,NR_160708.1,5,0,0
338,NR_160709.1,3,0,0
339,NR_170991.1,5,0,0
340,NR_170992.1,6,0,0
341,NR_170991.1,15,0,0
342,NR_130107.1,37,6,2
343,NR_130107.1,12,2,0
344,NR_130107.1,12,2,0
345,NR_130107.1,3,1,0
346,NR_130107.1,16,0,0
347,NR_130107.1,16,0,0
348,NR_038269.1,9,1,0
349,NR_002196.2,9,1,0
350,NR_002196.2,9,1,0
351,NR_002196.2,9,1,0
352,NR_002196.2,9,1,0
353,NR_002196.2,9,1,0
354,NR_002196.2,0,0,0
355,NR_002196.2,27,9,2
356,NR_131223.1,26,9,2
357,NR_131224.1,11,1,0
358,NR_002196.2,27,9,2
359,NR_131223.1,26,9,2
360,NR_131224.1,11,1,0
361,NR_002196.2,27,9,2
362,NR_131223.1,26,9,2
363,NR_131224.1,11,1,0
364,NR_002196.2,27,9,2
365,NR_131223.1,26,9,2
366,NR_131224.1,11,1,0
367,NR_002196.2,27,9,2
368,NR_131223.1,26,9,2
369,NR_131224.1,11,1,0
370,NR_002196.2,27,9,2
371,NR_131223.1,26,9,2
372,NR_131224.1,11,1,0
373,NR_002196.2,27,9,2
374,NR_131223.1,26,9,2
375,NR_131224.1,11,1,0
376,NR_002196.2,27,9,2
377,NR_131223.1,26,9,2
378,NR_131224.1,11,1,0
379,NR_002196.2,27,9,2
380,NR_131223.1,26,9,2
381,NR_131224.1,11,1,0
382,NR_002196.2,27,9,2
383,NR_131223.1,26,9,2
384,NR_131224.1,11,1,0
385,NR_002196.2,27,9,2
386,NR_131223.1,26,9,2
387,NR_131224.1,11,1,0
388,NR_002196.2,27,9,2
389,NR_131223.1,26,9,2
390,NR_131224.1,11,1,0
391,NR_002196.2,27,9,2
392,NR_131223.1,26,9,2
393,NR_131224.1,11,1,0
394,NR_002196.2,27,9,2
395,NR_131223.1,26,9,2
396,NR_131224.1,11,1,0
397,NR_002196.2,27,9,2
398,NR_131223.1,26,9,2
399,NR_131224.1,11,1,0
400,NR_002196.2,27,9,2
401,NR_131223.1,26,9,2
402,NR_131224.1,11,1,0
403,NR_002196.2,27,9,2
404,NR_131223.1,26,9,2
405,NR_131224.1,11,1,0
406,NR_002196.2,27,9,2
407,NR_131223.1,26,9,2
408,NR_131224.1,11,1,0
409,NR_002196.2,27,9,2
410,NR_131223.1,26,9,2
411,NR_131224.1,11,1,0
412,NR_002196.2,27,9,2
413,NR_131223.1,26,9,2
414,NR_131224.1,11,1,0
415,NR_110457.1,27,9,2
416,NR_003679.2,27,9,2
417,NR_136192.1,26,9,2
418,NR_136193.1,11,1,0
419,NR_026790.1,27,9,2
420,NR_024052.2,27,9,2
421,NR_024053.2,26,9,2
422,NR_102326.1,11,1,0
423,NR_040662.1,27,9,2
424,NR_040662.1,27,9,2
425,NR_047116.1,6,0,0
426,NR_045406.1,1,0,0
427,NR_120598.1,31,4,0
428,NR_024345.1,39,7,0
429,NR_024345.1,21,2,0
430,NR_024345.1,21,2,0
431,NR_134505.1,4,0,0
432,NR_047517.1,1,0,0
433,NR_047517.1,7,0,0
434,NR_003716.3,6,0,0
435,NR_047517.1,15,0,0
436,NR_047517.1,15,0,0
437,NR_047517.1,15,0,0
438,NR_047517.1,9,0,0
439,NR_003716.3,2,2,2
440,NR_047517.1,17,1,0
441,NR_003716.3,16,1,0
442,NR_047518.1,15,1,0
443,NR_047517.1,17,1,0
444,NR_003716.3,16,1,0
445,NR_047518.1,15,1,0
446,NR_047517.1,17,1,0
447,NR_003716.3,16,1,0
448,NR_047518.1,15,1,0
449,NR_047517.1,17,1,0
450,NR_003716.3,16,1,0
451,NR_047518.1,15,1,0
452,NR_047517.1,17,1,0
453,NR_003716.3,16,1,0
454,NR_047518.1,15,1,0
455,NR_047517.1,17,1,0
456,NR_003716.3,16,1,0
457,NR_047518.1,15,1,0
458,NR_047517.1,17,1,0
459,NR_003716.3,16,1,0
460,NR_047518.1,15,1,0
461,NR_047517.1,17,1,0
462,NR_003716.3,16,1,0
463,NR_047518.1,15,1,0
464,NR_047517.1,17,1,0
465,NR_003716.3,16,1,0
466,NR_047518.1,15,1,0
467,NR_047517.1,17,1,0
468,NR_003716.3,16,1,0
469,NR_047518.1,15,1,0
470,NR_047517.1,17,1,0
471,NR_003716.3,16,1,0
472,NR_047518.1,15,1,0
473,NR_047517.1,17,1,0
474,NR_003716.3,16,1,0
475,NR_047518.1,15,1,0
476,NR_047517.1,17,1,0
477,NR_003716.3,16,1,0
478,NR_047518.1,15,1,0
479,NR_047517.1,17,1,0
480,NR_003716.3,16,1,0
481,NR_047518.1,15,1,0
482,NR_047517.1,17,1,0
483,NR_003716.3,16,1,0
484,NR_047518.1,15,1,0
485,NR_047517.1,17,1,0
486,NR_003716.3,16,1,0
487,NR_047518.1,15,1,0
488,NR_047517.1,17,1,0
489,NR_003716.3,16,1,0
490,NR_047518.1,15,1,0
491,NR_047517.1,17,1,0
492,NR_003716.3,16,1,0
493,NR_047518.1,15,1,0
494,NR_047517.1,17,1,0
495,NR_003716.3,16,1,0
496,NR_047518.1,15,1,0
497,NR_047517.1,17,1,0
498,NR_003716.3,16,1,0
499,NR_047518.1,15,1,0
500,NR_047517.1,17,1,0
501,NR_003716.3,16,1,0
502,NR_047518.1,15,1,0
503,NR_047517.1,17,1,0
504,NR_003716.3,16,1,0
505,NR_047518.1,15,1,0
506,NR_047517.1,17,1,0
507,NR_003716.3,16,1,0
508,NR_047518.1,15,1,0
509,NR_047517.1,17,1,0
510,NR_003716.3,16,1,0
511,NR_047518.1,15,1,0
512,NR_047517.1,17,1,0
513,NR_003716.3,16,1,0
514,NR_047518.1,15,1,0
515,NR_047517.1,17,1,0
516,NR_003716.3,16,1,0
517,NR_047518.1,15,1,0
518,NR_047517.1,17,1,0
519,NR_003716.3,16,1,0
520,NR_047518.1,15,1,0
521,NR_047517.1,17,1,0
522,NR_003716.3,16,1,0
523,NR_047518.1,15,1,0
524,NR_038366.1,17,1,0
525,NR_038367.1,16,1,0
526,NR_037843.3,17,1,0
527,NR_037843.3,17,1,0
528,NR_037843.3,17,1,0
529,NR_037843.3,17,1,0
530,NR_122069.1,17,1,0
531,NR_002795.2,6,1,0
532,NR_002795.2,37,3,0
533,NR_002795.2,37,3,0
534,NR_002795.2,37,3,0
535,NR_002795.2,37,3,0
536,NR_047504.1,4,0,0
537,NR_047504.1,16,2,0
538,NR_047506.1,16,2,0
539,NR_110458.1,16,2,0
540,NR_110458.1,16,2,0
541,NR_033374.1,16,2,0
542,NR_004855.2,3,1,0
543,NR_004855.2,3,1,0
544,NR_004855.2,3,0,0
545,NR_004855.2,25,2,0
546,NR_004855.2,25,2,0
547,NR_004855.2,29,1,0
548,NR_004855.2,1,0,0
549,NR_004855.2,1,0,0
550,NR_028043.2,1,0,0
551,NR_135234.1,1,0,0
552,NR_024333.1,1,0,0
553,NR_027118.2,1,0,0
554,NR_002728.3,1,0,0
555,NR_146274.1,1,0,0
556,NR_021489.2,24,3,0
557,NR_024606.2,9,0,0
558,NR_024606.2,19,0,0
559,NR_015431.2,20,1,0
560,NR_024153.2,7,0,0
561,NR_048536.2,538,41,2
562,NR_048536.2,12,1,0
563,NR_048536.2,26,0,0
564,NR_048536.2,20,3,0
565,NR_152602.1,13,2,0
566,NR_103783.1,20,3,0
567,NR_156734.1,16,3,0
568,NR_156734.1,12,1,0
569,NR_024204.2,12,1,0
570,NR_024205.3,5,0,0
571,NR_024206.2,5,0,0
572,NR_146460.1,6,0,0
573,NR_146461.1,1,1,1
574,NR_024204.2,15,0,0
575,NR_024205.3,13,0,0
576,NR_024204.2,15,0,0
577,NR_024205.3,13,0,0
578,NR_024204.2,15,0,0
579,NR_024205.3,13,0,0
580,NR_024204.2,15,0,0
581,NR_024205.3,13,0,0
582,NR_024204.2,21,0,0
583,NR_024204.2,20,0,0
584,NR_024204.2,20,0,0
585,NR_024204.2,4,0,0
586,NR_024205.3,6,0,0
587,NR_024206.2,4,0,0
588,NR_146460.1,4,0,0
589,NR_146461.1,3,0,0
590,NR_024089.2,4,0,0
591,NR_170266.1,4,0,0
592,NR_001558.3,4,0,0
593,NR_001558.3,4,0,0
594,NR_001558.3,4,0,0
595,NR_103783.1,4,0,0
596,NR_103783.1,4,0,0
597,NR_103534.1,4,0,0
598,NR_046998.1,9,1,0
599,NR_046414.2,7,0,0
600,NR_034119.2,31,0,0
601,NR_034119.2,31,0,0
602,NR_023925.1,31,0,0
603,NR_121612.1,21,0,0
604,NR_026860.1,21,0,0
605,NR_029451.2,17,0,0
606,NR_033876.1,15,0,0
607,NR_033876.1,8,2,0
608,NR_047495.1,4,0,0
609,NR_033923.1,4,0,0
610,NR_027022.1,7,0,0
611,NR_038998.1,41,2,0
612,NR_027301.1,12,0,0
613,NR_026956.1,11,0,0
614,NR_038278.1,16,2,0
615,NR_038278.1,16,2,0
616,NR_034100.1,16,2,0
617,NR_137281.2,25,1,0
618,NR_137281.2,2,1,0
619,NR_137281.2,11,1,0
620,NR_104143.1,4,0,0
621,NR_026834.1,5,1,0
622,NR_108054.1,22,0,0
623,NR_038291.1,15,1,0
624,NR_038464.1,15,1,0
625,NR_038464.1,13,2,0
626,NR_038464.1,25,1,0
627,NR_038220.1,25,1,0
628,NR_040245.1,25,1,0
629,NR_040245.1,13,2,0
630,NR_038904.1,12,1,0
631,NR_038442.1,10,0,0
632,NR_015395.2,8,0,0
633,NR_015395.2,12,0,0
634,NR_015440.1,12,0,0
635,NR_033978.1,12,0,0
636,NR_026865.2,10,0,0
637,NR_104174.1,9,1,0
638,NR_038849.1,9,1,0
639,NR_110026.1,10,0,0
640,NR_110026.1,12,0,0
641,NR_170991.1,23,0,0
642,NR_170992.1,5,0,0
643,NR_122111.1,23,0,0
644,NR_122112.1,5,0,0
645,NR_110416.1,37,7,2
646,NR_110417.1,9,0,0
647,NR_122034.1,14,1,0
648,NR_110419.1,28,2,0
649,NR_120685.1,9,0,0
650,NR_038235.2,7,0,0
651,NR_110219.1,7,1,0
652,NR_110179.1,7,1,0
653,NR_110179.1,16,0,0
654,NR_146531.1,19,0,0
655,NR_151713.1,34,3,0
656,NR_033557.2,3,0,0
657,NR_138480.1,6,1,0
658,NR_133677.1,4,0,0
659,NR_133677.1,4,0,0
660,NR_160525.1,6,0,0
661,NR_160525.1,6,0,0
662,NR_160525.1,8,0,0
663,NR_160525.1,10,0,0
664,NR_103844.1,12,0,0
665,NR_103844.1,17,1,0
666,NR_103844.1,17,1,0
667,NR_109883.1,5,2,0
668,NR_110086.1,4,0,0
669,NR_110997.1,4,0,0
670,NR_027054.2,16,1,0
671,NR_027054.2,16,1,0
672,NR_040066.1,16,1,0
673,NR_040066.1,16,1,0
674,NR_145480.1,13,0,0
675,NR_145480.1,13,0,0
676,NR_145480.1,13,0,0
677,NR_103548.1,4,0,0
678,NR_046756.1,12,0,0
679,NR_046756.1,5,0,0
680,NR_038343.2,11,2,0
681,NR_038343.2,19,1,0
682,NR_038344.1,13,0,0
683,NR_038345.1,12,0,0
684,NR_038346.1,18,1,0
685,NR_002819.4,19,1,0
686,NR_144567.1,13,0,0
687,NR_144568.1,12,0,0
688,NR_002819.4,12,3,0
689,NR_144567.1,10,3,0
690,NR_144568.1,11,0,0
691,NR_002819.4,12,3,0
692,NR_144567.1,10,3,0
693,NR_144568.1,11,0,0
694,NR_002819.4,22,2,0
695,NR_002819.4,22,2,0
696,NR_002819.4,22,2,0
697,NR_002819.4,3,0,0
698,NR_144567.1,2,0,0
699,NR_002819.4,1,0,0
700,NR_002819.4,1,0,0
701,NR_002819.4,23,2,0
702,NR_002819.4,21,1,0
703,NR_144567.1,8,1,0
704,NR_144568.1,2,0,0
705,NR_002819.4,21,1,0
706,NR_144567.1,8,1,0
707,NR_144568.1,2,0,0
708,NR_002819.4,46,7,0
709,NR_144567.1,47,7,0
710,NR_144568.1,47,6,0
711,NR_002819.4,46,7,0
712,NR_144567.1,47,7,0
713,NR_144568.1,47,6,0
714,NR_002819.4,46,7,0
715,NR_144567.1,47,7,0
716,NR_144568.1,47,6,0
717,NR_002819.4,46,7,0
718,NR_144567.1,47,7,0
719,NR_144568.1,47,6,0
720,NR_002819.4,46,7,0
721,NR_144567.1,47,7,0
722,NR_144568.1,47,6,0
723,NR_002819.4,46,7,0
724,NR_144567.1,47,7,0
725,NR_144568.1,47,6,0
726,NR_002819.4,46,7,0
727,NR_144567.1,47,7,0
728,NR_144568.1,47,6,0
729,NR_002819.4,46,7,0
730,NR_144567.1,47,7,0
731,NR_144568.1,47,6,0
732,NR_002819.4,46,7,0
733,NR_144567.1,47,7,0
734,NR_144568.1,47,6,0
735,NR_002819.4,46,7,0
736,NR_144567.1,47,7,0
737,NR_144568.1,47,6,0
738,NR_024475.1,46,7,0
739,NR_033882.1,46,7,0
740,NR_110565.1,46,7,0
741,NR_002776.4,47,7,0
742,NR_110566.1,47,6,0
743,NR_133647.1,46,7,0
744,NR_104031.1,46,7,0
745,NR_109940.1,47,7,0
746,NR_109941.1,47,6,0
747,NR_002766.2,46,7,0
748,NR_003530.2,47,7,0
749,NR_003531.3,47,6,0
750,NR_002766.2,46,7,0
751,NR_003530.2,47,7,0
752,NR_003531.3,47,6,0
753,NR_002766.2,46,7,0
754,NR_003530.2,47,7,0
755,NR_003531.3,47,6,0
756,NR_002766.2,46,7,0
757,NR_003530.2,47,7,0
758,NR_003531.3,47,6,0
759,NR_002766.2,46,7,0
760,NR_003530.2,47,7,0
761,NR_003531.3,47,6,0
762,NR_002766.2,46,7,0
763,NR_003530.2,47,7,0
764,NR_003531.3,47,6,0
765,NR_002766.2,46,7,0
766,NR_003530.2,47,7,0
767,NR_003531.3,47,6,0
768,NR_002766.2,2,0,0
769,NR_002766.2,10,0,0
770,NR_002766.2,9,0,0
771,NR_003530.2,9,0,0
772,NR_003531.3,10,0,0
773,NR_033358.1,11,0,0
774,NR_002766.2,7,0,0
775,NR_002766.2,10,0,0
776,NR_003530.2,3,0,0
777,NR_003531.3,3,0,0
778,NR_033358.1,9,0,0
779,NR_033359.1,12,0,0
780,NR_033360.1,10,0,0
781,NR_046464.1,10,0,0
782,NR_046465.2,9,0,0
783,NR_046466.1,9,0,0
784,NR_002766.2,14,2,0
785,NR_003530.2,17,2,0
786,NR_003531.3,16,2,0
787,NR_033358.1,15,2,0
788,NR_033359.1,15,2,0
789,NR_033360.1,15,2,0
790,NR_046464.1,15,2,0
791,NR_046465.2,15,2,0
792,NR_046466.1,15,2,0
793,NR_046467.1,16,2,0
794,NR_046469.1,15,2,0
795,NR_046470.2,17,2,0
796,NR_046471.1,15,2,0
797,NR_046472.1,16,2,0
798,NR_046473.1,81,12,0
799,NR_126491.1,14,2,0
800,NR_003491.3,14,2,0
801,NR_033319.2,17,2,0
802,NR_033320.2,16,2,0
803,NR_033321.2,15,2,0
804,NR_003491.3,14,2,0
805,NR_033319.2,17,2,0
806,NR_033320.2,16,2,0
807,NR_033321.2,15,2,0
808,NR_003491.3,14,2,0
809,NR_033319.2,17,2,0
810,NR_033320.2,16,2,0
811,NR_033321.2,15,2,0
812,NR_038911.1,14,2,0
813,NR_024430.2,14,2,0
814,NR_137175.1,17,2,0
815,NR_137176.1,16,2,0
816,NR_137177.1,15,2,0
817,NR_137178.1,15,2,0
818,NR_137179.1,15,2,0
819,NR_137180.1,15,2,0
820,NR_137181.1,15,2,0
821,NR_137182.1,15,2,0
822,NR_137183.1,16,2,0
823,NR_137184.1,15,2,0
824,NR_137185.1,17,2,0
825,NR_137186.1,15,2,0
826,NR_137187.1,16,2,0
827,NR_137188.1,81,12,0
828,NR_028502.1,14,2,0
829,NR_028503.1,17,2,0
830,NR_028504.1,16,2,0
831,NR_028505.1,15,2,0
832,NR_028502.1,14,2,0
833,NR_028503.1,17,2,0
834,NR_028504.1,16,2,0
835,NR_028505.1,15,2,0
836,NR_038835.1,14,2,0
837,NR_038835.1,14,2,0
838,NR_038835.1,14,2,0
839,NR_038835.1,14,2,0
840,NR_038266.2,7,0,0
841,NR_146555.1,94,18,0
842,NR_121577.1,94,18,0
843,NR_034143.1,94,18,0
844,NR_034143.1,21,2,0
845,NR_034143.1,8,0,0
846,NR_028375.2,20,2,0
847,NR_131012.1,20,2,0
848,NR_028272.1,15,1,0
849,NR_131012.1,10,2,0
850,NR_131012.1,10,2,0
851,NR_131012.1,10,2,0
852,NR_131012.1,10,2,0
853,NR_027451.1,8,0,0
854,NR_027113.2,7,0,0
855,NR_015430.2,7,1,0
856,NR_026827.1,7,1,0
857,NR_027169.1,7,1,0
858,NR_026757.2,7,1,0
859,NR_026757.2,6,0,0
860,NR_026757.2,134,16,0
861,NR_152820.1,33,8,0
862,NR_152821.1,1,1,1
863,NR_026757.2,134,16,0
864,NR_152820.1,33,8,0
865,NR_152821.1,1,1,1
866,NR_024160.1,134,16,0
867,NR_024128.1,134,16,0
868,NR_120581.1,134,16,0
