,NCBI Reference Number,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS
159,NR_117099.1,3,0,0
160,NR_103848.1,5,0,0
161,NR_103850.2,4,0,0
162,NR_103849.2,4,0,0
163,NR_103848.1,5,0,0
164,NR_103850.2,4,0,0
165,NR_103849.2,4,0,0
166,NR_108049.1,9,0,0
167,NR_108049.1,9,0,0
168,NR_108049.1,9,0,0
169,NR_108049.1,9,0,0
170,NR_108049.1,9,0,0
171,NR_108049.1,9,0,0
172,NR_108049.1,9,0,0
173,NR_108049.1,9,0,0
174,NR_108049.1,9,0,0
175,NR_108049.1,9,0,0
176,NR_108049.1,9,0,0
177,NR_108049.1,9,0,0
178,NR_108049.1,9,0,0
179,NR_108049.1,9,0,0
180,NR_108049.1,9,0,0
181,NR_108049.1,9,0,0
182,NR_108049.1,9,0,0
183,NR_109834.1,6,0,0
184,NR_109834.1,6,0,0
185,NR_109834.1,6,0,0
186,NR_109834.1,6,0,0
187,NR_109834.1,6,0,0
188,NR_109834.1,6,0,0
189,NR_109834.1,6,0,0
190,NR_109834.1,6,0,0
191,NR_109834.1,6,0,0
192,NR_109834.1,6,0,0
193,NR_109939.1,7,0,0
194,NR_131782.1,17,0,0
195,NR_002763.2,7,0,0
196,NR_002763.2,7,0,0
197,NR_034105.4,5,0,0
198,NR_034106.3,7,2,0
199,NR_110453.2,5,0,0
200,NR_110454.2,7,2,0
201,NR_170995.1,7,2,0
202,NR_034105.4,5,0,0
203,NR_034106.3,7,2,0
204,NR_110453.2,5,0,0
205,NR_110454.2,7,2,0
206,NR_170995.1,7,2,0
207,NR_034105.4,5,0,0
208,NR_034106.3,7,2,0
209,NR_110453.2,5,0,0
210,NR_110454.2,7,2,0
211,NR_170995.1,7,2,0
212,NR_034105.4,5,0,0
213,NR_034106.3,7,2,0
214,NR_110453.2,5,0,0
215,NR_110454.2,7,2,0
216,NR_170995.1,7,2,0
217,NR_034105.4,5,0,0
218,NR_034106.3,7,2,0
219,NR_110453.2,5,0,0
220,NR_110454.2,7,2,0
221,NR_170995.1,7,2,0
222,NR_034105.4,5,0,0
223,NR_034106.3,7,2,0
224,NR_110453.2,5,0,0
225,NR_110454.2,7,2,0
226,NR_170995.1,7,2,0
227,NR_034105.4,5,0,0
228,NR_034106.3,7,2,0
229,NR_110453.2,5,0,0
230,NR_110454.2,7,2,0
231,NR_170995.1,7,2,0
232,NR_034105.4,5,0,0
233,NR_034106.3,7,2,0
234,NR_110453.2,5,0,0
235,NR_110454.2,7,2,0
236,NR_170995.1,7,2,0
237,NR_034105.4,5,0,0
238,NR_034106.3,7,2,0
239,NR_110453.2,5,0,0
240,NR_110454.2,7,2,0
241,NR_170995.1,7,2,0
242,NR_034105.4,5,0,0
243,NR_034106.3,7,2,0
244,NR_110453.2,5,0,0
245,NR_110454.2,7,2,0
246,NR_170995.1,7,2,0
247,NR_131244.1,3,0,0
248,NR_024204.2,4,0,0
249,NR_024205.3,6,0,0
250,NR_024206.2,4,0,0
251,NR_146460.1,4,0,0
252,NR_146461.1,3,0,0
253,NR_024204.2,4,0,0
254,NR_024205.3,6,0,0
255,NR_024206.2,4,0,0
256,NR_146460.1,4,0,0
257,NR_146461.1,3,0,0
258,NR_024204.2,4,0,0
259,NR_024205.3,6,0,0
260,NR_024206.2,4,0,0
261,NR_146460.1,4,0,0
262,NR_146461.1,3,0,0
263,NR_038927.2,10,1,0
264,NR_002733.2,29,3,0
265,NR_045121.1,29,3,0
266,NR_110533.1,11,0,0
267,NR_026651.1,5,5,5
268,NR_024159.1,5,2,0
269,NR_109973.1,10,0,0
270,NR_002605.2,9,0,0
271,NR_109974.1,8,0,0
272,NR_046551.1,7,0,0
273,NR_015448.1,9,0,0
274,NR_015448.1,9,0,0
275,NR_036580.1,6,1,0
276,NR_038896.1,12,0,0
277,NR_038898.1,7,0,0
278,NR_038899.1,8,0,0
279,NR_038900.1,7,0,0
280,NR_110526.1,12,0,0
281,NR_122113.1,11,0,0
282,NR_122113.1,11,0,0
283,NR_034170.1,14,2,0
284,NR_034171.1,10,0,0
285,NR_120508.1,6,0,0
286,NR_120509.1,6,0,0
287,NR_120510.1,5,0,0
288,NR_026949.1,14,1,0
289,NR_102425.1,3,0,0
290,NR_051960.1,8,0,0
291,NR_051960.1,8,0,0
292,NR_051960.1,8,0,0
293,NR_134853.1,7,0,0
294,NR_024348.1,31,2,0
295,NR_033925.1,14,0,0
296,NR_036444.1,23,1,0
297,NR_033925.1,14,0,0
298,NR_036444.1,23,1,0
299,NR_119376.1,83,2,0
300,NR_036484.1,21,1,0
301,NR_036484.1,21,1,0
302,NR_036484.1,21,1,0
303,NR_046251.1,17,1,0
304,NR_046252.1,21,0,0
305,NR_046253.1,20,0,0
306,NR_046254.1,20,0,0
307,NR_046255.1,15,2,0
308,NR_026878.1,21,3,0
309,NR_026878.1,21,3,0
310,NR_121634.1,11,0,0
311,NR_121635.1,6,1,0
312,NR_121636.1,8,0,0
313,NR_121637.1,8,0,0
314,NR_126415.1,2,0,0
315,NR_126416.1,2,0,0
316,NR_126417.1,1,0,0
317,NR_028379.1,8,0,0
318,NR_028379.1,8,0,0
319,NR_028379.1,8,0,0
320,NR_028379.1,8,0,0
321,NR_126559.1,6,0,0
322,NR_110429.1,3,0,0
323,NR_110428.1,3,0,0
324,NR_110429.1,3,0,0
325,NR_110428.1,3,0,0
326,NR_002578.3,5,0,0
327,NR_152521.1,6,0,0
328,NR_152522.1,5,0,0
329,NR_152523.1,5,0,0
330,NR_152524.1,5,0,0
331,NR_152525.1,5,0,0
332,NR_152526.1,5,0,0
333,NR_152527.1,3,0,0
334,NR_152528.1,4,0,0
335,NR_152529.1,3,0,0
336,NR_152530.1,5,0,0
337,NR_152531.1,5,0,0
338,NR_152532.1,5,0,0
339,NR_152533.1,5,0,0
340,NR_152534.1,5,0,0
341,NR_002578.3,5,0,0
342,NR_152521.1,6,0,0
343,NR_152522.1,5,0,0
344,NR_152523.1,5,0,0
345,NR_152524.1,5,0,0
346,NR_152525.1,5,0,0
347,NR_152526.1,5,0,0
348,NR_152527.1,3,0,0
349,NR_152528.1,4,0,0
350,NR_152529.1,3,0,0
351,NR_152530.1,5,0,0
352,NR_152531.1,5,0,0
353,NR_152532.1,5,0,0
354,NR_152533.1,5,0,0
355,NR_152534.1,5,0,0
356,NR_002578.3,5,0,0
357,NR_152521.1,6,0,0
358,NR_152522.1,5,0,0
359,NR_152523.1,5,0,0
360,NR_152524.1,5,0,0
361,NR_152525.1,5,0,0
362,NR_152526.1,5,0,0
363,NR_152527.1,3,0,0
364,NR_152528.1,4,0,0
365,NR_152529.1,3,0,0
366,NR_152530.1,5,0,0
367,NR_152531.1,5,0,0
368,NR_152532.1,5,0,0
369,NR_152533.1,5,0,0
370,NR_152534.1,5,0,0
371,NR_002578.3,5,0,0
372,NR_152521.1,6,0,0
373,NR_152522.1,5,0,0
374,NR_152523.1,5,0,0
375,NR_152524.1,5,0,0
376,NR_152525.1,5,0,0
377,NR_152526.1,5,0,0
378,NR_152527.1,3,0,0
379,NR_152528.1,4,0,0
380,NR_152529.1,3,0,0
381,NR_152530.1,5,0,0
382,NR_152531.1,5,0,0
383,NR_152532.1,5,0,0
384,NR_152533.1,5,0,0
385,NR_152534.1,5,0,0
386,NR_002578.3,5,0,0
387,NR_152521.1,6,0,0
388,NR_152522.1,5,0,0
389,NR_152523.1,5,0,0
390,NR_152524.1,5,0,0
391,NR_152525.1,5,0,0
392,NR_152526.1,5,0,0
393,NR_152527.1,3,0,0
394,NR_152528.1,4,0,0
395,NR_152529.1,3,0,0
396,NR_152530.1,5,0,0
397,NR_152531.1,5,0,0
398,NR_152532.1,5,0,0
399,NR_152533.1,5,0,0
400,NR_152534.1,5,0,0
401,NR_002578.3,5,0,0
402,NR_152521.1,6,0,0
403,NR_152522.1,5,0,0
404,NR_152523.1,5,0,0
405,NR_152524.1,5,0,0
406,NR_152525.1,5,0,0
407,NR_152526.1,5,0,0
408,NR_152527.1,3,0,0
409,NR_152528.1,4,0,0
410,NR_152529.1,3,0,0
411,NR_152530.1,5,0,0
412,NR_152531.1,5,0,0
413,NR_152532.1,5,0,0
414,NR_152533.1,5,0,0
415,NR_152534.1,5,0,0
416,NR_002578.3,5,0,0
417,NR_152521.1,6,0,0
418,NR_152522.1,5,0,0
419,NR_152523.1,5,0,0
420,NR_152524.1,5,0,0
421,NR_152525.1,5,0,0
422,NR_152526.1,5,0,0
423,NR_152527.1,3,0,0
424,NR_152528.1,4,0,0
425,NR_152529.1,3,0,0
426,NR_152530.1,5,0,0
427,NR_152531.1,5,0,0
428,NR_152532.1,5,0,0
429,NR_152533.1,5,0,0
430,NR_152534.1,5,0,0
431,NR_002578.3,5,0,0
432,NR_152521.1,6,0,0
433,NR_152522.1,5,0,0
434,NR_152523.1,5,0,0
435,NR_152524.1,5,0,0
436,NR_152525.1,5,0,0
437,NR_152526.1,5,0,0
438,NR_152527.1,3,0,0
439,NR_152528.1,4,0,0
440,NR_152529.1,3,0,0
441,NR_152530.1,5,0,0
442,NR_152531.1,5,0,0
443,NR_152532.1,5,0,0
444,NR_152533.1,5,0,0
445,NR_152534.1,5,0,0
446,NR_002578.3,5,0,0
447,NR_152521.1,6,0,0
448,NR_152522.1,5,0,0
449,NR_152523.1,5,0,0
450,NR_152524.1,5,0,0
451,NR_152525.1,5,0,0
452,NR_152526.1,5,0,0
453,NR_152527.1,3,0,0
454,NR_152528.1,4,0,0
455,NR_152529.1,3,0,0
456,NR_152530.1,5,0,0
457,NR_152531.1,5,0,0
458,NR_152532.1,5,0,0
459,NR_152533.1,5,0,0
460,NR_152534.1,5,0,0
461,NR_002578.3,5,0,0
462,NR_152521.1,6,0,0
463,NR_152522.1,5,0,0
464,NR_152523.1,5,0,0
465,NR_152524.1,5,0,0
466,NR_152525.1,5,0,0
467,NR_152526.1,5,0,0
468,NR_152527.1,3,0,0
469,NR_152528.1,4,0,0
470,NR_152529.1,3,0,0
471,NR_152530.1,5,0,0
472,NR_152531.1,5,0,0
473,NR_152532.1,5,0,0
474,NR_152533.1,5,0,0
475,NR_152534.1,5,0,0
476,NR_002578.3,5,0,0
477,NR_152521.1,6,0,0
478,NR_152522.1,5,0,0
479,NR_152523.1,5,0,0
480,NR_152524.1,5,0,0
481,NR_152525.1,5,0,0
482,NR_152526.1,5,0,0
483,NR_152527.1,3,0,0
484,NR_152528.1,4,0,0
485,NR_152529.1,3,0,0
486,NR_152530.1,5,0,0
487,NR_152531.1,5,0,0
488,NR_152532.1,5,0,0
489,NR_152533.1,5,0,0
490,NR_152534.1,5,0,0
491,NR_002578.3,5,0,0
492,NR_152521.1,6,0,0
493,NR_152522.1,5,0,0
494,NR_152523.1,5,0,0
495,NR_152524.1,5,0,0
496,NR_152525.1,5,0,0
497,NR_152526.1,5,0,0
498,NR_152527.1,3,0,0
499,NR_152528.1,4,0,0
500,NR_152529.1,3,0,0
501,NR_152530.1,5,0,0
502,NR_152531.1,5,0,0
503,NR_152532.1,5,0,0
504,NR_152533.1,5,0,0
505,NR_152534.1,5,0,0
506,NR_002578.3,5,0,0
507,NR_152521.1,6,0,0
508,NR_152522.1,5,0,0
509,NR_152523.1,5,0,0
510,NR_152524.1,5,0,0
511,NR_152525.1,5,0,0
512,NR_152526.1,5,0,0
513,NR_152527.1,3,0,0
514,NR_152528.1,4,0,0
515,NR_152529.1,3,0,0
516,NR_152530.1,5,0,0
517,NR_152531.1,5,0,0
518,NR_152532.1,5,0,0
519,NR_152533.1,5,0,0
520,NR_152534.1,5,0,0
521,NR_122031.1,5,1,0
522,NR_130107.1,9,1,0
523,NR_130107.1,9,1,0
524,NR_004431.3,15,0,0
525,NR_024144.2,15,0,0
526,NR_024145.2,18,0,0
527,NR_073566.1,18,0,0
528,NR_073567.1,18,0,0
529,NR_073568.1,16,0,0
530,NR_038269.1,4,0,0
531,NR_033839.1,6,1,0
532,NR_132738.1,12,1,0
533,NR_002196.2,27,9,2
534,NR_131223.1,26,9,2
535,NR_131224.1,11,1,0
536,NR_002196.2,27,9,2
537,NR_131223.1,26,9,2
538,NR_131224.1,11,1,0
539,NR_002196.2,27,9,2
540,NR_131223.1,26,9,2
541,NR_131224.1,11,1,0
542,NR_002196.2,27,9,2
543,NR_131223.1,26,9,2
544,NR_131224.1,11,1,0
545,NR_002196.2,27,9,2
546,NR_131223.1,26,9,2
547,NR_131224.1,11,1,0
548,NR_002196.2,27,9,2
549,NR_131223.1,26,9,2
550,NR_131224.1,11,1,0
551,NR_002196.2,27,9,2
552,NR_131223.1,26,9,2
553,NR_131224.1,11,1,0
554,NR_002196.2,27,9,2
555,NR_131223.1,26,9,2
556,NR_131224.1,11,1,0
557,NR_002196.2,27,9,2
558,NR_131223.1,26,9,2
559,NR_131224.1,11,1,0
560,NR_002196.2,27,9,2
561,NR_131223.1,26,9,2
562,NR_131224.1,11,1,0
563,NR_002196.2,27,9,2
564,NR_131223.1,26,9,2
565,NR_131224.1,11,1,0
566,NR_002196.2,27,9,2
567,NR_131223.1,26,9,2
568,NR_131224.1,11,1,0
569,NR_002196.2,27,9,2
570,NR_131223.1,26,9,2
571,NR_131224.1,11,1,0
572,NR_002196.2,27,9,2
573,NR_131223.1,26,9,2
574,NR_131224.1,11,1,0
575,NR_002196.2,27,9,2
576,NR_131223.1,26,9,2
577,NR_131224.1,11,1,0
578,NR_002196.2,27,9,2
579,NR_131223.1,26,9,2
580,NR_131224.1,11,1,0
581,NR_002196.2,27,9,2
582,NR_131223.1,26,9,2
583,NR_131224.1,11,1,0
584,NR_002196.2,27,9,2
585,NR_131223.1,26,9,2
586,NR_131224.1,11,1,0
587,NR_002196.2,27,9,2
588,NR_131223.1,26,9,2
589,NR_131224.1,11,1,0
590,NR_002196.2,27,9,2
591,NR_131223.1,26,9,2
592,NR_131224.1,11,1,0
593,NR_002196.2,27,9,2
594,NR_131223.1,26,9,2
595,NR_131224.1,11,1,0
596,NR_002196.2,27,9,2
597,NR_131223.1,26,9,2
598,NR_131224.1,11,1,0
599,NR_002196.2,27,9,2
600,NR_131223.1,26,9,2
601,NR_131224.1,11,1,0
602,NR_002196.2,27,9,2
603,NR_131223.1,26,9,2
604,NR_131224.1,11,1,0
605,NR_002196.2,27,9,2
606,NR_131223.1,26,9,2
607,NR_131224.1,11,1,0
608,NR_002196.2,27,9,2
609,NR_131223.1,26,9,2
610,NR_131224.1,11,1,0
611,NR_002196.2,27,9,2
612,NR_131223.1,26,9,2
613,NR_131224.1,11,1,0
614,NR_002196.2,27,9,2
615,NR_131223.1,26,9,2
616,NR_131224.1,11,1,0
617,NR_002196.2,27,9,2
618,NR_131223.1,26,9,2
619,NR_131224.1,11,1,0
620,NR_002196.2,27,9,2
621,NR_131223.1,26,9,2
622,NR_131224.1,11,1,0
623,NR_002196.2,27,9,2
624,NR_131223.1,26,9,2
625,NR_131224.1,11,1,0
626,NR_002196.2,27,9,2
627,NR_131223.1,26,9,2
628,NR_131224.1,11,1,0
629,NR_002196.2,27,9,2
630,NR_131223.1,26,9,2
631,NR_131224.1,11,1,0
632,NR_002196.2,27,9,2
633,NR_131223.1,26,9,2
634,NR_131224.1,11,1,0
635,NR_002196.2,27,9,2
636,NR_131223.1,26,9,2
637,NR_131224.1,11,1,0
638,NR_002196.2,27,9,2
639,NR_131223.1,26,9,2
640,NR_131224.1,11,1,0
641,NR_002196.2,27,9,2
642,NR_131223.1,26,9,2
643,NR_131224.1,11,1,0
644,NR_002196.2,27,9,2
645,NR_131223.1,26,9,2
646,NR_131224.1,11,1,0
647,NR_002196.2,27,9,2
648,NR_131223.1,26,9,2
649,NR_131224.1,11,1,0
650,NR_002196.2,27,9,2
651,NR_131223.1,26,9,2
652,NR_131224.1,11,1,0
653,NR_002196.2,27,9,2
654,NR_131223.1,26,9,2
655,NR_131224.1,11,1,0
656,NR_002196.2,27,9,2
657,NR_131223.1,26,9,2
658,NR_131224.1,11,1,0
659,NR_002196.2,27,9,2
660,NR_131223.1,26,9,2
661,NR_131224.1,11,1,0
662,NR_002196.2,27,9,2
663,NR_131223.1,26,9,2
664,NR_131224.1,11,1,0
665,NR_002196.2,27,9,2
666,NR_131223.1,26,9,2
667,NR_131224.1,11,1,0
668,NR_002196.2,27,9,2
669,NR_131223.1,26,9,2
670,NR_131224.1,11,1,0
671,NR_002196.2,27,9,2
672,NR_131223.1,26,9,2
673,NR_131224.1,11,1,0
674,NR_002196.2,27,9,2
675,NR_131223.1,26,9,2
676,NR_131224.1,11,1,0
677,NR_002196.2,27,9,2
678,NR_131223.1,26,9,2
679,NR_131224.1,11,1,0
680,NR_002196.2,27,9,2
681,NR_131223.1,26,9,2
682,NR_131224.1,11,1,0
683,NR_002196.2,27,9,2
684,NR_131223.1,26,9,2
685,NR_131224.1,11,1,0
686,NR_110458.1,25,2,0
687,NR_110459.1,23,2,0
688,NR_110460.1,23,2,0
689,NR_110461.1,22,1,0
690,NR_110462.1,25,2,0
691,NR_110463.1,24,1,0
692,NR_110464.1,24,1,0
693,NR_110465.1,21,2,0
694,NR_110466.1,21,2,0
695,NR_033979.2,20,2,0
696,NR_110467.1,23,1,0
697,NR_110468.1,23,1,0
698,NR_003679.2,1,0,0
699,NR_136192.1,17,2,0
700,NR_136193.1,20,2,0
701,NR_136194.1,19,2,0
702,NR_136195.1,10,1,0
703,NR_136196.1,4,1,0
704,NR_136197.1,18,1,0
705,NR_136198.1,16,2,0
706,NR_136199.1,18,2,0
707,NR_136200.1,20,2,0
708,NR_136201.1,22,2,0
709,NR_003679.2,1,0,0
710,NR_136192.1,17,2,0
711,NR_136193.1,20,2,0
712,NR_136194.1,19,2,0
713,NR_136195.1,10,1,0
714,NR_136196.1,4,1,0
715,NR_136197.1,18,1,0
716,NR_136198.1,16,2,0
717,NR_136199.1,18,2,0
718,NR_136200.1,20,2,0
719,NR_136201.1,22,2,0
720,NR_024052.2,39,7,0
721,NR_024053.2,38,7,0
722,NR_102326.1,48,8,0
723,NR_102327.1,24,6,0
724,NR_040662.1,21,2,0
725,NR_047116.1,4,0,0
726,NR_045406.1,1,0,0
727,NR_026972.1,10,1,0
728,NR_026973.1,3,0,0
729,NR_024345.1,15,0,0
730,NR_024345.1,15,0,0
731,NR_024345.1,15,0,0
732,NR_024345.1,15,0,0
733,NR_024345.1,15,0,0
734,NR_047517.1,17,1,0
735,NR_003716.3,16,1,0
736,NR_047518.1,15,1,0
737,NR_047517.1,17,1,0
738,NR_003716.3,16,1,0
739,NR_047518.1,15,1,0
740,NR_047517.1,17,1,0
741,NR_003716.3,16,1,0
742,NR_047518.1,15,1,0
743,NR_047517.1,17,1,0
744,NR_003716.3,16,1,0
745,NR_047518.1,15,1,0
746,NR_047517.1,17,1,0
747,NR_003716.3,16,1,0
748,NR_047518.1,15,1,0
749,NR_047517.1,17,1,0
750,NR_003716.3,16,1,0
751,NR_047518.1,15,1,0
752,NR_047517.1,17,1,0
753,NR_003716.3,16,1,0
754,NR_047518.1,15,1,0
755,NR_047517.1,17,1,0
756,NR_003716.3,16,1,0
757,NR_047518.1,15,1,0
758,NR_047517.1,17,1,0
759,NR_003716.3,16,1,0
760,NR_047518.1,15,1,0
761,NR_047517.1,17,1,0
762,NR_003716.3,16,1,0
763,NR_047518.1,15,1,0
764,NR_047517.1,17,1,0
765,NR_003716.3,16,1,0
766,NR_047518.1,15,1,0
767,NR_047517.1,17,1,0
768,NR_003716.3,16,1,0
769,NR_047518.1,15,1,0
770,NR_047517.1,17,1,0
771,NR_003716.3,16,1,0
772,NR_047518.1,15,1,0
773,NR_047517.1,17,1,0
774,NR_003716.3,16,1,0
775,NR_047518.1,15,1,0
776,NR_047517.1,17,1,0
777,NR_003716.3,16,1,0
778,NR_047518.1,15,1,0
779,NR_047517.1,17,1,0
780,NR_003716.3,16,1,0
781,NR_047518.1,15,1,0
782,NR_047517.1,17,1,0
783,NR_003716.3,16,1,0
784,NR_047518.1,15,1,0
785,NR_047517.1,17,1,0
786,NR_003716.3,16,1,0
787,NR_047518.1,15,1,0
788,NR_047517.1,17,1,0
789,NR_003716.3,16,1,0
790,NR_047518.1,15,1,0
791,NR_047517.1,17,1,0
792,NR_003716.3,16,1,0
793,NR_047518.1,15,1,0
794,NR_047517.1,17,1,0
795,NR_003716.3,16,1,0
796,NR_047518.1,15,1,0
797,NR_047517.1,17,1,0
798,NR_003716.3,16,1,0
799,NR_047518.1,15,1,0
800,NR_047517.1,17,1,0
801,NR_003716.3,16,1,0
802,NR_047518.1,15,1,0
803,NR_047517.1,17,1,0
804,NR_003716.3,16,1,0
805,NR_047518.1,15,1,0
806,NR_047517.1,17,1,0
807,NR_003716.3,16,1,0
808,NR_047518.1,15,1,0
809,NR_038366.1,6,1,0
810,NR_038367.1,4,1,0
811,NR_038366.1,6,1,0
812,NR_038367.1,4,1,0
813,NR_037843.3,37,3,0
814,NR_037843.3,37,3,0
815,NR_037843.3,37,3,0
816,NR_037843.3,37,3,0
817,NR_037843.3,37,3,0
818,NR_037843.3,37,3,0
819,NR_122069.1,4,0,0
820,NR_122069.1,4,0,0
821,NR_002795.2,16,2,0
822,NR_002795.2,16,2,0
823,NR_002795.2,16,2,0
824,NR_033201.2,5,1,0
825,NR_033202.2,5,1,0
826,NR_033203.1,6,0,0
827,NR_033204.2,6,0,0
828,NR_033205.1,6,1,0
829,NR_110329.1,4,0,0
830,NR_110330.1,4,1,0
831,NR_110331.1,7,1,0
832,NR_004855.2,1,0,0
833,NR_004855.2,1,0,0
834,NR_004855.2,1,0,0
835,NR_121669.1,5,0,0
836,NR_046615.1,1,0,0
837,NR_109845.2,14,1,0
838,NR_109846.1,13,1,0
839,NR_002728.3,538,41,2
840,NR_002728.3,538,41,2
841,NR_002728.3,538,41,2
842,NR_002728.3,538,41,2
843,NR_026800.2,100,22,1
844,NR_026800.2,100,22,1
845,NR_146274.1,12,1,0
846,NR_040031.1,10,0,0
847,NR_029373.1,17,2,0
848,NR_029374.1,9,0,0
849,NR_029373.1,17,2,0
850,NR_029374.1,9,0,0
851,NR_029373.1,17,2,0
852,NR_029374.1,9,0,0
853,NR_103553.1,22,0,0
854,NR_103554.1,22,0,0
855,NR_160030.1,4,0,0
856,NR_015431.2,16,3,0
857,NR_024153.2,7,1,0
858,NR_109850.1,18,3,0
859,NR_109851.1,16,3,0
860,NR_109852.1,16,3,0
861,NR_109853.1,13,2,0
862,NR_109854.1,13,2,0
863,NR_109855.1,13,2,0
864,NR_034120.1,9,0,0
865,NR_110472.1,8,0,0
866,NR_110473.1,3,0,0
867,NR_170175.1,21,2,0
868,NR_170176.1,19,2,0
